"Label (Grouping)","Total:","Total:!!Under 18 years","Total:!!18 to 24 years","Total:!!25 to 34 years","Total:!!35 to 44 years","Total:!!45 to 54 years","Total:!!55 to 64 years","Total:!!65 years and over"
"Longmont city, Colorado","","","","","","","",""
"    Estimate","96,672","20,391","8,779","12,390","14,139","11,886","14,306","14,781"
"Loveland city, Colorado","","","","","","","",""
"    Estimate","78,871","17,709","5,306","11,588","12,188","7,911","8,495","15,674"
"Montrose city, Colorado","","","","","","","",""
"    Estimate","20,490","4,997","1,190","2,019","2,181","1,569","2,662","5,872"
"Northglenn city, Colorado","","","","","","","",""
"    Estimate","38,799","7,901","4,968","6,535","6,399","3,574","4,320","5,102"
"Parker town, Colorado","","","","","","","",""
"    Estimate","57,690","15,279","4,941","8,269","9,165","9,330","5,580","5,126"
"Pueblo city, Colorado","","","","","","","",""
"    Estimate","112,357","26,512","10,048","15,569","15,054","11,851","13,610","19,713"
"Pueblo West CDP, Colorado","","","","","","","",""
"    Estimate","31,160","6,667","2,321","4,342","2,708","4,880","4,105","6,137"
"Security-Widefield CDP, Colorado","","","","","","","",""
"    Estimate","38,685","10,737","1,822","7,131","5,320","4,205","5,579","3,891"
"Sherrelwood CDP, Colorado","","","","","","","",""
"    Estimate","21,530","5,362","2,533","3,057","4,165","1,796","1,481","3,136"
"Thornton city, Colorado","","","","","","","",""
"    Estimate","141,454","38,253","10,980","24,359","18,429","18,802","15,022","15,609"
"Westminster city, Colorado","","","","","","","",""
"    Estimate","113,179","25,879","8,353","20,293","17,245","14,111","13,355","13,943"
"Wheat Ridge city, Colorado","","","","","","","",""
"    Estimate","31,332","6,285","2,202","4,716","4,199","2,887","5,229","5,814"
"Windsor town, Colorado","","","","","","","",""
"    Estimate","31,264","9,559","1,513","2,811","4,752","4,384","3,111","5,134"
"Bridgeport city, Connecticut","","","","","","","",""
"    Estimate","144,365","35,306","17,902","21,371","19,354","16,777","15,727","17,928"
"Bristol city, Connecticut","","","","","","","",""
"    Estimate","59,947","12,121","4,483","9,564","9,453","7,785","6,616","9,925"
"Danbury city, Connecticut","","","","","","","",""
"    Estimate","84,692","14,406","8,785","11,903","12,685","9,379","13,446","14,088"
"Darien CDP, Connecticut","","","","","","","",""
"    Estimate","22,302","7,188","1,601","736","2,760","3,687","3,328","3,002"
"East Hartford CDP, Connecticut","","","","","","","",""
"    Estimate","49,862","8,778","3,951","6,593","6,397","6,118","9,534","8,491"
"East Haven CDP, Connecticut","","","","","","","",""
"    Estimate","28,581","4,116","3,459","2,656","2,675","4,901","5,668","5,106"
"Hartford city, Connecticut","","","","","","","",""
"    Estimate","122,107","29,258","17,361","18,597","16,878","13,945","12,931","13,137"
"Manchester CDP, Connecticut","","","","","","","",""
"    Estimate","30,148","6,041","1,471","6,047","3,804","2,986","3,618","6,181"
"Meriden city, Connecticut","","","","","","","",""
"    Estimate","59,394","13,291","5,084","11,008","7,782","7,155","6,262","8,812"
"Middletown city, Connecticut","","","","","","","",""
"    Estimate","46,258","7,824","7,332","6,271","3,873","6,856","6,681","7,421"
"Milford city (balance), Connecticut","","","","","","","",""
"    Estimate","53,196","8,634","3,844","8,606","5,923","7,436","8,319","10,434"
"Naugatuck borough, Connecticut","","","","","","","",""
"    Estimate","31,101","7,116","2,721","3,684","2,406","5,043","5,898","4,233"
"New Britain city, Connecticut","","","","","","","",""
"    Estimate","72,491","14,854","10,452","11,835","8,265","7,977","7,823","11,285"
"New Haven city, Connecticut","","","","","","","",""
"    Estimate","130,257","26,430","20,890","24,006","16,299","15,966","12,028","14,638"
"Newington CDP, Connecticut","","","","","","","",""
"    Estimate","30,010","6,714","1,068","4,578","3,514","3,946","3,890","6,300"
"New London city, Connecticut","","","","","","","",""
"    Estimate","26,860","4,846","5,558","3,401","3,621","2,398","4,391","2,645"
"North Haven CDP, Connecticut","","","","","","","",""
"    Estimate","26,969","5,955","965","3,293","3,381","3,369","3,866","6,140"
"Norwalk city, Connecticut","","","","","","","",""
"    Estimate","88,826","15,601","8,637","12,424","13,842","12,023","12,509","13,790"
"Norwich city, Connecticut","","","","","","","",""
"    Estimate","38,758","7,022","4,053","5,861","4,835","4,567","5,743","6,677"
"Shelton city, Connecticut","","","","","","","",""
"    Estimate","41,129","6,422","2,400","4,928","4,679","5,963","6,407","10,330"
"Stamford city, Connecticut","","","","","","","",""
"    Estimate","129,636","25,567","10,733","23,456","15,478","17,443","17,430","19,529"
"Stratford CDP, Connecticut","","","","","","","",""
"    Estimate","51,863","6,819","6,125","7,175","4,860","7,624","8,650","10,610"
"Torrington city, Connecticut","","","","","","","",""
"    Estimate","34,047","5,776","3,065","3,447","3,410","5,060","5,784","7,505"
"Trumbull CDP, Connecticut","","","","","","","",""
"    Estimate","35,658","9,618","2,411","2,172","4,891","5,348","5,075","6,143"
"Waterbury city, Connecticut","","","","","","","",""
"    Estimate","107,577","24,694","13,191","16,120","12,144","13,285","13,490","14,653"
"West Hartford CDP, Connecticut","","","","","","","",""
"    Estimate","62,966","14,377","4,945","9,033","6,580","9,628","7,472","10,931"
"West Haven city, Connecticut","","","","","","","",""
"    Estimate","54,613","9,538","6,791","6,577","6,260","8,230","9,690","7,527"
"Westport CDP, Connecticut","","","","","","","",""
"    Estimate","28,489","7,702","1,941","1,049","3,044","4,948","5,073","4,732"
"Wethersfield CDP, Connecticut","","","","","","","",""
"    Estimate","25,992","4,965","2,597","2,826","3,356","3,565","3,919","4,764"
"Bear CDP, Delaware","","","","","","","",""
"    Estimate","20,231","4,393","1,406","3,641","2,839","2,863","3,026","2,063"
"Dover city, Delaware","","","","","","","",""
"    Estimate","38,155","7,364","5,986","5,756","3,268","4,358","5,011","6,412"
"Middletown town, Delaware","","","","","","","",""
"    Estimate","20,959","5,614","1,088","2,102","2,916","2,953","2,759","3,527"
"Newark city, Delaware","","","","","","","",""
"    Estimate","33,516","3,783","13,485","4,873","1,534","1,952","3,106","4,783"
"Wilmington city, Delaware","","","","","","","",""
"    Estimate","70,164","15,151","4,560","14,020","8,731","8,987","9,429","9,286"
"Washington city, District of Columbia","","","","","","","",""
"    Estimate","705,749","127,901","72,703","164,375","108,905","74,493","69,835","87,537"
"Alafaya CDP, Florida","","","","","","","",""
"    Estimate","96,528","22,263","11,673","16,169","17,521","12,033","7,820","9,049"
"Altamonte Springs city, Florida","","","","","","","",""
"    Estimate","44,144","7,710","3,379","9,286","6,744","5,127","5,302","6,596"
"Apollo Beach CDP, Florida","","","","","","","",""
"    Estimate","24,269","4,285","1,626","2,793","3,883","3,590","3,672","4,420"
"Apopka city, Florida","","","","","","","",""
"    Estimate","53,439","12,582","3,863","7,943","6,056","8,827","5,701","8,467"
"Aventura city, Florida","","","","","","","",""
"    Estimate","36,989","5,548","2,548","2,326","4,345","6,236","5,790","10,196"
"Bartow city, Florida","","","","","","","",""
"    Estimate","20,754","3,699","2,048","3,239","2,175","3,087","2,638","3,868"
"Bayonet Point CDP, Florida","","","","","","","",""
"    Estimate","28,658","4,996","1,163","3,016","3,365","2,765","5,366","7,987"
"Bayshore Gardens CDP, Florida","","","","","","","",""
"    Estimate","23,093","4,238","1,836","2,930","1,994","3,015","3,875","5,205"
"Bellview CDP, Florida","","","","","","","",""
"    Estimate","22,849","5,027","1,904","3,836","2,170","3,057","3,100","3,755"
"Bloomingdale CDP, Florida","","","","","","","",""
"    Estimate","24,954","5,058","2,328","3,698","3,839","3,078","3,680","3,273"
"Boca Raton city, Florida","","","","","","","",""
"    Estimate","99,795","17,819","10,542","8,999","9,975","12,113","14,883","25,464"
"Bonita Springs city, Florida","","","","","","","",""
"    Estimate","59,628","6,744","1,950","4,161","3,607","7,636","9,209","26,321"
"Boynton Beach city, Florida","","","","","","","",""
"    Estimate","78,690","11,948","5,879","12,027","13,697","7,388","10,843","16,908"
"Bradenton city, Florida","","","","","","","",""
"    Estimate","59,431","11,741","4,937","10,400","5,013","5,997","5,833","15,510"
"Brandon CDP, Florida","","","","","","","",""
"    Estimate","116,829","23,899","9,283","20,130","19,714","13,902","16,242","13,659"
"Brent CDP, Florida","","","","","","","",""
"    Estimate","23,523","5,090","6,082","3,361","1,230","2,030","3,374","2,356"
"Buenaventura Lakes CDP, Florida","","","","","","","",""
"    Estimate","33,142","7,677","3,574","4,324","5,885","4,144","3,225","4,313"
"Cape Coral city, Florida","","","","","","","",""
"    Estimate","194,504","35,448","13,300","21,697","23,787","24,359","29,247","46,666"
"Carrollwood CDP, Florida","","","","","","","",""
"    Estimate","40,993","6,966","2,469","5,260","5,502","6,685","6,593","7,518"
"Casselberry city, Florida","","","","","","","",""
"    Estimate","28,768","5,410","3,522","6,024","2,218","4,292","3,030","4,272"
"Citrus Park CDP, Florida","","","","","","","",""
"    Estimate","27,082","4,723","1,696","3,507","1,923","4,382","3,685","7,166"
"Clearwater city, Florida","","","","","","","",""
"    Estimate","116,938","20,383","6,630","15,346","13,418","16,334","17,075","27,752"
"Clermont city, Florida","","","","","","","",""
"    Estimate","38,653","7,829","2,557","3,673","5,420","5,486","4,243","9,445"
"Coconut Creek city, Florida","","","","","","","",""
"    Estimate","61,252","11,548","4,294","8,758","8,088","10,493","7,911","10,160"
"Cooper City city, Florida","","","","","","","",""
"    Estimate","35,796","9,076","2,390","2,922","5,549","4,845","5,940","5,074"
"Coral Gables city, Florida","","","","","","","",""
"    Estimate","49,701","7,963","7,704","5,531","4,359","7,418","5,958","10,768"
"Coral Springs city, Florida","","","","","","","",""
"    Estimate","133,765","36,518","12,478","15,455","18,465","16,911","17,785","16,153"
"Coral Terrace CDP, Florida","","","","","","","",""
"    Estimate","26,147","6,433","586","4,485","3,562","3,320","3,468","4,293"
"Country Club CDP, Florida","","","","","","","",""
"    Estimate","46,178","9,217","6,346","4,608","8,322","6,536","4,751","6,398"
"Crestview city, Florida","","","","","","","",""
"    Estimate","25,284","6,053","2,932","4,614","4,137","3,390","2,437","1,721"
"Cutler Bay town, Florida","","","","","","","",""
"    Estimate","43,716","10,694","2,923","6,496","5,393","6,277","4,992","6,941"
"Dania Beach city, Florida","","","","","","","",""
"    Estimate","32,272","7,299","1,680","3,775","5,741","3,879","4,752","5,146"
"Davie town, Florida","","","","","","","",""
"    Estimate","106,310","23,811","13,346","15,628","12,970","16,346","12,533","11,676"
"Daytona Beach city, Florida","","","","","","","",""
"    Estimate","69,197","9,737","8,989","9,846","7,569","8,763","8,713","15,580"
"DeBary city, Florida","","","","","","","",""
"    Estimate","22,604","3,201","2,260","2,151","2,036","4,464","4,126","4,366"
"Deerfield Beach city, Florida","","","","","","","",""
"    Estimate","81,070","14,567","3,695","11,050","9,385","12,182","10,521","19,670"
"DeLand city, Florida","","","","","","","",""
"    Estimate","34,846","5,943","5,103","4,035","4,761","3,396","5,051","6,557"
"Delray Beach city, Florida","","","","","","","",""
"    Estimate","69,449","9,280","6,352","10,937","6,593","7,035","11,067","18,185"
"Deltona city, Florida","","","","","","","",""
"    Estimate","92,752","23,091","7,818","12,503","11,341","11,505","9,813","16,681"
"Doral city, Florida","","","","","","","",""
"    Estimate","65,746","16,352","5,698","8,297","10,371","12,170","7,576","5,282"
"Dunedin city, Florida","","","","","","","",""
"    Estimate","36,548","3,711","1,972","4,019","3,427","4,587","6,290","12,542"
"East Lake CDP, Florida","","","","","","","",""
"    Estimate","35,426","7,046","891","2,458","3,430","5,630","4,889","11,082"
"East Lake-Orient Park CDP, Florida","","","","","","","",""
"    Estimate","28,670","6,922","3,223","4,499","3,042","4,299","3,982","2,703"
"Edgewater city, Florida","","","","","","","",""
"    Estimate","20,448","2,248","1,008","2,646","947","2,286","4,118","7,195"
"Egypt Lake-Leto CDP, Florida","","","","","","","",""
"    Estimate","34,696","6,070","3,678","6,705","4,890","4,976","2,763","5,614"
"Ensley CDP, Florida","","","","","","","",""
"    Estimate","20,808","4,636","1,489","4,276","2,623","2,620","1,936","3,228"
"Estero village, Florida","","","","","","","",""
"    Estimate","33,865","2,453","845","2,033","1,710","2,259","4,905","19,660"
"Eustis city, Florida","","","","","","","",""
"    Estimate","23,255","5,858","2,454","2,060","2,081","2,404","2,817","5,581"
"Ferry Pass CDP, Florida","","","","","","","",""
"    Estimate","31,131","5,617","4,455","6,261","3,902","2,365","3,036","5,495"
"Fish Hawk CDP, Florida","","","","","","","",""
"    Estimate","22,540","8,023","1,279","1,539","3,987","3,573","2,306","1,833"
"Fleming Island CDP, Florida","","","","","","","",""
"    Estimate","25,293","5,370","1,429","2,233","3,575","4,421","3,870","4,395"
"Florida Ridge CDP, Florida","","","","","","","",""
"    Estimate","27,680","5,865","2,404","4,942","1,912","2,165","2,908","7,484"
"Fort Lauderdale city, Florida","","","","","","","",""
"    Estimate","182,434","32,954","9,539","32,762","24,465","21,651","26,301","34,762"
"Fort Myers city, Florida","","","","","","","",""
"    Estimate","87,111","18,970","6,663","13,856","11,078","9,124","8,478","18,942"
"Fort Pierce city, Florida","","","","","","","",""
"    Estimate","46,095","9,730","5,438","5,493","5,402","5,969","5,468","8,595"
"Fort Walton Beach city, Florida","","","","","","","",""
"    Estimate","19,743","4,126","2,026","2,432","2,333","2,278","2,388","4,160"
"Fountainebleau CDP, Florida","","","","","","","",""
"    Estimate","68,619","10,036","4,170","14,594","10,300","8,177","10,620","10,722"
"Four Corners CDP, Florida","","","","","","","",""
"    Estimate","47,758","8,486","2,855","9,325","8,444","6,305","5,118","7,225"
"Fruit Cove CDP, Florida","","","","","","","",""
"    Estimate","32,346","6,902","2,944","2,002","5,472","5,436","4,680","4,910"
"Gainesville city, Florida","","","","","","","",""
"    Estimate","133,990","19,499","42,168","22,809","14,044","10,520","10,150","14,800"
"Golden Gate CDP, Florida","","","","","","","",""
"    Estimate","29,984","4,856","3,179","4,413","3,363","5,688","4,642","3,843"
"Golden Glades CDP, Florida","","","","","","","",""
"    Estimate","31,968","6,895","3,335","4,445","5,830","2,879","4,112","4,472"
"Greenacres city, Florida","","","","","","","",""
"    Estimate","41,123","7,210","4,502","5,025","5,301","5,482","5,806","7,797"
"Haines City city, Florida","","","","","","","",""
"    Estimate","26,004","7,428","2,832","3,527","3,634","2,602","2,943","3,038"
"Hallandale Beach city, Florida","","","","","","","",""
"    Estimate","39,854","7,649","2,303","5,958","4,646","3,770","5,482","10,046"
"Hialeah city, Florida","","","","","","","",""
"    Estimate","233,362","41,618","20,724","25,874","28,876","36,648","30,440","49,182"
"Hialeah Gardens city, Florida","","","","","","","",""
"    Estimate","23,960","3,395","3,069","3,639","2,460","4,318","3,592","3,487"
"Holiday CDP, Florida","","","","","","","",""
"    Estimate","22,451","4,276","1,439","4,521","2,451","2,774","2,411","4,579"
"Hollywood city, Florida","","","","","","","",""
"    Estimate","154,802","33,074","11,432","19,051","22,727","21,419","22,996","24,103"
"Homestead city, Florida","","","","","","","",""
"    Estimate","69,526","24,395","4,406","9,801","10,111","9,829","6,188","4,796"
"Horizon West CDP, Florida","","","","","","","",""
"    Estimate","39,950","9,154","2,465","8,513","5,772","5,475","4,870","3,701"
"Immokalee CDP, Florida","","","","","","","",""
"    Estimate","28,770","10,210","3,354","4,069","4,355","2,659","2,230","1,893"
"Ives Estates CDP, Florida","","","","","","","",""
"    Estimate","23,526","4,883","2,747","2,622","3,566","3,298","3,481","2,929"
"Jacksonville city, Florida","","","","","","","",""
"    Estimate","911,528","206,135","81,161","150,466","116,531","111,341","115,064","130,830"
"Jacksonville Beach city, Florida","","","","","","","",""
"    Estimate","23,203","4,261","773","4,766","5,169","2,650","2,911","2,673"
"Jupiter town, Florida","","","","","","","",""
"    Estimate","65,797","13,178","4,818","6,243","7,529","8,764","9,373","15,892"
"Kendale Lakes CDP, Florida","","","","","","","",""
"    Estimate","52,644","6,259","5,169","5,517","5,144","9,004","9,246","12,305"
"Kendall CDP, Florida","","","","","","","",""
"    Estimate","80,410","12,579","7,105","13,126","9,470","9,834","12,086","16,210"
"Kendall West CDP, Florida","","","","","","","",""
"    Estimate","38,893","8,232","3,455","5,598","5,208","5,847","5,385","5,168"
"Keystone CDP, Florida","","","","","","","",""
"    Estimate","27,031","7,987","1,572","2,074","2,299","4,842","3,758","4,499"
"Key West city, Florida","","","","","","","",""
"    Estimate","24,122","2,157","2,181","4,466","3,089","4,135","3,181","4,913"
"Kissimmee city, Florida","","","","","","","",""
"    Estimate","72,701","18,678","6,070","9,773","11,449","9,496","8,497","8,738"
"Lakeland city, Florida","","","","","","","",""
"    Estimate","112,142","22,348","12,778","14,422","13,863","11,753","11,876","25,102"
"Lake Magdalene CDP, Florida","","","","","","","",""
"    Estimate","34,095","7,185","2,039","5,911","4,280","4,063","4,461","6,156"
"Lakeside CDP, Florida","","","","","","","",""
"    Estimate","31,719","6,682","3,028","4,976","2,011","4,490","5,451","5,081"
"Lake Worth city, Florida","","","","","","","",""
"    Estimate","38,530","8,743","3,077","5,558","6,356","4,864","3,996","5,936"
"Land O' Lakes CDP, Florida","","","","","","","",""
"    Estimate","43,143","10,309","1,486","3,928","5,967","6,846","5,806","8,801"
"Largo city, Florida","","","","","","","",""
"    Estimate","84,957","13,014","7,963","11,025","7,126","11,487","13,928","20,414"
"Lauderdale Lakes city, Florida","","","","","","","",""
"    Estimate","36,190","9,163","2,102","4,317","4,005","4,138","6,098","6,367"
"Lauderhill city, Florida","","","","","","","",""
"    Estimate","71,863","19,230","5,140","10,499","8,519","10,236","7,540","10,699"
"Lealman CDP, Florida","","","","","","","",""
"    Estimate","21,855","3,749","1,153","4,672","2,232","2,338","2,929","4,782"
"Leesburg city, Florida","","","","","","","",""
"    Estimate","27,682","3,295","3,689","4,281","2,256","3,570","2,867","7,724"
"Lehigh Acres CDP, Florida","","","","","","","",""
"    Estimate","134,667","34,261","11,977","17,103","18,667","18,230","15,647","18,782"
"Leisure City CDP, Florida","","","","","","","",""
"    Estimate","26,762","6,978","2,609","3,531","2,280","3,934","3,770","3,660"
"Lutz CDP, Florida","","","","","","","",""
"    Estimate","24,153","4,423","2,057","3,934","2,582","3,367","3,730","4,060"
"Lynn Haven city, Florida","","","","","","","",""
"    Estimate","19,869","4,667","1,780","2,872","2,127","3,281","2,071","3,071"
"Maitland city, Florida","","","","","","","",""
"    Estimate","20,674","3,455","1,632","5,164","1,860","2,810","2,608","3,145"
"Margate city, Florida","","","","","","","",""
"    Estimate","58,795","7,455","4,131","9,640","4,531","9,936","8,918","14,184"
"Meadow Woods CDP, Florida","","","","","","","",""
"    Estimate","25,661","5,215","2,703","3,773","4,889","4,110","1,915","3,056"
"Melbourne city, Florida","","","","","","","",""
"    Estimate","83,030","13,468","8,925","11,043","8,885","9,933","11,524","19,252"
"Merritt Island CDP, Florida","","","","","","","",""
"    Estimate","40,039","8,615","2,128","5,827","4,159","3,658","7,074","8,578"
"Miami city, Florida","","","","","","","",""
"    Estimate","467,968","79,910","29,101","85,220","66,859","65,726","58,393","82,759"
"Miami Beach city, Florida","","","","","","","",""
"    Estimate","88,885","14,540","5,561","13,708","17,346","13,430","10,072","14,228"
"Miami Gardens city, Florida","","","","","","","",""
"    Estimate","110,003","26,342","10,537","16,808","12,457","13,196","14,012","16,651"
"Miami Lakes town, Florida","","","","","","","",""
"    Estimate","31,362","6,139","2,213","3,693","3,364","4,819","5,502","5,632"
"Miramar city, Florida","","","","","","","",""
"    Estimate","141,196","33,333","13,729","22,204","23,078","17,557","15,170","16,125"
"Navarre CDP, Florida","","","","","","","",""
"    Estimate","40,255","9,635","5,554","4,138","4,963","6,914","2,924","6,127"
"New Smyrna Beach city, Florida","","","","","","","",""
"    Estimate","27,846","2,343","1,759","3,342","1,833","2,315","5,453","10,801"
"Northdale CDP, Florida","","","","","","","",""
"    Estimate","24,391","5,375","2,293","1,894","3,796","3,935","3,658","3,440"
"North Fort Myers CDP, Florida","","","","","","","",""
"    Estimate","44,685","5,210","3,601","4,325","1,371","4,315","6,387","19,476"
"North Lauderdale city, Florida","","","","","","","",""
"    Estimate","44,261","11,051","4,328","6,489","7,340","7,482","3,502","4,069"
"North Miami city, Florida","","","","","","","",""
"    Estimate","62,828","15,848","4,946","9,633","11,352","6,099","7,300","7,650"
"North Miami Beach city, Florida","","","","","","","",""
"    Estimate","43,047","8,213","3,606","8,415","4,461","6,441","6,332","5,579"
"North Port city, Florida","","","","","","","",""
"    Estimate","70,722","16,392","4,740","3,879","7,523","6,716","8,541","22,931"
"Oakland Park city, Florida","","","","","","","",""
"    Estimate","45,208","7,479","2,904","6,862","7,724","6,677","7,343","6,219"
"Oakleaf Plantation CDP, Florida","","","","","","","",""
"    Estimate","30,271","9,708","3,251","2,277","5,096","4,897","2,620","2,422"
"Oak Ridge CDP, Florida","","","","","","","",""
"    Estimate","25,931","7,255","1,884","5,917","3,877","2,284","2,395","2,319"
"Ocala city, Florida","","","","","","","",""
"    Estimate","60,786","12,891","5,564","10,420","7,341","5,999","8,257","10,314"
"Ocoee city, Florida","","","","","","","",""
"    Estimate","48,265","13,530","4,256","7,395","7,046","6,427","5,033","4,578"
"Orlando city, Florida","","","","","","","",""
"    Estimate","287,435","63,989","20,482","61,944","48,799","34,754","28,732","28,735"
"Ormond Beach city, Florida","","","","","","","",""
"    Estimate","43,756","9,621","3,091","4,374","4,173","5,125","5,464","11,908"
"Oviedo city, Florida","","","","","","","",""
"    Estimate","41,858","11,052","2,333","5,593","6,064","6,226","5,669","4,921"
"Pace CDP, Florida","","","","","","","",""
"    Estimate","23,651","5,567","1,724","3,706","1,905","3,441","3,618","3,690"
"Palm Bay city, Florida","","","","","","","",""
"    Estimate","115,560","23,587","8,224","14,620","13,681","12,582","19,133","23,733"
"Palm Beach Gardens city, Florida","","","","","","","",""
"    Estimate","57,696","10,390","2,596","6,524","5,459","6,592","7,612","18,523"
"Palm City CDP, Florida","","","","","","","",""
"    Estimate","26,153","5,549","2,187","1,510","3,185","4,151","3,589","5,982"
"Palm Coast city, Florida","","","","","","","",""
"    Estimate","89,797","13,967","6,531","8,290","9,098","10,632","14,143","27,136"
"Palmetto Bay village, Florida","","","","","","","",""
"    Estimate","24,528","6,111","2,865","1,748","3,253","3,830","3,116","3,605"
"Palm Harbor CDP, Florida","","","","","","","",""
"    Estimate","60,155","9,745","2,566","7,888","5,764","8,908","8,369","16,915"
"Palm River-Clair Mel CDP, Florida","","","","","","","",""
"    Estimate","24,638","5,743","1,971","3,038","4,373","3,236","3,272","3,005"
"Palm Springs village, Florida","","","","","","","",""
"    Estimate","25,218","5,074","1,595","4,261","3,471","4,912","3,188","2,717"
"Palm Valley CDP, Florida","","","","","","","",""
"    Estimate","23,182","5,323","1,138","1,807","1,890","3,160","3,881","5,983"
"Panama City city, Florida","","","","","","","",""
"    Estimate","34,664","7,728","3,019","4,938","3,593","4,752","3,970","6,664"
"Panama City Beach city, Florida","","","","","","","",""
"    Estimate","21,870","4,166","2,358","4,146","2,808","2,788","2,865","2,739"
"Parkland city, Florida","","","","","","","",""
"    Estimate","34,171","10,269","2,408","1,035","5,906","5,552","3,584","5,417"
"Pembroke Pines city, Florida","","","","","","","",""
"    Estimate","173,591","39,259","13,121","22,328","25,959","22,901","19,957","30,066"
"Pensacola city, Florida","","","","","","","",""
"    Estimate","52,966","13,002","3,310","8,112","6,073","4,137","8,352","9,980"
"Pine Hills CDP, Florida","","","","","","","",""
"    Estimate","94,802","25,221","9,978","14,148","12,421","11,763","11,407","9,864"
"Pinellas Park city, Florida","","","","","","","",""
"    Estimate","53,640","8,851","2,966","6,758","7,894","5,791","8,524","12,856"
"Plantation city, Florida","","","","","","","",""
"    Estimate","94,605","18,084","6,885","14,749","10,967","13,550","11,998","18,372"
"Plant City city, Florida","","","","","","","",""
"    Estimate","39,739","7,227","2,123","8,107","4,409","5,414","6,721","5,738"
"Poinciana CDP, Florida","","","","","","","",""
"    Estimate","72,545","20,569","6,443","9,829","12,800","6,142","6,737","10,025"
"Pompano Beach city, Florida","","","","","","","",""
"    Estimate","112,122","18,184","7,787","14,071","14,269","14,998","19,057","23,756"
"Port Charlotte CDP, Florida","","","","","","","",""
"    Estimate","65,951","10,011","4,494","7,953","8,187","5,913","11,111","18,282"
"Port Orange city, Florida","","","","","","","",""
"    Estimate","64,843","13,168","4,174","6,292","6,760","8,367","9,463","16,619"
"Port St. Lucie city, Florida","","","","","","","",""
"    Estimate","201,858","45,568","12,008","24,338","26,331","23,209","23,883","46,521"
"Princeton CDP, Florida","","","","","","","",""
"    Estimate","31,233","8,314","1,949","3,256","5,499","5,913","2,242","4,060"
"Richmond West CDP, Florida","","","","","","","",""
"    Estimate","39,904","7,056","3,663","5,249","5,366","5,361","6,258","6,951"
"Riverview CDP, Florida","","","","","","","",""
"    Estimate","97,034","23,666","6,263","14,180","14,821","15,337","11,742","11,025"
"Riviera Beach city, Florida","","","","","","","",""
"    Estimate","35,453","9,124","2,242","5,088","3,645","4,021","5,173","6,160"
"Rockledge city, Florida","","","","","","","",""
"    Estimate","28,222","6,308","1,347","3,336","4,666","3,507","3,566","5,492"
"Royal Palm Beach village, Florida","","","","","","","",""
"    Estimate","40,398","7,901","4,702","3,767","4,376","5,566","6,850","7,236"
"Ruskin CDP, Florida","","","","","","","",""
"    Estimate","32,925","10,462","2,406","4,308","5,940","3,587","2,217","4,005"
"St. Cloud city, Florida","","","","","","","",""
"    Estimate","54,589","12,905","3,267","6,634","6,785","6,219","7,013","11,766"
"St. Petersburg city, Florida","","","","","","","",""
"    Estimate","265,358","42,832","21,531","39,505","32,915","32,101","42,378","54,096"
"Sanford city, Florida","","","","","","","",""
"    Estimate","61,434","14,513","4,687","8,615","10,779","7,691","8,194","6,955"
"Sarasota city, Florida","","","","","","","",""
"    Estimate","58,294","8,053","4,704","7,711","6,008","6,032","8,889","16,897"
"Sebastian city, Florida","","","","","","","",""
"    Estimate","26,111","3,733","1,019","1,591","1,488","3,279","4,237","10,764"
"South Bradenton CDP, Florida","","","","","","","",""
"    Estimate","29,249","5,473","3,322","4,429","3,632","2,316","2,823","7,254"
"South Miami Heights CDP, Florida","","","","","","","",""
"    Estimate","37,063","8,013","2,805","5,731","5,314","5,235","4,867","5,098"
"Spring Hill CDP, Florida","","","","","","","",""
"    Estimate","113,787","22,766","8,575","12,340","12,747","14,623","15,322","27,414"
"Sun City Center CDP, Florida","","","","","","","",""
"    Estimate","26,912","997","763","1,097","1,167","1,130","1,718","20,040"
"Sunrise city, Florida","","","","","","","",""
"    Estimate","95,153","14,432","7,980","13,517","12,259","12,107","16,008","18,850"
"Sweetwater city, Florida","","","","","","","",""
"    Estimate","22,231","4,115","2,314","2,736","3,372","3,089","3,531","3,074"
"Tallahassee city, Florida","","","","","","","",""
"    Estimate","194,503","33,202","55,837","31,072","20,050","18,457","15,078","20,807"
"Tamarac city, Florida","","","","","","","",""
"    Estimate","66,712","12,676","4,997","5,982","5,909","8,933","9,481","18,734"
"Tamiami CDP, Florida","","","","","","","",""
"    Estimate","57,221","10,591","4,080","7,298","7,405","9,673","7,760","10,414"
"Tampa city, Florida","","","","","","","",""
"    Estimate","399,690","87,600","39,318","66,511","56,481","50,777","47,174","51,829"
"Tarpon Springs city, Florida","","","","","","","",""
"    Estimate","25,578","4,977","527","2,169","2,487","3,304","3,760","8,354"
"Temple Terrace city, Florida","","","","","","","",""
"    Estimate","26,643","6,304","4,455","4,937","3,684","2,146","2,271","2,846"
"The Acreage CDP, Florida","","","","","","","",""
"    Estimate","41,880","8,507","3,798","6,043","4,674","6,905","7,043","4,910"
"The Crossings CDP, Florida","","","","","","","",""
"    Estimate","21,849","4,269","1,357","2,439","3,020","3,448","2,804","4,512"
"The Hammocks CDP, Florida","","","","","","","",""
"    Estimate","65,765","15,010","6,591","7,605","10,991","10,051","6,575","8,942"
"The Villages CDP, Florida","","","","","","","",""
"    Estimate","85,377","158","233","853","1,321","1,654","9,451","71,707"
"Titusville city, Florida","","","","","","","",""
