"Label (Grouping)","Median earnings in the past 12 months (in 2019 Inflation-adjusted dollars) --!!Total (dollars):"
"Bayshore Gardens CDP, Florida",""
"    Estimate","30,851"
"Bellview CDP, Florida",""
"    Estimate","31,430"
"Bloomingdale CDP, Florida",""
"    Estimate","36,323"
"Boca Raton city, Florida",""
"    Estimate","41,058"
"Bonita Springs city, Florida",""
"    Estimate","32,633"
"Boynton Beach city, Florida",""
"    Estimate","32,328"
"Bradenton city, Florida",""
"    Estimate","25,030"
"Brandon CDP, Florida",""
"    Estimate","35,347"
"Brent CDP, Florida",""
"    Estimate","16,049"
"Buenaventura Lakes CDP, Florida",""
"    Estimate","29,811"
"Cape Coral city, Florida",""
"    Estimate","33,635"
"Carrollwood CDP, Florida",""
"    Estimate","34,293"
"Casselberry city, Florida",""
"    Estimate","31,591"
"Citrus Park CDP, Florida",""
"    Estimate","38,845"
"Clearwater city, Florida",""
"    Estimate","34,974"
"Clermont city, Florida",""
"    Estimate","31,822"
"Coconut Creek city, Florida",""
"    Estimate","41,236"
"Cooper City city, Florida",""
"    Estimate","47,354"
"Coral Gables city, Florida",""
"    Estimate","55,165"
"Coral Springs city, Florida",""
"    Estimate","35,989"
"Coral Terrace CDP, Florida",""
"    Estimate","38,447"
"Country Club CDP, Florida",""
"    Estimate","27,381"
"Crestview city, Florida",""
"    Estimate","30,270"
"Cutler Bay town, Florida",""
"    Estimate","32,465"
"Dania Beach city, Florida",""
"    Estimate","32,442"
"Davie town, Florida",""
"    Estimate","34,517"
"Daytona Beach city, Florida",""
"    Estimate","26,937"
"DeBary city, Florida",""
"    Estimate","39,054"
"Deerfield Beach city, Florida",""
"    Estimate","31,504"
"DeLand city, Florida",""
"    Estimate","34,526"
"Delray Beach city, Florida",""
"    Estimate","34,971"
"Deltona city, Florida",""
"    Estimate","31,480"
"Doral city, Florida",""
"    Estimate","33,656"
"Dunedin city, Florida",""
"    Estimate","30,633"
"East Lake CDP, Florida",""
"    Estimate","36,843"
"East Lake-Orient Park CDP, Florida",""
"    Estimate","26,400"
"Edgewater city, Florida",""
"    Estimate","30,980"
"Egypt Lake-Leto CDP, Florida",""
"    Estimate","30,052"
"Ensley CDP, Florida",""
"    Estimate","31,521"
"Estero village, Florida",""
"    Estimate","37,451"
"Eustis city, Florida",""
"    Estimate","23,146"
"Ferry Pass CDP, Florida",""
"    Estimate","31,058"
"Fish Hawk CDP, Florida",""
"    Estimate","51,367"
"Fleming Island CDP, Florida",""
"    Estimate","57,490"
"Florida Ridge CDP, Florida",""
"    Estimate","28,164"
"Fort Lauderdale city, Florida",""
"    Estimate","38,254"
"Fort Myers city, Florida",""
"    Estimate","27,636"
"Fort Pierce city, Florida",""
"    Estimate","25,368"
"Fort Walton Beach city, Florida",""
"    Estimate","25,987"
"Fountainebleau CDP, Florida",""
"    Estimate","31,711"
"Four Corners CDP, Florida",""
"    Estimate","35,257"
"Fruit Cove CDP, Florida",""
"    Estimate","50,529"
"Gainesville city, Florida",""
"    Estimate","23,622"
"Golden Gate CDP, Florida",""
"    Estimate","26,949"
"Golden Glades CDP, Florida",""
"    Estimate","28,445"
"Greenacres city, Florida",""
"    Estimate","25,422"
"Haines City city, Florida",""
"    Estimate","29,320"
"Hallandale Beach city, Florida",""
"    Estimate","30,171"
"Hialeah city, Florida",""
"    Estimate","27,543"
"Hialeah Gardens city, Florida",""
"    Estimate","25,949"
"Holiday CDP, Florida",""
"    Estimate","28,400"
"Hollywood city, Florida",""
"    Estimate","31,002"
"Homestead city, Florida",""
"    Estimate","28,915"
"Horizon West CDP, Florida",""
"    Estimate","47,103"
"Immokalee CDP, Florida",""
"    Estimate","23,243"
"Ives Estates CDP, Florida",""
"    Estimate","31,954"
"Jacksonville city, Florida",""
"    Estimate","32,853"
"Jacksonville Beach city, Florida",""
"    Estimate","61,022"
"Jupiter town, Florida",""
"    Estimate","37,626"
"Kendale Lakes CDP, Florida",""
"    Estimate","32,427"
"Kendall CDP, Florida",""
"    Estimate","37,132"
"Kendall West CDP, Florida",""
"    Estimate","31,134"
"Keystone CDP, Florida",""
"    Estimate","60,765"
"Key West city, Florida",""
"    Estimate","34,364"
"Kissimmee city, Florida",""
"    Estimate","25,344"
"Lakeland city, Florida",""
"    Estimate","30,905"
"Lake Magdalene CDP, Florida",""
"    Estimate","35,302"
"Lakeside CDP, Florida",""
"    Estimate","32,260"
"Lake Worth city, Florida",""
"    Estimate","25,607"
"Land O' Lakes CDP, Florida",""
"    Estimate","45,594"
"Largo city, Florida",""
"    Estimate","29,734"
"Lauderdale Lakes city, Florida",""
"    Estimate","21,864"
"Lauderhill city, Florida",""
"    Estimate","29,823"
"Lealman CDP, Florida",""
"    Estimate","26,846"
"Leesburg city, Florida",""
"    Estimate","21,292"
"Lehigh Acres CDP, Florida",""
"    Estimate","26,970"
"Leisure City CDP, Florida",""
"    Estimate","21,804"
"Lutz CDP, Florida",""
"    Estimate","46,492"
"Lynn Haven city, Florida",""
"    Estimate","30,151"
"Maitland city, Florida",""
"    Estimate","50,836"
"Margate city, Florida",""
"    Estimate","26,912"
"Meadow Woods CDP, Florida",""
"    Estimate","25,975"
"Melbourne city, Florida",""
"    Estimate","28,609"
"Merritt Island CDP, Florida",""
"    Estimate","39,004"
"Miami city, Florida",""
"    Estimate","30,244"
"Miami Beach city, Florida",""
"    Estimate","31,317"
"Miami Gardens city, Florida",""
"    Estimate","26,147"
"Miami Lakes town, Florida",""
"    Estimate","50,893"
"Miramar city, Florida",""
"    Estimate","36,519"
"Navarre CDP, Florida",""
"    Estimate","26,826"
"New Smyrna Beach city, Florida",""
"    Estimate","31,516"
"Northdale CDP, Florida",""
"    Estimate","36,045"
"North Fort Myers CDP, Florida",""
"    Estimate","31,098"
"North Lauderdale city, Florida",""
"    Estimate","30,513"
"North Miami city, Florida",""
"    Estimate","26,095"
"North Miami Beach city, Florida",""
"    Estimate","29,310"
"North Port city, Florida",""
"    Estimate","35,353"
"Oakland Park city, Florida",""
"    Estimate","30,228"
"Oakleaf Plantation CDP, Florida",""
"    Estimate","48,057"
"Oak Ridge CDP, Florida",""
"    Estimate","24,709"
"Ocala city, Florida",""
"    Estimate","31,251"
"Ocoee city, Florida",""
"    Estimate","31,258"
"Orlando city, Florida",""
"    Estimate","33,579"
"Ormond Beach city, Florida",""
"    Estimate","31,713"
"Oviedo city, Florida",""
"    Estimate","51,285"
"Pace CDP, Florida",""
"    Estimate","34,153"
"Palm Bay city, Florida",""
"    Estimate","29,801"
"Palm Beach Gardens city, Florida",""
"    Estimate","47,260"
"Palm City CDP, Florida",""
"    Estimate","50,060"
"Palm Coast city, Florida",""
"    Estimate","31,193"
"Palmetto Bay village, Florida",""
"    Estimate","51,566"
"Palm Harbor CDP, Florida",""
"    Estimate","40,347"
"Palm River-Clair Mel CDP, Florida",""
"    Estimate","27,010"
"Palm Springs village, Florida",""
"    Estimate","26,437"
"Palm Valley CDP, Florida",""
"    Estimate","51,779"
"Panama City city, Florida",""
"    Estimate","28,643"
"Panama City Beach city, Florida",""
"    Estimate","40,044"
"Parkland city, Florida",""
"    Estimate","95,375"
"Pembroke Pines city, Florida",""
"    Estimate","38,414"
"Pensacola city, Florida",""
"    Estimate","36,181"
"Pine Hills CDP, Florida",""
"    Estimate","22,472"
"Pinellas Park city, Florida",""
"    Estimate","32,115"
"Plantation city, Florida",""
"    Estimate","36,672"
"Plant City city, Florida",""
"    Estimate","32,125"
"Poinciana CDP, Florida",""
"    Estimate","26,680"
"Pompano Beach city, Florida",""
"    Estimate","31,327"
"Port Charlotte CDP, Florida",""
"    Estimate","29,880"
"Port Orange city, Florida",""
"    Estimate","31,114"
"Port St. Lucie city, Florida",""
"    Estimate","32,232"
"Princeton CDP, Florida",""
"    Estimate","34,190"
"Richmond West CDP, Florida",""
"    Estimate","39,550"
"Riverview CDP, Florida",""
"    Estimate","42,251"
"Riviera Beach city, Florida",""
"    Estimate","28,802"
"Rockledge city, Florida",""
"    Estimate","34,620"
"Royal Palm Beach village, Florida",""
"    Estimate","40,237"
"Ruskin CDP, Florida",""
"    Estimate","35,437"
"St. Cloud city, Florida",""
"    Estimate","30,262"
"St. Petersburg city, Florida",""
"    Estimate","37,501"
"Sanford city, Florida",""
"    Estimate","31,840"
"Sarasota city, Florida",""
"    Estimate","28,859"
"Sebastian city, Florida",""
"    Estimate","31,651"
"South Bradenton CDP, Florida",""
"    Estimate","25,496"
"South Miami Heights CDP, Florida",""
"    Estimate","26,340"
"Spring Hill CDP, Florida",""
"    Estimate","29,374"
"Sun City Center CDP, Florida",""
"    Estimate","42,164"
"Sunrise city, Florida",""
"    Estimate","30,952"
"Sweetwater city, Florida",""
"    Estimate","25,529"
"Tallahassee city, Florida",""
"    Estimate","25,575"
"Tamarac city, Florida",""
"    Estimate","23,886"
"Tamiami CDP, Florida",""
"    Estimate","31,198"
"Tampa city, Florida",""
"    Estimate","35,963"
"Tarpon Springs city, Florida",""
"    Estimate","42,538"
"Temple Terrace city, Florida",""
"    Estimate","36,032"
"The Acreage CDP, Florida",""
"    Estimate","41,775"
"The Crossings CDP, Florida",""
"    Estimate","31,911"
"The Hammocks CDP, Florida",""
"    Estimate","37,420"
"The Villages CDP, Florida",""
"    Estimate","19,852"
"Titusville city, Florida",""
"    Estimate","36,160"
"Town 'n' Country CDP, Florida",""
"    Estimate","31,733"
"University CDP (Hillsborough County), Florida",""
"    Estimate","22,120"
"University CDP (Orange County), Florida",""
"    Estimate","19,163"
"University Park CDP, Florida",""
"    Estimate","26,391"
"Valrico CDP, Florida",""
"    Estimate","38,154"
"Venice city, Florida",""
"    Estimate","30,247"
"Vero Beach South CDP, Florida",""
"    Estimate","27,450"
"Wekiwa Springs CDP, Florida",""
"    Estimate","40,356"
"Wellington village, Florida",""
"    Estimate","42,303"
"Wesley Chapel CDP, Florida",""
"    Estimate","42,147"
"Westchase CDP, Florida",""
"    Estimate","65,436"
"Westchester CDP, Florida",""
"    Estimate","40,951"
"West Little River CDP, Florida",""
"    Estimate","30,058"
"West Melbourne city, Florida",""
"    Estimate","38,641"
"Weston city, Florida",""
"    Estimate","56,212"
"West Palm Beach city, Florida",""
"    Estimate","29,714"
"West Park city, Florida",""
"    Estimate","21,740"
"Winter Garden city, Florida",""
"    Estimate","45,250"
"Winter Haven city, Florida",""
"    Estimate","28,450"
"Winter Park city, Florida",""
"    Estimate","45,842"
"Winter Springs city, Florida",""
"    Estimate","41,234"
"World Golf Village CDP, Florida",""
"    Estimate","35,534"
"Wright CDP, Florida",""
"    Estimate","29,355"
"Acworth city, Georgia",""
"    Estimate","31,668"
"Albany city, Georgia",""
"    Estimate","25,836"
"Alpharetta city, Georgia",""
"    Estimate","67,147"
"Athens-Clarke County unified government (balance), Georgia",""
"    Estimate","20,366"
"Atlanta city, Georgia",""
"    Estimate","47,270"
"Augusta-Richmond County consolidated government (balance), Georgia",""
"    Estimate","26,897"
"Brookhaven city, Georgia",""
"    Estimate","68,013"
"Calhoun city, Georgia",""
"    Estimate","30,930"
"Candler-McAfee CDP, Georgia",""
"    Estimate","31,856"
"Canton city, Georgia",""
"    Estimate","37,016"
"Carrollton city, Georgia",""
"    Estimate","22,291"
"Cartersville city, Georgia",""
"    Estimate","34,346"
"Chamblee city, Georgia",""
"    Estimate","37,067"
"Columbus city, Georgia",""
"    Estimate","31,061"
"Dalton city, Georgia",""
"    Estimate","30,150"
"Decatur city, Georgia",""
"    Estimate","87,321"
"Douglasville city, Georgia",""
"    Estimate","39,413"
"Duluth city, Georgia",""
"    Estimate","47,346"
"Dunwoody city, Georgia",""
"    Estimate","50,751"
"East Point city, Georgia",""
"    Estimate","37,271"
"Evans CDP, Georgia",""
"    Estimate","53,081"
"Gainesville city, Georgia",""
"    Estimate","30,178"
"Griffin city, Georgia",""
"    Estimate","27,537"
"Hinesville city, Georgia",""
"    Estimate","32,020"
"Johns Creek city, Georgia",""
"    Estimate","74,016"
"Kennesaw city, Georgia",""
"    Estimate","36,426"
"LaGrange city, Georgia",""
"    Estimate","23,386"
"Lawrenceville city, Georgia",""
"    Estimate","27,732"
"Lithia Springs CDP, Georgia",""
"    Estimate","30,570"
"Mableton CDP, Georgia",""
"    Estimate","45,629"
"McDonough city, Georgia",""
"    Estimate","34,276"
"Macon-Bibb County, Georgia",""
"    Estimate","29,688"
"Marietta city, Georgia",""
"    Estimate","36,727"
"Martinez CDP, Georgia",""
"    Estimate","46,348"
"Milton city, Georgia",""
"    Estimate","54,593"
"Newnan city, Georgia",""
"    Estimate","37,618"
"Norcross city, Georgia",""
"    Estimate","36,632"
"Peachtree City city, Georgia",""
"    Estimate","54,900"
"Peachtree Corners city, Georgia",""
"    Estimate","41,656"
"Pooler city, Georgia",""
"    Estimate","40,479"
"Powder Springs city, Georgia",""
"    Estimate","41,386"
"Redan CDP, Georgia",""
"    Estimate","30,719"
"Rome city, Georgia",""
"    Estimate","24,744"
"Roswell city, Georgia",""
"    Estimate","50,111"
"Sandy Springs city, Georgia",""
"    Estimate","52,780"
"Savannah city, Georgia",""
"    Estimate","25,204"
"Smyrna city, Georgia",""
"    Estimate","55,038"
"Snellville city, Georgia",""
"    Estimate","35,376"
"South Fulton city, Georgia",""
"    Estimate","40,104"
"Statesboro city, Georgia",""
"    Estimate","11,251"
"Stockbridge city, Georgia",""
"    Estimate","42,431"
"Stonecrest city, Georgia",""
"    Estimate","34,113"
"Sugar Hill city, Georgia",""
"    Estimate","45,398"
"Tucker city, Georgia",""
"    Estimate","41,170"
"Union City city, Georgia",""
"    Estimate","35,825"
"Valdosta city, Georgia",""
"    Estimate","23,499"
"Warner Robins city, Georgia",""
"    Estimate","32,065"
"Woodstock city, Georgia",""
"    Estimate","47,455"
"East Honolulu CDP, Hawaii",""
"    Estimate","60,464"
"Ewa Gentry CDP, Hawaii",""
"    Estimate","46,987"
"Hilo CDP, Hawaii",""
"    Estimate","35,453"
"Kahului CDP, Hawaii",""
"    Estimate","31,940"
"Kailua CDP (Honolulu County), Hawaii",""
"    Estimate","51,280"
"Kaneohe CDP, Hawaii",""
"    Estimate","46,748"
"Kapolei CDP, Hawaii",""
"    Estimate","54,563"
"Kihei CDP, Hawaii",""
"    Estimate","41,863"
"Mililani Mauka CDP, Hawaii",""
"    Estimate","61,604"
"Mililani Town CDP, Hawaii",""
"    Estimate","45,148"
"Pearl City CDP, Hawaii",""
"    Estimate","42,205"
"Urban Honolulu CDP, Hawaii",""
"    Estimate","40,331"
"Waipahu CDP, Hawaii",""
"    Estimate","31,792"
"Boise City city, Idaho",""
"    Estimate","33,073"
"Caldwell city, Idaho",""
"    Estimate","25,252"
"Coeur d'Alene city, Idaho",""
"    Estimate","30,870"
"Eagle city, Idaho",""
"    Estimate","56,389"
"Idaho Falls city, Idaho",""
"    Estimate","28,453"
"Kuna city, Idaho",""
"    Estimate","34,407"
"Lewiston city, Idaho",""
"    Estimate","40,991"
"Meridian city, Idaho",""
"    Estimate","35,927"
"Moscow city, Idaho",""
"    Estimate","20,110"
"Nampa city, Idaho",""
"    Estimate","30,139"
"Pocatello city, Idaho",""
"    Estimate","26,287"
"Post Falls city, Idaho",""
"    Estimate","30,816"
"Rexburg city, Idaho",""
"    Estimate","9,850"
"Twin Falls city, Idaho",""
"    Estimate","37,369"
"Addison village, Illinois",""
"    Estimate","37,667"
"Algonquin village, Illinois",""
"    Estimate","43,635"
"Alton city, Illinois",""
"    Estimate","25,043"
"Arlington Heights village, Illinois",""
"    Estimate","60,010"
"Aurora city, Illinois",""
"    Estimate","33,855"
"Bartlett village, Illinois",""
"    Estimate","51,404"
"Batavia city, Illinois",""
"    Estimate","36,340"
"Belleville city, Illinois",""
"    Estimate","30,991"
"Bellwood village, Illinois",""
"    Estimate","37,532"
"Belvidere city, Illinois",""
"    Estimate","26,055"
"Berwyn city, Illinois",""
"    Estimate","36,119"
"Bloomingdale village, Illinois",""
"    Estimate","51,905"
"Bloomington city, Illinois",""
"    Estimate","41,712"
"Blue Island city, Illinois",""
"    Estimate","31,587"
"Bolingbrook village, Illinois",""
"    Estimate","40,380"
"Buffalo Grove village, Illinois",""
"    Estimate","51,896"
"Burbank city, Illinois",""
"    Estimate","36,359"
"Calumet City city, Illinois",""
"    Estimate","32,014"
"Carbondale city, Illinois",""
"    Estimate","14,785"
"Carol Stream village, Illinois",""
"    Estimate","44,043"
"Carpentersville village, Illinois",""
"    Estimate","31,606"
"Champaign city, Illinois",""
"    Estimate","27,124"
"Charleston city, Illinois",""
"    Estimate","20,066"
"Chicago city, Illinois",""
"    Estimate","41,024"
"Chicago Heights city, Illinois",""
"    Estimate","31,861"
"Cicero town, Illinois",""
"    Estimate","30,533"
"Collinsville city, Illinois",""
"    Estimate","40,476"
"Crest Hill city, Illinois",""
"    Estimate","30,614"
"Crystal Lake city, Illinois",""
"    Estimate","45,907"
"Danville city, Illinois",""
"    Estimate","27,284"
"Darien city, Illinois",""
"    Estimate","56,038"
"Decatur city, Illinois",""
"    Estimate","30,913"
"DeKalb city, Illinois",""
"    Estimate","24,455"
"Des Plaines city, Illinois",""
"    Estimate","43,608"
"Downers Grove village, Illinois",""
"    Estimate","46,975"
"East Moline city, Illinois",""
"    Estimate","29,077"
"East Peoria city, Illinois",""
"    Estimate","36,517"
"East St. Louis city, Illinois",""
"    Estimate","16,392"
"Edwardsville city, Illinois",""
"    Estimate","46,043"
"Elgin city, Illinois",""
"    Estimate","32,248"
"Elk Grove Village village, Illinois",""
"    Estimate","46,124"
"Elmhurst city, Illinois",""
"    Estimate","61,013"
"Elmwood Park village, Illinois",""
"    Estimate","36,659"
"Evanston city, Illinois",""
"    Estimate","43,613"
"Freeport city, Illinois",""
"    Estimate","26,769"
"Galesburg city, Illinois",""
"    Estimate","21,523"
"Geneva city, Illinois",""
"    Estimate","43,930"
"Glendale Heights village, Illinois",""
"    Estimate","32,197"
"Glen Ellyn village, Illinois",""
"    Estimate","56,455"
"Glenview village, Illinois",""
"    Estimate","71,005"
"Granite City city, Illinois",""
"    Estimate","30,772"
"Grayslake village, Illinois",""
"    Estimate","51,357"
"Gurnee village, Illinois",""
"    Estimate","51,248"
"Hanover Park village, Illinois",""
"    Estimate","35,627"
"Harvey city, Illinois",""
"    Estimate","20,917"
"Highland Park city, Illinois",""
"    Estimate","60,896"
"Hoffman Estates village, Illinois",""
"    Estimate","48,542"
"Homer Glen village, Illinois",""
"    Estimate","48,376"
"Homewood village, Illinois",""
"    Estimate","37,309"
"Huntley village, Illinois",""
"    Estimate","40,740"
"Joliet city, Illinois",""
"    Estimate","34,447"
"Kankakee city, Illinois",""
"    Estimate","26,745"
"Lake in the Hills village, Illinois",""
"    Estimate","47,677"
"Lansing village, Illinois",""
"    Estimate","34,006"
"Libertyville village, Illinois",""
"    Estimate","65,364"
"Lisle village, Illinois",""
"    Estimate","56,947"
"Lockport city, Illinois",""
"    Estimate","55,723"
"Lombard village, Illinois",""
"    Estimate","44,972"
"Loves Park city, Illinois",""
"    Estimate","41,092"
"McHenry city, Illinois",""
"    Estimate","42,244"
"Machesney Park village, Illinois",""
"    Estimate","40,784"
"Maywood village, Illinois",""
"    Estimate","28,800"
"Melrose Park village, Illinois",""
"    Estimate","32,511"
"Mokena village, Illinois",""
"    Estimate","51,494"
"Moline city, Illinois",""
"    Estimate","32,127"
"Montgomery village, Illinois",""
"    Estimate","50,716"
"Morton Grove village, Illinois",""
"    Estimate","41,932"
"Mount Prospect village, Illinois",""
"    Estimate","50,081"
"Mundelein village, Illinois",""
"    Estimate","42,274"
"Naperville city, Illinois",""
"    Estimate","61,547"
"New Lenox village, Illinois",""
"    Estimate","60,188"
"Niles village, Illinois",""
"    Estimate","36,204"
"Normal town, Illinois",""
"    Estimate","20,845"
"Northbrook village, Illinois",""
"    Estimate","71,184"
"North Chicago city, Illinois",""
"    Estimate","20,860"
"Oak Forest city, Illinois",""
"    Estimate","41,461"
"Oak Lawn village, Illinois",""
"    Estimate","40,892"
"Oak Park village, Illinois",""
"    Estimate","60,513"
"O'Fallon city, Illinois",""
"    Estimate","49,712"
"Orland Park village, Illinois",""
"    Estimate","49,699"
"Oswego village, Illinois",""
"    Estimate","45,518"
"Palatine village, Illinois",""
"    Estimate","50,565"
"Park Forest village, Illinois",""
"    Estimate","35,262"
"Park Ridge city, Illinois",""
"    Estimate","68,603"
"Pekin city, Illinois",""
"    Estimate","27,705"
"Peoria city, Illinois",""
"    Estimate","31,155"
"Plainfield village, Illinois",""
"    Estimate","52,901"
"Quincy city, Illinois",""
"    Estimate","32,372"
"Rockford city, Illinois",""
"    Estimate","26,936"
"Rock Island city, Illinois",""
"    Estimate","30,573"
"Rolling Meadows city, Illinois",""
"    Estimate","41,043"
"Romeoville village, Illinois",""
"    Estimate","36,304"
"Roselle village, Illinois",""
"    Estimate","44,430"
"Round Lake Beach village, Illinois",""
"    Estimate","32,336"
"St. Charles city, Illinois",""
"    Estimate","50,053"
"Schaumburg village, Illinois",""
"    Estimate","52,161"
"Skokie village, Illinois",""
"    Estimate","32,208"
"South Elgin village, Illinois",""
"    Estimate","51,282"
"South Holland village, Illinois",""
"    Estimate","33,983"
"Springfield city, Illinois",""
"    Estimate","37,950"
"Streamwood village, Illinois",""
"    Estimate","35,259"
"Tinley Park village, Illinois",""
"    Estimate","44,720"
"Urbana city, Illinois",""
"    Estimate","22,954"
"Vernon Hills village, Illinois",""
"    Estimate","51,180"
"Villa Park village, Illinois",""
"    Estimate","40,878"
"Waukegan city, Illinois",""
"    Estimate","30,615"
"West Chicago city, Illinois",""
"    Estimate","31,200"
"Westmont village, Illinois",""
"    Estimate","40,065"
"Wheaton city, Illinois",""
"    Estimate","52,454"
"Wheeling village, Illinois",""
"    Estimate","40,300"
"Wilmette village, Illinois",""
"    Estimate","90,811"
"Woodridge village, Illinois",""
"    Estimate","42,477"
"Woodstock city, Illinois",""
"    Estimate","36,348"
"Zion city, Illinois",""
"    Estimate","26,897"
"Anderson city, Indiana",""
"    Estimate","25,668"
"Bloomington city, Indiana",""
"    Estimate","15,501"
"Brownsburg town, Indiana",""
"    Estimate","48,675"
"Carmel city, Indiana",""
"    Estimate","56,503"
"Clarksville town, Indiana",""
"    Estimate","29,018"
"Columbus city, Indiana",""
"    Estimate","36,569"
"Crown Point city, Indiana",""
"    Estimate","42,032"
"East Chicago city, Indiana",""
"    Estimate","30,087"
"Elkhart city, Indiana",""
"    Estimate","29,192"
"Evansville city, Indiana",""
"    Estimate","28,022"
"Fishers city, Indiana",""
"    Estimate","57,107"
"Fort Wayne city, Indiana",""
"    Estimate","31,975"
"Franklin city, Indiana",""
"    Estimate","32,118"
"Gary city, Indiana",""
"    Estimate","26,986"
"Goshen city, Indiana",""
"    Estimate","29,931"
"Granger CDP, Indiana",""
"    Estimate","47,913"
"Greenfield city, Indiana",""
"    Estimate","40,085"
"Greenwood city, Indiana",""
"    Estimate","37,277"
"Hammond city, Indiana",""
"    Estimate","29,272"
"Highland town, Indiana",""
"    Estimate","40,283"
"Hobart city, Indiana",""
"    Estimate","42,461"
"Indianapolis city (balance), Indiana",""
"    Estimate","33,054"
"Jeffersonville city, Indiana",""
"    Estimate","34,054"
"Kokomo city, Indiana",""
"    Estimate","30,104"
"Lafayette city, Indiana",""
"    Estimate","31,275"
"La Porte city, Indiana",""
"    Estimate","32,848"
"Lawrence city, Indiana",""
"    Estimate","36,908"
"Marion city, Indiana",""
"    Estimate","21,781"
"Merrillville town, Indiana",""
"    Estimate","37,123"
"Michigan City city, Indiana",""
"    Estimate","29,548"
"Mishawaka city, Indiana",""
"    Estimate","31,174"
"Muncie city, Indiana",""
"    Estimate","16,235"
"Munster town, Indiana",""
"    Estimate","55,457"
"New Albany city, Indiana",""
"    Estimate","30,059"
"Noblesville city, Indiana",""
"    Estimate","45,954"
"Plainfield town, Indiana",""
"    Estimate","37,410"
"Portage city, Indiana",""
"    Estimate","34,179"
"Richmond city, Indiana",""
"    Estimate","27,050"
"Schererville town, Indiana",""
"    Estimate","40,690"
"Seymour city, Indiana",""
"    Estimate","31,204"
"South Bend city, Indiana",""
"    Estimate","26,590"
"Terre Haute city, Indiana",""
"    Estimate","17,780"
"Valparaiso city, Indiana",""
"    Estimate","33,465"
"Westfield city, Indiana",""
"    Estimate","53,793"
"West Lafayette city, Indiana",""
"    Estimate","7,469"
"Zionsville town, Indiana",""
"    Estimate","61,820"
"Altoona city, Iowa",""
"    Estimate","47,261"
"Ames city, Iowa",""
"    Estimate","16,421"
"Ankeny city, Iowa",""
"    Estimate","48,324"
"Bettendorf city, Iowa",""
"    Estimate","50,896"
"Burlington city, Iowa",""
"    Estimate","25,914"
"Cedar Falls city, Iowa",""
"    Estimate","27,339"
"Cedar Rapids city, Iowa",""
"    Estimate","37,546"
"Clinton city, Iowa",""
"    Estimate","31,999"
"Coralville city, Iowa",""
"    Estimate","31,860"
"Council Bluffs city, Iowa",""
"    Estimate","31,810"
"Davenport city, Iowa",""
"    Estimate","37,226"
"Des Moines city, Iowa",""
"    Estimate","33,844"
"Dubuque city, Iowa",""
"    Estimate","30,549"
"Fort Dodge city, Iowa",""
"    Estimate","32,320"
"Iowa City city, Iowa",""
"    Estimate","20,964"
"Johnston city, Iowa",""
"    Estimate","42,885"
"Marion city, Iowa",""
"    Estimate","42,850"
"Marshalltown city, Iowa",""
"    Estimate","29,409"
"Mason City city, Iowa",""
"    Estimate","35,377"
"Muscatine city, Iowa",""
"    Estimate","30,403"
"Ottumwa city, Iowa",""
"    Estimate","33,008"
"Sioux City city, Iowa",""
"    Estimate","30,970"
"Urbandale city, Iowa",""
"    Estimate","46,318"
"Waterloo city, Iowa",""
"    Estimate","31,592"
"Waukee city, Iowa",""
"    Estimate","50,413"
"West Des Moines city, Iowa",""
"    Estimate","48,578"
"Derby city, Kansas",""
"    Estimate","39,324"
"Dodge City city, Kansas",""
"    Estimate","31,344"
"Emporia city, Kansas",""
"    Estimate","21,316"
"Garden City city, Kansas",""
"    Estimate","31,820"
"Gardner city, Kansas",""
"    Estimate","41,146"
"Hays city, Kansas",""
"    Estimate","30,848"
"Hutchinson city, Kansas",""
"    Estimate","26,402"
"Kansas City city, Kansas",""
"    Estimate","30,127"
"Lawrence city, Kansas",""
"    Estimate","25,661"
"Leavenworth city, Kansas",""
"    Estimate","27,008"
"Leawood city, Kansas",""
"    Estimate","86,159"
"Lenexa city, Kansas",""
"    Estimate","47,881"
"Manhattan city, Kansas",""
"    Estimate","18,038"
"Olathe city, Kansas",""
"    Estimate","48,461"
"Overland Park city, Kansas",""
"    Estimate","50,853"
"Prairie Village city, Kansas",""
"    Estimate","54,167"
"Salina city, Kansas",""
"    Estimate","32,903"
"Shawnee city, Kansas",""
"    Estimate","41,057"
"Topeka city, Kansas",""
"    Estimate","33,704"
"Wichita city, Kansas",""
"    Estimate","32,360"
"Ashland city, Kentucky",""
"    Estimate","30,769"
"Bowling Green city, Kentucky",""
"    Estimate","21,666"
"Covington city, Kentucky",""
"    Estimate","35,964"
"Elizabethtown city, Kentucky",""
"    Estimate","40,228"
"Florence city, Kentucky",""
"    Estimate","32,500"
"Frankfort city, Kentucky",""
"    Estimate","31,537"
"Georgetown city, Kentucky",""
"    Estimate","35,456"
"Henderson city, Kentucky",""
"    Estimate","30,516"
"Hopkinsville city, Kentucky",""
"    Estimate","30,545"
"Independence city, Kentucky",""
"    Estimate","37,255"
"Jeffersontown city, Kentucky",""
"    Estimate","38,807"
"Lexington-Fayette urban county, Kentucky",""
"    Estimate","31,841"
"Louisville/Jefferson County metro government (balance), Kentucky",""
"    Estimate","35,224"
"Madisonville city, Kentucky",""
"    Estimate","36,755"
"Nicholasville city, Kentucky",""
"    Estimate","30,659"
"Owensboro city, Kentucky",""
"    Estimate","29,946"
"Paducah city, Kentucky",""
"    Estimate","31,732"
