"Label (Grouping)","Total:","Total:!!Under .50","Total:!!.50 to .99"
"Dunedin city, Florida","","",""
"    Estimate","35,996","1,250","1,354"
"East Lake CDP, Florida","","",""
"    Estimate","34,789","1,147","2,503"
"East Lake-Orient Park CDP, Florida","","",""
"    Estimate","28,604","3,494","791"
"Edgewater city, Florida","","",""
"    Estimate","20,448","408","913"
"Egypt Lake-Leto CDP, Florida","","",""
"    Estimate","34,696","1,938","3,278"
"Ensley CDP, Florida","","",""
"    Estimate","20,553","640","2,830"
"Estero village, Florida","","",""
"    Estimate","33,865","467","1,026"
"Eustis city, Florida","","",""
"    Estimate","22,938","518","4,019"
"Ferry Pass CDP, Florida","","",""
"    Estimate","28,564","1,475","2,050"
"Fish Hawk CDP, Florida","","",""
"    Estimate","22,366","529","332"
"Fleming Island CDP, Florida","","",""
"    Estimate","","",""
"Florida Ridge CDP, Florida","","",""
"    Estimate","27,680","3,436","392"
"Fort Lauderdale city, Florida","","",""
"    Estimate","179,850","9,385","18,646"
"Fort Myers city, Florida","","",""
"    Estimate","83,800","4,846","10,103"
"Fort Pierce city, Florida","","",""
"    Estimate","45,217","5,541","5,705"
"Fort Walton Beach city, Florida","","",""
"    Estimate","19,228","1,398","2,436"
"Fountainebleau CDP, Florida","","",""
"    Estimate","68,509","3,806","4,072"
"Four Corners CDP, Florida","","",""
"    Estimate","47,527","2,426","1,186"
"Fruit Cove CDP, Florida","","",""
"    Estimate","32,346","506","261"
"Gainesville city, Florida","","",""
"    Estimate","121,486","18,812","12,877"
"Golden Gate CDP, Florida","","",""
"    Estimate","29,984","1,091","2,652"
"Golden Glades CDP, Florida","","",""
"    Estimate","31,431","2,792","3,043"
"Greenacres city, Florida","","",""
"    Estimate","40,958","1,743","4,023"
"Haines City city, Florida","","",""
"    Estimate","25,529","2,703","1,942"
"Hallandale Beach city, Florida","","",""
"    Estimate","39,852","4,741","4,690"
"Hialeah city, Florida","","",""
"    Estimate","232,340","16,961","32,628"
"Hialeah Gardens city, Florida","","",""
"    Estimate","23,781","1,018","2,281"
"Holiday CDP, Florida","","",""
"    Estimate","22,278","980","2,373"
"Hollywood city, Florida","","",""
"    Estimate","153,184","6,985","10,092"
"Homestead city, Florida","","",""
"    Estimate","69,127","10,296","4,610"
"Horizon West CDP, Florida","","",""
"    Estimate","39,418","1,142","977"
"Immokalee CDP, Florida","","",""
"    Estimate","28,770","2,123","3,391"
"Ives Estates CDP, Florida","","",""
"    Estimate","23,526","451","417"
"Jacksonville city, Florida","","",""
"    Estimate","888,431","61,061","64,407"
"Jacksonville Beach city, Florida","","",""
"    Estimate","23,074","386","797"
"Jupiter town, Florida","","",""
"    Estimate","65,448","3,953","2,245"
"Kendale Lakes CDP, Florida","","",""
"    Estimate","52,607","4,539","2,268"
"Kendall CDP, Florida","","",""
"    Estimate","79,675","2,864","3,477"
"Kendall West CDP, Florida","","",""
"    Estimate","38,824","1,853","2,700"
"Keystone CDP, Florida","","",""
"    Estimate","26,937","705","465"
"Key West city, Florida","","",""
"    Estimate","23,151","961","479"
"Kissimmee city, Florida","","",""
"    Estimate","72,095","11,187","9,193"
"Lakeland city, Florida","","",""
"    Estimate","107,443","5,979","10,964"
"Lake Magdalene CDP, Florida","","",""
"    Estimate","33,859","345","1,917"
"Lakeside CDP, Florida","","",""
"    Estimate","31,651","57","1,756"
"Lake Worth city, Florida","","",""
"    Estimate","38,097","5,075","3,431"
"Land O' Lakes CDP, Florida","","",""
"    Estimate","43,024","540","1,332"
"Largo city, Florida","","",""
"    Estimate","82,999","4,770","5,627"
"Lauderdale Lakes city, Florida","","",""
"    Estimate","35,676","5,631","1,235"
"Lauderhill city, Florida","","",""
"    Estimate","71,509","2,822","8,226"
"Lealman CDP, Florida","","",""
"    Estimate","21,809","462","1,219"
"Leesburg city, Florida","","",""
"    Estimate","27,466","797","4,109"
"Lehigh Acres CDP, Florida","","",""
"    Estimate","134,487","12,836","17,302"
"Leisure City CDP, Florida","","",""
"    Estimate","26,703","2,574","2,470"
"Lutz CDP, Florida","","",""
"    Estimate","24,107","418","140"
"Lynn Haven city, Florida","","",""
"    Estimate","19,801","959","388"
"Maitland city, Florida","","",""
"    Estimate","20,593","1,590","1,376"
"Margate city, Florida","","",""
"    Estimate","58,512","2,322","7,340"
"Meadow Woods CDP, Florida","","",""
"    Estimate","","",""
"Melbourne city, Florida","","",""
"    Estimate","80,797","5,723","4,524"
"Merritt Island CDP, Florida","","",""
"    Estimate","39,410","405","2,751"
"Miami city, Florida","","",""
"    Estimate","463,497","32,983","61,226"
"Miami Beach city, Florida","","",""
"    Estimate","88,090","4,776","7,902"
"Miami Gardens city, Florida","","",""
"    Estimate","108,609","3,909","14,073"
"Miami Lakes town, Florida","","",""
"    Estimate","31,362","73","544"
"Miramar city, Florida","","",""
"    Estimate","141,154","6,825","5,015"
"Navarre CDP, Florida","","",""
"    Estimate","40,255","3,644","910"
"New Smyrna Beach city, Florida","","",""
"    Estimate","27,659","1,135","1,662"
"Northdale CDP, Florida","","",""
"    Estimate","24,258","305","366"
"North Fort Myers CDP, Florida","","",""
"    Estimate","44,574","4,997","1,731"
"North Lauderdale city, Florida","","",""
"    Estimate","44,261","5,944","2,076"
"North Miami city, Florida","","",""
"    Estimate","61,404","3,063","7,060"
"North Miami Beach city, Florida","","",""
"    Estimate","42,754","1,055","4,601"
"North Port city, Florida","","",""
"    Estimate","70,599","1,299","3,310"
"Oakland Park city, Florida","","",""
"    Estimate","45,140","2,436","5,507"
"Oakleaf Plantation CDP, Florida","","",""
"    Estimate","29,470","1,493","7"
"Oak Ridge CDP, Florida","","",""
"    Estimate","25,678","473","3,650"
"Ocala city, Florida","","",""
"    Estimate","57,840","4,335","3,165"
"Ocoee city, Florida","","",""
"    Estimate","47,780","2,927","2,056"
"Orlando city, Florida","","",""
"    Estimate","285,401","22,965","22,658"
"Ormond Beach city, Florida","","",""
"    Estimate","43,071","1,355","4,390"
"Oviedo city, Florida","","",""
"    Estimate","41,770","2,311","276"
"Pace CDP, Florida","","",""
"    Estimate","22,993","1,014","1,126"
"Palm Bay city, Florida","","",""
"    Estimate","114,870","3,032","7,602"
"Palm Beach Gardens city, Florida","","",""
"    Estimate","56,464","1,255","1,325"
"Palm City CDP, Florida","","",""
"    Estimate","26,016","149","661"
"Palm Coast city, Florida","","",""
"    Estimate","89,527","2,961","5,535"
"Palmetto Bay village, Florida","","",""
"    Estimate","","",""
"Palm Harbor CDP, Florida","","",""
"    Estimate","59,464","1,379","1,629"
"Palm River-Clair Mel CDP, Florida","","",""
"    Estimate","24,638","1,716","2,200"
"Palm Springs village, Florida","","",""
"    Estimate","24,934","1,003","1,315"
"Palm Valley CDP, Florida","","",""
"    Estimate","","",""
"Panama City city, Florida","","",""
"    Estimate","34,033","2,464","2,405"
"Panama City Beach city, Florida","","",""
"    Estimate","21,768","304","1,679"
"Parkland city, Florida","","",""
"    Estimate","","",""
"Pembroke Pines city, Florida","","",""
"    Estimate","172,702","9,515","6,422"
"Pensacola city, Florida","","",""
"    Estimate","51,790","4,390","3,646"
"Pine Hills CDP, Florida","","",""
"    Estimate","92,620","7,762","8,360"
"Pinellas Park city, Florida","","",""
"    Estimate","53,050","3,447","3,466"
"Plantation city, Florida","","",""
"    Estimate","94,295","2,427","4,444"
"Plant City city, Florida","","",""
"    Estimate","39,632","3,017","3,049"
"Poinciana CDP, Florida","","",""
"    Estimate","72,533","5,546","6,129"
"Pompano Beach city, Florida","","",""
"    Estimate","108,923","6,133","11,535"
"Port Charlotte CDP, Florida","","",""
"    Estimate","65,165","4,257","7,130"
"Port Orange city, Florida","","",""
"    Estimate","64,132","2,453","4,091"
"Port St. Lucie city, Florida","","",""
"    Estimate","201,254","4,805","7,250"
"Princeton CDP, Florida","","",""
"    Estimate","31,188","734","1,785"
"Richmond West CDP, Florida","","",""
"    Estimate","39,859","469","2,230"
"Riverview CDP, Florida","","",""
"    Estimate","96,881","3,343","4,851"
"Riviera Beach city, Florida","","",""
"    Estimate","34,745","2,570","3,540"
"Rockledge city, Florida","","",""
"    Estimate","28,043","460","1,056"
"Royal Palm Beach village, Florida","","",""
"    Estimate","40,127","1,100","1,160"
"Ruskin CDP, Florida","","",""
"    Estimate","32,925","4,047","904"
"St. Cloud city, Florida","","",""
"    Estimate","53,879","2,781","3,010"
"St. Petersburg city, Florida","","",""
"    Estimate","260,746","11,700","15,899"
"Sanford city, Florida","","",""
"    Estimate","60,185","4,297","6,133"
"Sarasota city, Florida","","",""
"    Estimate","55,308","2,431","4,166"
"Sebastian city, Florida","","",""
"    Estimate","26,111","1,830","0"
"South Bradenton CDP, Florida","","",""
"    Estimate","29,146","1,503","2,327"
"South Miami Heights CDP, Florida","","",""
"    Estimate","36,740","2,027","3,956"
"Spring Hill CDP, Florida","","",""
"    Estimate","111,205","4,757","6,193"
"Sun City Center CDP, Florida","","",""
"    Estimate","26,540","656","729"
"Sunrise city, Florida","","",""
"    Estimate","94,559","3,873","8,674"
"Sweetwater city, Florida","","",""
"    Estimate","22,231","1,289","1,585"
"Tallahassee city, Florida","","",""
"    Estimate","180,865","26,415","23,089"
"Tamarac city, Florida","","",""
"    Estimate","66,030","2,611","6,548"
"Tamiami CDP, Florida","","",""
"    Estimate","56,952","2,300","4,721"
"Tampa city, Florida","","",""
"    Estimate","388,692","31,540","34,428"
"Tarpon Springs city, Florida","","",""
"    Estimate","25,157","1,505","1,868"
"Temple Terrace city, Florida","","",""
"    Estimate","26,021","1,267","3,502"
"The Acreage CDP, Florida","","",""
"    Estimate","41,793","925","833"
"The Crossings CDP, Florida","","",""
"    Estimate","21,721","1,593","783"
"The Hammocks CDP, Florida","","",""
"    Estimate","65,607","5,704","931"
"The Villages CDP, Florida","","",""
"    Estimate","85,335","2,114","2,626"
"Titusville city, Florida","","",""
"    Estimate","46,160","1,710","3,311"
"Town 'n' Country CDP, Florida","","",""
"    Estimate","98,298","7,156","6,587"
"University CDP (Hillsborough County), Florida","","",""
"    Estimate","49,436","9,981","6,996"
"University CDP (Orange County), Florida","","",""
"    Estimate","23,710","2,617","2,786"
"University Park CDP, Florida","","",""
"    Estimate","24,310","447","895"
"Valrico CDP, Florida","","",""
"    Estimate","35,157","1,053","1,096"
"Venice city, Florida","","",""
"    Estimate","22,905","389","976"
"Vero Beach South CDP, Florida","","",""
"    Estimate","24,751","855","2,557"
"Wekiwa Springs CDP, Florida","","",""
"    Estimate","","",""
"Wellington village, Florida","","",""
"    Estimate","65,129","1,009","2,022"
"Wesley Chapel CDP, Florida","","",""
"    Estimate","62,304","1,766","3,542"
"Westchase CDP, Florida","","",""
"    Estimate","23,302","639","362"
"Westchester CDP, Florida","","",""
"    Estimate","30,658","2,438","1,824"
"West Little River CDP, Florida","","",""
"    Estimate","36,192","3,748","5,651"
"West Melbourne city, Florida","","",""
"    Estimate","","",""
"Weston city, Florida","","",""
"    Estimate","71,164","805","999"
"West Palm Beach city, Florida","","",""
"    Estimate","108,202","9,093","8,170"
"West Park city, Florida","","",""
"    Estimate","","",""
"Winter Garden city, Florida","","",""
"    Estimate","45,590","1,182","1,285"
"Winter Haven city, Florida","","",""
"    Estimate","44,356","3,035","2,152"
"Winter Park city, Florida","","",""
"    Estimate","29,103","767","1,627"
"Winter Springs city, Florida","","",""
"    Estimate","37,309","1,010","598"
"World Golf Village CDP, Florida","","",""
"    Estimate","","",""
"Wright CDP, Florida","","",""
"    Estimate","25,890","1,478","2,347"
"Acworth city, Georgia","","",""
"    Estimate","21,227","534","627"
"Albany city, Georgia","","",""
"    Estimate","67,068","10,034","10,738"
"Alpharetta city, Georgia","","",""
"    Estimate","66,867","292","2,032"
"Athens-Clarke County unified government (balance), Georgia","","",""
"    Estimate","114,579","18,253","13,261"
"Atlanta city, Georgia","","",""
"    Estimate","471,263","47,858","47,176"
"Augusta-Richmond County consolidated government (balance), Georgia","","",""
"    Estimate","186,887","17,396","21,664"
"Brookhaven city, Georgia","","",""
"    Estimate","54,296","3,227","2,845"
"Calhoun city, Georgia","","",""
"    Estimate","19,479","1,840","2,173"
"Candler-McAfee CDP, Georgia","","",""
"    Estimate","23,844","274","3,284"
"Canton city, Georgia","","",""
"    Estimate","30,297","912","2,838"
"Carrollton city, Georgia","","",""
"    Estimate","24,019","2,652","3,643"
"Cartersville city, Georgia","","",""
"    Estimate","22,115","2,275","1,115"
"Chamblee city, Georgia","","",""
"    Estimate","30,184","1,334","4,003"
"Columbus city, Georgia","","",""
"    Estimate","189,785","15,112","19,520"
"Dalton city, Georgia","","",""
"    Estimate","32,414","1,782","4,926"
"Decatur city, Georgia","","",""
"    Estimate","24,703","195","516"
"Douglasville city, Georgia","","",""
"    Estimate","33,078","490","3,179"
"Duluth city, Georgia","","",""
"    Estimate","29,378","976","1,034"
"Dunwoody city, Georgia","","",""
"    Estimate","48,665","962","2,403"
"East Point city, Georgia","","",""
"    Estimate","34,426","2,872","4,376"
"Evans CDP, Georgia","","",""
"    Estimate","43,011","536","1,362"
"Gainesville city, Georgia","","",""
"    Estimate","42,273","954","5,049"
"Griffin city, Georgia","","",""
"    Estimate","20,590","3,262","1,760"
"Hinesville city, Georgia","","",""
"    Estimate","32,696","2,495","2,965"
"Johns Creek city, Georgia","","",""
"    Estimate","84,254","883","833"
"Kennesaw city, Georgia","","",""
"    Estimate","33,970","1,767","2,015"
"LaGrange city, Georgia","","",""
"    Estimate","28,913","4,813","4,570"
"Lawrenceville city, Georgia","","",""
"    Estimate","30,570","698","2,447"
"Lithia Springs CDP, Georgia","","",""
"    Estimate","19,844","1,704","1,330"
"Mableton CDP, Georgia","","",""
"    Estimate","47,432","1,610","1,278"
"McDonough city, Georgia","","",""
"    Estimate","25,673","1,261","2,579"
"Macon-Bibb County, Georgia","","",""
"    Estimate","146,526","15,020","19,265"
"Marietta city, Georgia","","",""
"    Estimate","57,831","1,541","4,256"
"Martinez CDP, Georgia","","",""
"    Estimate","30,903","849","413"
"Milton city, Georgia","","",""
"    Estimate","39,593","1,846","0"
"Newnan city, Georgia","","",""
"    Estimate","41,115","1,358","2,749"
"Norcross city, Georgia","","",""
"    Estimate","22,498","2,477","1,033"
"Peachtree City city, Georgia","","",""
"    Estimate","35,973","1,213","1,604"
"Peachtree Corners city, Georgia","","",""
"    Estimate","43,898","1,077","1,791"
"Pooler city, Georgia","","",""
"    Estimate","","",""
"Powder Springs city, Georgia","","",""
"    Estimate","","",""
"Redan CDP, Georgia","","",""
"    Estimate","30,690","755","5,471"
"Rome city, Georgia","","",""
"    Estimate","35,373","1,792","4,549"
"Roswell city, Georgia","","",""
"    Estimate","94,007","2,012","3,553"
"Sandy Springs city, Georgia","","",""
"    Estimate","108,985","2,153","2,123"
"Savannah city, Georgia","","",""
"    Estimate","134,042","12,783","13,259"
"Smyrna city, Georgia","","",""
"    Estimate","56,208","766","2,685"
"Snellville city, Georgia","","",""
"    Estimate","","",""
"South Fulton city, Georgia","","",""
"    Estimate","98,939","3,373","6,285"
"Statesboro city, Georgia","","",""
"    Estimate","25,827","5,568","5,284"
"Stockbridge city, Georgia","","",""
"    Estimate","29,910","675","481"
"Stonecrest city, Georgia","","",""
"    Estimate","53,860","3,089","3,400"
"Sugar Hill city, Georgia","","",""
"    Estimate","24,626","516","976"
"Tucker city, Georgia","","",""
"    Estimate","35,984","1,502","3,691"
"Union City city, Georgia","","",""
"    Estimate","27,941","986","1,999"
"Valdosta city, Georgia","","",""
"    Estimate","54,262","6,280","8,943"
"Warner Robins city, Georgia","","",""
"    Estimate","77,191","5,482","7,071"
"Woodstock city, Georgia","","",""
"    Estimate","32,918","718","690"
"East Honolulu CDP, Hawaii","","",""
"    Estimate","45,574","859","482"
"Ewa Gentry CDP, Hawaii","","",""
"    Estimate","25,153","704","43"
"Hilo CDP, Hawaii","","",""
"    Estimate","40,098","775","3,371"
"Kahului CDP, Hawaii","","",""
"    Estimate","28,342","3,408","851"
"Kailua CDP (Honolulu County), Hawaii","","",""
"    Estimate","36,220","894","1,721"
"Kaneohe CDP, Hawaii","","",""
"    Estimate","29,890","549","739"
"Kapolei CDP, Hawaii","","",""
"    Estimate","","",""
"Kihei CDP, Hawaii","","",""
"    Estimate","22,597","1,272","1,359"
"Mililani Mauka CDP, Hawaii","","",""
"    Estimate","","",""
"Mililani Town CDP, Hawaii","","",""
"    Estimate","28,245","841","107"
"Pearl City CDP, Hawaii","","",""
"    Estimate","42,769","1,633","741"
"Urban Honolulu CDP, Hawaii","","",""
"    Estimate","333,964","14,327","17,148"
"Waipahu CDP, Hawaii","","",""
"    Estimate","42,196","1,547","3,165"
"Boise City city, Idaho","","",""
"    Estimate","224,716","13,050","17,649"
"Caldwell city, Idaho","","",""
"    Estimate","56,722","2,443","7,906"
"Coeur d'Alene city, Idaho","","",""
"    Estimate","51,078","1,376","4,036"
"Eagle city, Idaho","","",""
"    Estimate","29,788","710","333"
"Idaho Falls city, Idaho","","",""
"    Estimate","62,168","3,498","2,789"
"Kuna city, Idaho","","",""
"    Estimate","","",""
"Lewiston city, Idaho","","",""
"    Estimate","30,988","1,228","1,559"
"Meridian city, Idaho","","",""
"    Estimate","113,399","5,963","3,645"
"Moscow city, Idaho","","",""
"    Estimate","22,736","1,395","1,322"
"Nampa city, Idaho","","",""
"    Estimate","97,406","3,488","4,101"
"Pocatello city, Idaho","","",""
"    Estimate","54,418","3,544","3,076"
"Post Falls city, Idaho","","",""
"    Estimate","35,730","2,413","2,828"
"Rexburg city, Idaho","","",""
"    Estimate","24,577","4,622","6,788"
"Twin Falls city, Idaho","","",""
"    Estimate","49,605","2,627","2,780"
"Addison village, Illinois","","",""
"    Estimate","36,158","2,329","1,624"
"Algonquin village, Illinois","","",""
"    Estimate","30,496","300","1,554"
"Alton city, Illinois","","",""
"    Estimate","25,484","2,827","2,575"
"Arlington Heights village, Illinois","","",""
"    Estimate","71,304","1,280","1,464"
"Aurora city, Illinois","","",""
"    Estimate","194,900","5,333","15,926"
"Bartlett village, Illinois","","",""
"    Estimate","40,412","307","873"
"Batavia city, Illinois","","",""
"    Estimate","23,382","256","666"
"Belleville city, Illinois","","",""
"    Estimate","39,296","3,341","3,024"
"Bellwood village, Illinois","","",""
"    Estimate","22,609","176","1,718"
"Belvidere city, Illinois","","",""
"    Estimate","25,799","1,976","3,355"
"Berwyn city, Illinois","","",""
"    Estimate","53,001","1,395","5,796"
"Bloomingdale village, Illinois","","",""
"    Estimate","24,524","850","1,451"
"Bloomington city, Illinois","","",""
"    Estimate","74,952","7,277","2,611"
"Blue Island city, Illinois","","",""
"    Estimate","27,598","1,787","2,274"
"Bolingbrook village, Illinois","","",""
"    Estimate","72,891","1,704","2,674"
"Buffalo Grove village, Illinois","","",""
"    Estimate","42,833","213","310"
"Burbank city, Illinois","","",""
"    Estimate","27,556","585","1,715"
"Calumet City city, Illinois","","",""
"    Estimate","35,752","3,203","1,890"
"Carbondale city, Illinois","","",""
"    Estimate","21,506","5,377","2,992"
"Carol Stream village, Illinois","","",""
"    Estimate","40,508","912","2,806"
"Carpentersville village, Illinois","","",""
"    Estimate","36,973","1,256","2,216"
"Champaign city, Illinois","","",""
"    Estimate","80,539","13,759","7,304"
"Charleston city, Illinois","","",""
"    Estimate","16,531","2,142","1,010"
"Chicago city, Illinois","","",""
"    Estimate","2,638,985","191,655","240,730"
"Chicago Heights city, Illinois","","",""
"    Estimate","28,788","1,239","1,512"
"Cicero town, Illinois","","",""
"    Estimate","79,686","3,350","4,881"
"Collinsville city, Illinois","","",""
"    Estimate","23,918","106","2,049"
"Crest Hill city, Illinois","","",""
"    Estimate","18,036","59","128"
"Crystal Lake city, Illinois","","",""
"    Estimate","33,896","602","794"
"Danville city, Illinois","","",""
"    Estimate","28,550","4,070","3,746"
"Darien city, Illinois","","",""
"    Estimate","19,607","237","122"
"Decatur city, Illinois","","",""
"    Estimate","65,842","8,850","7,222"
"DeKalb city, Illinois","","",""
"    Estimate","39,569","3,859","4,562"
"Des Plaines city, Illinois","","",""
"    Estimate","57,054","1,642","2,913"
"Downers Grove village, Illinois","","",""
"    Estimate","48,239","890","822"
"East Moline city, Illinois","","",""
"    Estimate","17,341","716","1,558"
"East Peoria city, Illinois","","",""
"    Estimate","21,811","781","708"
"East St. Louis city, Illinois","","",""
"    Estimate","26,029","6,301","3,542"
"Edwardsville city, Illinois","","",""
"    Estimate","21,732","928","663"
"Elgin city, Illinois","","",""
"    Estimate","108,932","3,909","8,645"
"Elk Grove Village village, Illinois","","",""
"    Estimate","33,278","1,288","337"
"Elmhurst city, Illinois","","",""
"    Estimate","45,275","1,482","550"
"Elmwood Park village, Illinois","","",""
"    Estimate","23,919","582","961"
"Evanston city, Illinois","","",""
"    Estimate","66,085","4,302","3,224"
"Freeport city, Illinois","","",""
"    Estimate","23,733","1,256","1,537"
"Galesburg city, Illinois","","",""
"    Estimate","24,308","3,265","4,018"
"Geneva city, Illinois","","",""
"    Estimate","22,677","0","253"
"Glendale Heights village, Illinois","","",""
"    Estimate","32,611","357","2,284"
"Glen Ellyn village, Illinois","","",""
"    Estimate","27,239","150","534"
"Glenview village, Illinois","","",""
"    Estimate","46,118","533","531"
"Granite City city, Illinois","","",""
"    Estimate","27,506","2,038","3,676"
"Grayslake village, Illinois","","",""
"    Estimate","20,115","211","590"
"Gurnee village, Illinois","","",""
"    Estimate","30,293","354","1,424"
"Hanover Park village, Illinois","","",""
"    Estimate","41,768","2,415","3,063"
"Harvey city, Illinois","","",""
"    Estimate","19,451","1,797","4,500"
"Highland Park city, Illinois","","",""
"    Estimate","29,185","297","3"
"Hoffman Estates village, Illinois","","",""
"    Estimate","50,129","636","1,232"
"Homer Glen village, Illinois","","",""
"    Estimate","26,404","195","1,014"
"Homewood village, Illinois","","",""
"    Estimate","20,657","388","1,176"
"Huntley village, Illinois","","",""
"    Estimate","","",""
"Joliet city, Illinois","","",""
"    Estimate","145,820","4,445","9,719"
"Kankakee city, Illinois","","",""
"    Estimate","24,252","1,096","5,197"
"Lake in the Hills village, Illinois","","",""
"    Estimate","31,903","451","1,241"
"Lansing village, Illinois","","",""
"    Estimate","30,883","3,413","5,707"
"Libertyville village, Illinois","","",""
"    Estimate","","",""
"Lisle village, Illinois","","",""
"    Estimate","21,835","510","866"
"Lockport city, Illinois","","",""
"    Estimate","25,856","1,656","290"
"Lombard village, Illinois","","",""
"    Estimate","43,842","1,894","927"
"Loves Park city, Illinois","","",""
"    Estimate","21,779","1,498","1,122"
"McHenry city, Illinois","","",""
"    Estimate","24,463","278","637"
"Machesney Park village, Illinois","","",""
"    Estimate","23,372","1,424","908"
"Maywood village, Illinois","","",""
"    Estimate","19,052","1,147","2,607"
"Melrose Park village, Illinois","","",""
"    Estimate","22,845","1,457","1,378"
"Mokena village, Illinois","","",""
"    Estimate","20,799","348","192"
"Moline city, Illinois","","",""
"    Estimate","43,068","2,602","3,481"
"Montgomery village, Illinois","","",""
"    Estimate","","",""
"Morton Grove village, Illinois","","",""
"    Estimate","22,072","489","393"
"Mount Prospect village, Illinois","","",""
"    Estimate","49,905","1,597","1,684"
"Mundelein village, Illinois","","",""
"    Estimate","31,689","2,184","173"
"Naperville city, Illinois","","",""
"    Estimate","147,493","2,487","2,897"
"New Lenox village, Illinois","","",""
"    Estimate","","",""
"Niles village, Illinois","","",""
"    Estimate","29,020","1,157","1,087"
"Normal town, Illinois","","",""
"    Estimate","47,321","9,389","3,328"
"Northbrook village, Illinois","","",""
"    Estimate","31,820","409","839"
"North Chicago city, Illinois","","",""
"    Estimate","22,431","2,130","1,271"
"Oak Forest city, Illinois","","",""
"    Estimate","27,045","355","653"
"Oak Lawn village, Illinois","","",""
"    Estimate","54,638","3,081","3,804"
"Oak Park village, Illinois","","",""
"    Estimate","52,034","2,189","1,107"
"O'Fallon city, Illinois","","",""
"    Estimate","31,443","727","347"
"Orland Park village, Illinois","","",""
"    Estimate","57,909","675","2,802"
"Oswego village, Illinois","","",""
"    Estimate","","",""
"Palatine village, Illinois","","",""
"    Estimate","67,295","3,522","5,724"
"Park Forest village, Illinois","","",""
"    Estimate","23,201","2,474","718"
"Park Ridge city, Illinois","","",""
"    Estimate","36,915","988","629"
"Pekin city, Illinois","","",""
"    Estimate","29,502","1,860","2,165"
"Peoria city, Illinois","","",""
"    Estimate","106,167","7,306","11,725"
"Plainfield village, Illinois","","",""
"    Estimate","40,105","929","198"
"Quincy city, Illinois","","",""
"    Estimate","38,517","2,790","1,946"
"Rockford city, Illinois","","",""
"    Estimate","139,790","17,596","15,716"
"Rock Island city, Illinois","","",""
"    Estimate","35,745","3,407","3,425"
"Rolling Meadows city, Illinois","","",""
"    Estimate","","",""
"Romeoville village, Illinois","","",""
"    Estimate","34,156","90","2,791"
"Roselle village, Illinois","","",""
"    Estimate","19,948","204","234"
"Round Lake Beach village, Illinois","","",""
"    Estimate","26,263","660","1,061"
"St. Charles city, Illinois","","",""
"    Estimate","33,526","494","232"
"Schaumburg village, Illinois","","",""
"    Estimate","72,513","1,508","1,965"
"Skokie village, Illinois","","",""
"    Estimate","62,166","3,815","5,105"
"South Elgin village, Illinois","","",""
"    Estimate","26,692","202","328"
"South Holland village, Illinois","","",""
"    Estimate","20,219","847","1,828"
"Springfield city, Illinois","","",""
"    Estimate","110,284","8,369","10,182"
"Streamwood village, Illinois","","",""
"    Estimate","38,736","1,206","1,179"
"Tinley Park village, Illinois","","",""
"    Estimate","60,279","1,354","1,466"
"Urbana city, Illinois","","",""
"    Estimate","35,737","4,394","5,810"
"Vernon Hills village, Illinois","","",""
"    Estimate","26,249","434","443"
"Villa Park village, Illinois","","",""
"    Estimate","20,485","955","397"
"Waukegan city, Illinois","","",""
"    Estimate","84,950","5,516","9,467"
"West Chicago city, Illinois","","",""
"    Estimate","21,911","466","1,769"
"Westmont village, Illinois","","",""
"    Estimate","29,876","4,174","657"
"Wheaton city, Illinois","","",""
"    Estimate","49,554","293","2,026"
"Wheeling village, Illinois","","",""
"    Estimate","37,851","656","3,082"
"Wilmette village, Illinois","","",""
"    Estimate","26,969","452","217"
"Woodridge village, Illinois","","",""
"    Estimate","32,799","559","966"
"Woodstock city, Illinois","","",""
"    Estimate","26,073","958","1,165"
"Zion city, Illinois","","",""
"    Estimate","23,458","1,581","1,815"
"Anderson city, Indiana","","",""
"    Estimate","52,762","2,946","6,128"
"Bloomington city, Indiana","","",""
"    Estimate","71,328","15,676","8,025"
"Brownsburg town, Indiana","","",""
"    Estimate","30,776","122","237"
"Carmel city, Indiana","","",""
"    Estimate","101,512","2,598","1,461"
"Clarksville town, Indiana","","",""
"    Estimate","22,904","509","1,547"
"Columbus city, Indiana","","",""
"    Estimate","48,758","3,526","4,902"
"Crown Point city, Indiana","","",""
"    Estimate","31,229","1,124","212"
"East Chicago city, Indiana","","",""
"    Estimate","27,508","3,893","4,279"
"Elkhart city, Indiana","","",""
"    Estimate","51,098","3,750","4,288"
"Evansville city, Indiana","","",""
"    Estimate","113,242","10,667","11,413"
"Fishers city, Indiana","","",""
"    Estimate","96,129","937","1,456"
"Fort Wayne city, Indiana","","",""
"    Estimate","257,999","14,556","18,607"
"Franklin city, Indiana","","",""
"    Estimate","24,853","1,333","442"
"Gary city, Indiana","","",""
"    Estimate","70,275","10,445","10,614"
"Goshen city, Indiana","","",""
"    Estimate","33,573","2,932","1,102"
"Granger CDP, Indiana","","",""
"    Estimate","33,721","247","645"
"Greenfield city, Indiana","","",""
"    Estimate","23,328","377","458"
"Greenwood city, Indiana","","",""
"    Estimate","57,644","909","2,723"
"Hammond city, Indiana","","",""
"    Estimate","74,687","6,035","7,148"
"Highland town, Indiana","","",""
"    Estimate","24,917","242","1,164"
"Hobart city, Indiana","","",""
"    Estimate","29,017","1,512","1,120"
"Indianapolis city (balance), Indiana","","",""
