"Label (Grouping)","Total:","Total:!!9th to 12th grade, no diploma","Total:!!High school graduate (includes equivalency)","Total:!!Bachelor's degree","Total:!!Graduate or professional degree"
"Lealman CDP, Florida","","","","",""
"    Estimate","16,953","1,419","6,409","1,845","970"
"Leesburg city, Florida","","","","",""
"    Estimate","20,698","1,743","8,023","1,768","1,094"
"Lehigh Acres CDP, Florida","","","","",""
"    Estimate","88,429","10,293","31,073","10,987","4,924"
"Leisure City CDP, Florida","","","","",""
"    Estimate","17,175","1,925","6,059","2,484","307"
"Lutz CDP, Florida","","","","",""
"    Estimate","17,673","456","2,399","5,681","3,730"
"Lynn Haven city, Florida","","","","",""
"    Estimate","13,422","477","3,186","2,557","1,822"
"Maitland city, Florida","","","","",""
"    Estimate","15,587","198","1,909","6,561","3,418"
"Margate city, Florida","","","","",""
"    Estimate","47,209","4,395","14,985","7,601","2,203"
"Meadow Woods CDP, Florida","","","","",""
"    Estimate","17,743","1,347","4,879","4,308","2,321"
"Melbourne city, Florida","","","","",""
"    Estimate","60,637","4,275","19,424","10,272","5,498"
"Merritt Island CDP, Florida","","","","",""
"    Estimate","29,296","1,143","6,350","7,400","3,275"
"Miami city, Florida","","","","",""
"    Estimate","358,957","34,464","94,729","68,799","43,749"
"Miami Beach city, Florida","","","","",""
"    Estimate","68,784","4,350","13,613","17,774","13,374"
"Miami Gardens city, Florida","","","","",""
"    Estimate","73,124","6,339","26,654","6,410","2,890"
"Miami Lakes town, Florida","","","","",""
"    Estimate","23,010","1,762","3,330","4,866","4,675"
"Miramar city, Florida","","","","",""
"    Estimate","94,134","3,675","36,426","13,446","9,913"
"Navarre CDP, Florida","","","","",""
"    Estimate","25,066","1,442","6,505","3,098","2,105"
"New Smyrna Beach city, Florida","","","","",""
"    Estimate","23,744","810","6,754","5,968","2,861"
"Northdale CDP, Florida","","","","",""
"    Estimate","16,723","200","4,907","3,808","1,459"
"North Fort Myers CDP, Florida","","","","",""
"    Estimate","35,874","1,881","13,745","4,573","2,358"
"North Lauderdale city, Florida","","","","",""
"    Estimate","28,882","3,360","10,396","4,261","1,102"
"North Miami city, Florida","","","","",""
"    Estimate","42,034","3,718","16,242","4,482","2,244"
"North Miami Beach city, Florida","","","","",""
"    Estimate","31,228","3,176","9,916","4,283","1,929"
"North Port city, Florida","","","","",""
"    Estimate","49,590","4,268","14,359","7,081","4,912"
"Oakland Park city, Florida","","","","",""
"    Estimate","34,825","4,293","9,341","5,423","4,062"
"Oakleaf Plantation CDP, Florida","","","","",""
"    Estimate","17,312","133","1,963","5,294","3,170"
"Oak Ridge CDP, Florida","","","","",""
"    Estimate","16,792","2,465","5,121","925","186"
"Ocala city, Florida","","","","",""
"    Estimate","42,331","2,900","13,775","6,494","3,219"
"Ocoee city, Florida","","","","",""
"    Estimate","30,479","2,787","6,741","5,474","3,245"
"Orlando city, Florida","","","","",""
"    Estimate","202,964","9,690","48,435","56,502","26,601"
"Ormond Beach city, Florida","","","","",""
"    Estimate","31,044","2,066","8,971","7,200","4,098"
"Oviedo city, Florida","","","","",""
"    Estimate","28,473","268","3,404","9,851","6,756"
"Pace CDP, Florida","","","","",""
"    Estimate","16,360","1,480","4,236","2,341","2,182"
"Palm Bay city, Florida","","","","",""
"    Estimate","83,749","5,720","29,021","10,905","6,208"
"Palm Beach Gardens city, Florida","","","","",""
"    Estimate","44,710","724","8,667","13,559","9,979"
"Palm City CDP, Florida","","","","",""
"    Estimate","18,417","546","2,312","6,353","3,012"
"Palm Coast city, Florida","","","","",""
"    Estimate","69,299","4,494","24,519","10,857","5,505"
"Palmetto Bay village, Florida","","","","",""
"    Estimate","15,552","873","2,456","4,025","5,382"
"Palm Harbor CDP, Florida","","","","",""
"    Estimate","47,844","3,030","13,098","10,113","5,162"
"Palm River-Clair Mel CDP, Florida","","","","",""
"    Estimate","16,924","1,702","6,136","1,782","1,776"
"Palm Springs village, Florida","","","","",""
"    Estimate","18,549","1,371","6,632","1,598","1,259"
"Palm Valley CDP, Florida","","","","",""
"    Estimate","16,721","625","1,526","7,350","4,136"
"Panama City city, Florida","","","","",""
"    Estimate","23,917","1,665","8,015","4,171","1,788"
"Panama City Beach city, Florida","","","","",""
"    Estimate","15,346","999","2,789","3,306","2,528"
"Parkland city, Florida","","","","",""
"    Estimate","21,494","531","4,666","5,536","7,378"
"Pembroke Pines city, Florida","","","","",""
"    Estimate","121,211","4,862","39,640","27,409","14,534"
"Pensacola city, Florida","","","","",""
"    Estimate","36,654","1,770","8,077","8,055","5,829"
"Pine Hills CDP, Florida","","","","",""
"    Estimate","59,603","10,821","18,828","5,665","2,598"
"Pinellas Park city, Florida","","","","",""
"    Estimate","41,823","5,042","13,696","6,993","1,913"
"Plantation city, Florida","","","","",""
"    Estimate","69,636","3,407","12,281","17,258","10,483"
"Plant City city, Florida","","","","",""
"    Estimate","30,389","2,431","10,092","3,995","1,639"
"Poinciana CDP, Florida","","","","",""
"    Estimate","45,533","4,922","13,541","3,082","3,682"
"Pompano Beach city, Florida","","","","",""
"    Estimate","86,151","8,498","21,823","15,905","9,561"
"Port Charlotte CDP, Florida","","","","",""
"    Estimate","51,446","5,367","18,740","6,219","2,965"
"Port Orange city, Florida","","","","",""
"    Estimate","47,501","2,670","13,858","6,826","5,035"
"Port St. Lucie city, Florida","","","","",""
"    Estimate","144,282","10,596","46,906","23,321","10,659"
"Princeton CDP, Florida","","","","",""
"    Estimate","20,970","2,278","5,241","2,949","1,346"
"Richmond West CDP, Florida","","","","",""
"    Estimate","29,185","2,060","7,662","5,255","2,309"
"Riverview CDP, Florida","","","","",""
"    Estimate","67,105","2,780","19,541","14,260","7,031"
"Riviera Beach city, Florida","","","","",""
"    Estimate","24,087","2,162","7,542","3,703","2,194"
"Rockledge city, Florida","","","","",""
"    Estimate","20,567","863","3,833","4,697","3,000"
"Royal Palm Beach village, Florida","","","","",""
"    Estimate","27,795","776","7,990","6,032","4,083"
"Ruskin CDP, Florida","","","","",""
"    Estimate","20,057","1,075","6,613","2,706","1,075"
"St. Cloud city, Florida","","","","",""
"    Estimate","38,417","4,280","12,446","3,999","2,529"
"St. Petersburg city, Florida","","","","",""
"    Estimate","200,995","9,861","48,901","49,359","28,871"
"Sanford city, Florida","","","","",""
"    Estimate","42,234","2,704","15,828","5,840","2,136"
"Sarasota city, Florida","","","","",""
"    Estimate","45,537","1,705","10,740","10,827","7,416"
"Sebastian city, Florida","","","","",""
"    Estimate","21,359","709","5,840","5,784","1,814"
"South Bradenton CDP, Florida","","","","",""
"    Estimate","20,454","1,747","8,880","1,790","1,932"
"South Miami Heights CDP, Florida","","","","",""
"    Estimate","26,245","2,743","10,504","3,932","725"
"Spring Hill CDP, Florida","","","","",""
"    Estimate","82,446","7,030","26,593","11,363","5,083"
"Sun City Center CDP, Florida","","","","",""
"    Estimate","25,152","673","6,081","5,045","4,172"
"Sunrise city, Florida","","","","",""
"    Estimate","72,741","3,507","24,130","13,292","5,878"
"Sweetwater city, Florida","","","","",""
"    Estimate","15,802","6,672","2,533","3,106","500"
"Tallahassee city, Florida","","","","",""
"    Estimate","105,464","5,065","18,044","27,646","23,059"
"Tamarac city, Florida","","","","",""
"    Estimate","49,039","3,639","16,400","7,495","2,874"
"Tamiami CDP, Florida","","","","",""
"    Estimate","42,550","6,955","10,128","8,836","4,527"
"Tampa city, Florida","","","","",""
"    Estimate","272,772","17,160","68,517","64,832","47,132"
"Tarpon Springs city, Florida","","","","",""
"    Estimate","20,074","1,367","7,912","3,298","1,307"
"Temple Terrace city, Florida","","","","",""
"    Estimate","15,884","654","4,366","4,043","2,244"
"The Acreage CDP, Florida","","","","",""
"    Estimate","29,575","2,107","7,388","5,798","3,033"
"The Crossings CDP, Florida","","","","",""
"    Estimate","16,223","1,192","4,693","3,235","2,439"
"The Hammocks CDP, Florida","","","","",""
"    Estimate","44,164","1,078","8,647","14,853","5,576"
"The Villages CDP, Florida","","","","",""
"    Estimate","84,986","1,712","19,801","21,329","13,552"
"Titusville city, Florida","","","","",""
"    Estimate","33,896","2,411","10,055","6,225","2,153"
"Town 'n' Country CDP, Florida","","","","",""
"    Estimate","69,857","4,190","22,518","14,949","7,011"
"University CDP (Hillsborough County), Florida","","","","",""
"    Estimate","25,979","4,591","6,746","3,145","1,886"
"University CDP (Orange County), Florida","","","","",""
"    Estimate","13,350","1,107","3,564","2,318","1,569"
"University Park CDP, Florida","","","","",""
"    Estimate","18,125","2,011","4,192","3,048","2,014"
"Valrico CDP, Florida","","","","",""
"    Estimate","26,240","957","7,236","6,106","3,324"
"Venice city, Florida","","","","",""
"    Estimate","21,008","503","5,323","4,682","4,047"
"Vero Beach South CDP, Florida","","","","",""
"    Estimate","18,578","305","5,638","3,739","1,280"
"Wekiwa Springs CDP, Florida","","","","",""
"    Estimate","17,958","370","2,850","6,374","2,292"
"Wellington village, Florida","","","","",""
"    Estimate","45,435","623","10,942","10,971","7,658"
"Wesley Chapel CDP, Florida","","","","",""
"    Estimate","40,925","1,113","7,641","11,967","7,155"
"Westchase CDP, Florida","","","","",""
"    Estimate","16,254","104","2,599","5,909","3,953"
"Westchester CDP, Florida","","","","",""
"    Estimate","22,240","1,308","4,781","4,490","2,437"
"West Little River CDP, Florida","","","","",""
"    Estimate","23,521","2,830","8,158","1,389","239"
"West Melbourne city, Florida","","","","",""
"    Estimate","18,420","639","5,636","3,777","3,205"
"Weston city, Florida","","","","",""
"    Estimate","45,745","80","8,474","16,149","12,511"
"West Palm Beach city, Florida","","","","",""
"    Estimate","77,374","4,951","18,465","14,808","10,676"
"West Park city, Florida","","","","",""
"    Estimate","13,368","1,315","4,044","1,137","259"
"Winter Garden city, Florida","","","","",""
"    Estimate","33,055","3,022","7,230","5,996","4,712"
"Winter Haven city, Florida","","","","",""
"    Estimate","32,192","1,593","10,662","4,190","3,418"
"Winter Park city, Florida","","","","",""
"    Estimate","23,813","258","3,757","8,317","6,139"
"Winter Springs city, Florida","","","","",""
"    Estimate","27,812","1,052","4,171","7,148","5,537"
"World Golf Village CDP, Florida","","","","",""
"    Estimate","13,585","314","3,085","4,124","2,390"
"Wright CDP, Florida","","","","",""
"    Estimate","20,547","1,190","7,633","2,161","1,137"
"Acworth city, Georgia","","","","",""
"    Estimate","13,409","537","4,387","2,216","1,716"
"Albany city, Georgia","","","","",""
"    Estimate","43,010","6,135","12,951","3,405","4,015"
"Alpharetta city, Georgia","","","","",""
"    Estimate","47,305","812","3,527","20,079","15,395"
"Athens-Clarke County unified government (balance), Georgia","","","","",""
"    Estimate","70,838","4,675","11,318","17,400","16,795"
"Atlanta city, Georgia","","","","",""
"    Estimate","352,740","20,872","59,992","113,599","85,645"
"Augusta-Richmond County consolidated government (balance), Georgia","","","","",""
"    Estimate","129,927","11,590","45,551","16,111","10,158"
"Brookhaven city, Georgia","","","","",""
"    Estimate","40,561","1,904","2,147","17,773","12,053"
"Calhoun city, Georgia","","","","",""
"    Estimate","13,591","1,501","4,604","927","633"
"Candler-McAfee CDP, Georgia","","","","",""
"    Estimate","20,313","1,367","8,449","2,437","1,620"
"Canton city, Georgia","","","","",""
"    Estimate","21,462","253","5,622","4,537","2,235"
"Carrollton city, Georgia","","","","",""
"    Estimate","15,650","1,531","5,650","2,832","1,490"
"Cartersville city, Georgia","","","","",""
"    Estimate","15,881","1,656","4,781","3,151","753"
"Chamblee city, Georgia","","","","",""
"    Estimate","20,469","2,033","3,529","5,259","3,966"
"Columbus city, Georgia","","","","",""
"    Estimate","127,592","9,385","33,601","16,638","14,898"
"Dalton city, Georgia","","","","",""
"    Estimate","20,497","2,215","5,586","2,915","2,208"
"Decatur city, Georgia","","","","",""
"    Estimate","15,804","252","1,471","5,018","7,770"
"Douglasville city, Georgia","","","","",""
"    Estimate","23,210","1,641","5,646","6,346","3,569"
"Duluth city, Georgia","","","","",""
"    Estimate","22,417","772","3,026","6,542","4,875"
"Dunwoody city, Georgia","","","","",""
"    Estimate","34,297","717","2,157","14,031","10,693"
"East Point city, Georgia","","","","",""
"    Estimate","23,866","1,037","6,055","5,648","3,760"
"Evans CDP, Georgia","","","","",""
"    Estimate","28,616","1,326","4,261","9,131","5,389"
"Gainesville city, Georgia","","","","",""
"    Estimate","24,755","2,246","5,359","4,534","3,175"
"Griffin city, Georgia","","","","",""
"    Estimate","14,734","1,613","6,687","1,148","1,683"
"Hinesville city, Georgia","","","","",""
"    Estimate","21,221","1,200","4,208","3,166","1,318"
"Johns Creek city, Georgia","","","","",""
"    Estimate","54,999","586","4,728","21,761","16,539"
"Kennesaw city, Georgia","","","","",""
"    Estimate","21,008","870","4,497","6,830","1,823"
"LaGrange city, Georgia","","","","",""
"    Estimate","20,119","1,823","8,261","2,454","1,209"
"Lawrenceville city, Georgia","","","","",""
"    Estimate","20,987","2,471","4,401","3,184","1,490"
"Lithia Springs CDP, Georgia","","","","",""
"    Estimate","11,345","17","3,458","1,526","1,795"
"Mableton CDP, Georgia","","","","",""
"    Estimate","31,339","1,498","6,923","8,278","4,449"
"McDonough city, Georgia","","","","",""
"    Estimate","17,496","730","5,676","4,363","1,138"
"Macon-Bibb County, Georgia","","","","",""
"    Estimate","100,417","9,067","30,714","13,643","11,370"
"Marietta city, Georgia","","","","",""
"    Estimate","42,471","1,467","6,938","11,086","6,303"
"Martinez CDP, Georgia","","","","",""
"    Estimate","20,379","252","4,760","5,598","3,535"
"Milton city, Georgia","","","","",""
"    Estimate","28,955","389","1,840","12,765","9,795"
"Newnan city, Georgia","","","","",""
"    Estimate","27,883","1,672","6,109","4,829","3,734"
"Norcross city, Georgia","","","","",""
"    Estimate","12,488","1,288","2,754","3,320","1,170"
"Peachtree City city, Georgia","","","","",""
"    Estimate","24,545","349","2,835","9,927","4,397"
"Peachtree Corners city, Georgia","","","","",""
"    Estimate","29,506","1,150","4,244","9,469","6,185"
"Pooler city, Georgia","","","","",""
"    Estimate","17,145","858","3,251","6,463","1,056"
"Powder Springs city, Georgia","","","","",""
"    Estimate","13,735","541","4,764","2,597","1,581"
"Redan CDP, Georgia","","","","",""
"    Estimate","20,585","1,965","7,506","2,338","1,070"
"Rome city, Georgia","","","","",""
"    Estimate","25,123","1,973","7,606","3,161","4,366"
"Roswell city, Georgia","","","","",""
"    Estimate","65,754","2,554","7,262","25,028","15,305"
"Sandy Springs city, Georgia","","","","",""
"    Estimate","80,801","1,334","7,200","31,890","25,070"
"Savannah city, Georgia","","","","",""
"    Estimate","96,160","8,819","24,266","18,211","8,523"
"Smyrna city, Georgia","","","","",""
"    Estimate","42,507","1,366","6,003","13,806","9,880"
"Snellville city, Georgia","","","","",""
"    Estimate","18,992","1,238","4,449","5,329","1,633"
"South Fulton city, Georgia","","","","",""
"    Estimate","64,680","1,779","14,963","17,467","8,375"
"Statesboro city, Georgia","","","","",""
"    Estimate","12,927","811","4,209","2,240","1,419"
"Stockbridge city, Georgia","","","","",""
"    Estimate","19,629","1,277","4,768","2,610","1,881"
"Stonecrest city, Georgia","","","","",""
"    Estimate","35,056","2,113","10,114","5,866","2,455"
"Sugar Hill city, Georgia","","","","",""
"    Estimate","14,260","278","3,058","4,156","2,022"
"Tucker city, Georgia","","","","",""
"    Estimate","25,619","1,900","5,262","7,048","5,199"
"Union City city, Georgia","","","","",""
"    Estimate","13,810","1,442","3,056","964","1,370"
"Valdosta city, Georgia","","","","",""
"    Estimate","33,097","2,579","10,990","5,295","2,997"
"Warner Robins city, Georgia","","","","",""
"    Estimate","48,103","2,887","15,468","7,427","5,932"
"Woodstock city, Georgia","","","","",""
"    Estimate","23,545","282","4,477","9,491","2,986"
"East Honolulu CDP, Hawaii","","","","",""
"    Estimate","34,200","690","4,911","12,922","7,526"
"Ewa Gentry CDP, Hawaii","","","","",""
"    Estimate","17,174","263","4,934","3,923","1,652"
"Hilo CDP, Hawaii","","","","",""
"    Estimate","29,857","993","7,938","6,456","3,675"
"Kahului CDP, Hawaii","","","","",""
"    Estimate","21,334","2,105","5,342","3,080","674"
"Kailua CDP (Honolulu County), Hawaii","","","","",""
"    Estimate","26,793","373","5,296","8,253","6,264"
"Kaneohe CDP, Hawaii","","","","",""
"    Estimate","22,521","641","6,271","4,861","3,289"
"Kapolei CDP, Hawaii","","","","",""
"    Estimate","13,519","356","2,296","4,156","2,001"
"Kihei CDP, Hawaii","","","","",""
"    Estimate","17,600","770","4,032","4,611","2,002"
"Mililani Mauka CDP, Hawaii","","","","",""
"    Estimate","13,935","60","3,115","4,151","2,405"
"Mililani Town CDP, Hawaii","","","","",""
"    Estimate","20,986","356","4,710","5,475","1,623"
"Pearl City CDP, Hawaii","","","","",""
"    Estimate","32,007","1,269","9,666","6,660","3,508"
"Urban Honolulu CDP, Hawaii","","","","",""
"    Estimate","258,567","11,298","60,960","62,788","37,015"
"Waipahu CDP, Hawaii","","","","",""
"    Estimate","30,352","2,752","11,742","3,732","799"
"Boise City city, Idaho","","","","",""
"    Estimate","158,492","7,006","31,252","39,741","27,213"
"Caldwell city, Idaho","","","","",""
"    Estimate","34,338","3,059","12,374","3,023","1,079"
"Coeur d'Alene city, Idaho","","","","",""
"    Estimate","35,648","2,289","9,472","5,884","3,670"
"Eagle city, Idaho","","","","",""
"    Estimate","21,618","437","3,719","6,493","4,099"
"Idaho Falls city, Idaho","","","","",""
"    Estimate","38,900","1,812","9,882","8,767","3,757"
"Kuna city, Idaho","","","","",""
"    Estimate","13,249","347","2,637","3,833","1,203"
"Lewiston city, Idaho","","","","",""
"    Estimate","21,994","1,545","6,634","3,462","2,006"
"Meridian city, Idaho","","","","",""
"    Estimate","71,572","2,515","10,784","18,880","9,011"
"Moscow city, Idaho","","","","",""
"    Estimate","13,448","181","2,486","3,376","4,087"
"Nampa city, Idaho","","","","",""
"    Estimate","61,623","3,170","18,351","9,379","3,712"
"Pocatello city, Idaho","","","","",""
"    Estimate","35,487","1,497","8,326","8,032","4,191"
"Post Falls city, Idaho","","","","",""
"    Estimate","23,058","472","5,035","3,561","1,811"
"Rexburg city, Idaho","","","","",""
"    Estimate","8,980","92","959","2,333","879"
"Twin Falls city, Idaho","","","","",""
"    Estimate","31,642","1,944","8,628","3,274","2,465"
"Addison village, Illinois","","","","",""
"    Estimate","25,808","1,715","7,199","4,087","1,788"
"Algonquin village, Illinois","","","","",""
"    Estimate","21,087","296","4,883","6,577","3,308"
"Alton city, Illinois","","","","",""
"    Estimate","19,325","1,978","6,156","2,208","1,627"
"Arlington Heights village, Illinois","","","","",""
"    Estimate","52,736","1,102","9,760","18,403","11,958"
"Aurora city, Illinois","","","","",""
"    Estimate","126,144","11,378","26,623","24,015","19,216"
"Bartlett village, Illinois","","","","",""
"    Estimate","27,552","1,009","4,693","9,593","3,259"
"Batavia city, Illinois","","","","",""
"    Estimate","15,732","666","2,645","3,581","3,447"
"Belleville city, Illinois","","","","",""
"    Estimate","25,979","1,765","6,404","3,581","2,465"
"Bellwood village, Illinois","","","","",""
"    Estimate","14,994","1,254","5,093","2,005","218"
"Belvidere city, Illinois","","","","",""
"    Estimate","16,576","1,825","6,725","1,028","417"
"Berwyn city, Illinois","","","","",""
"    Estimate","33,774","1,989","11,510","6,052","3,393"
"Bloomingdale village, Illinois","","","","",""
"    Estimate","17,026","356","4,244","4,361","2,387"
"Bloomington city, Illinois","","","","",""
"    Estimate","50,316","2,649","8,883","16,019","8,689"
"Blue Island city, Illinois","","","","",""
"    Estimate","17,611","1,358","5,726","1,692","1,200"
"Bolingbrook village, Illinois","","","","",""
"    Estimate","48,071","2,386","13,738","11,127","5,513"
"Buffalo Grove village, Illinois","","","","",""
"    Estimate","29,990","633","3,683","11,736","7,228"
"Burbank city, Illinois","","","","",""
"    Estimate","18,302","2,566","5,837","3,238","513"
"Calumet City city, Illinois","","","","",""
"    Estimate","25,406","2,464","7,899","2,791","1,222"
"Carbondale city, Illinois","","","","",""
"    Estimate","12,135","667","1,637","1,086","3,443"
"Carol Stream village, Illinois","","","","",""
"    Estimate","28,486","1,397","5,935","6,869","4,064"
"Carpentersville village, Illinois","","","","",""
"    Estimate","21,535","1,725","5,778","3,746","1,374"
"Champaign city, Illinois","","","","",""
"    Estimate","47,481","2,076","8,619","9,894","14,617"
"Charleston city, Illinois","","","","",""
"    Estimate","10,327","1,028","2,914","1,971","1,162"
"Chicago city, Illinois","","","","",""
"    Estimate","1,890,618","134,412","415,206","451,146","330,412"
"Chicago Heights city, Illinois","","","","",""
"    Estimate","19,990","646","7,647","2,064","1,732"
"Cicero town, Illinois","","","","",""
"    Estimate","47,398","5,837","16,801","4,203","871"
"Collinsville city, Illinois","","","","",""
"    Estimate","16,746","465","4,206","3,314","1,765"
"Crest Hill city, Illinois","","","","",""
"    Estimate","14,054","1,743","4,449","1,906","843"
"Crystal Lake city, Illinois","","","","",""
"    Estimate","24,199","298","4,400","6,836","3,428"
"Danville city, Illinois","","","","",""
"    Estimate","19,282","1,859","7,733","1,434","956"
"Darien city, Illinois","","","","",""
"    Estimate","15,273","305","2,966","5,026","2,818"
"Decatur city, Illinois","","","","",""
"    Estimate","49,067","2,620","20,302","6,478","3,664"
"DeKalb city, Illinois","","","","",""
"    Estimate","22,571","785","3,964","7,063","3,990"
"Des Plaines city, Illinois","","","","",""
"    Estimate","42,918","1,764","10,019","11,183","5,830"
"Downers Grove village, Illinois","","","","",""
"    Estimate","31,486","715","4,147","11,885","7,946"
"East Moline city, Illinois","","","","",""
"    Estimate","14,437","803","4,698","2,304","1,383"
"East Peoria city, Illinois","","","","",""
"    Estimate","16,033","967","5,187","2,810","1,213"
"East St. Louis city, Illinois","","","","",""
"    Estimate","18,665","2,500","8,210","964","992"
"Edwardsville city, Illinois","","","","",""
"    Estimate","13,568","185","2,368","5,100","3,047"
"Elgin city, Illinois","","","","",""
"    Estimate","70,858","5,427","18,985","11,621","4,970"
"Elk Grove Village village, Illinois","","","","",""
"    Estimate","24,661","1,389","4,312","5,918","3,481"
"Elmhurst city, Illinois","","","","",""
"    Estimate","31,646","636","4,131","11,361","7,875"
"Elmwood Park village, Illinois","","","","",""
"    Estimate","16,922","700","5,048","2,510","1,681"
"Evanston city, Illinois","","","","",""
"    Estimate","48,705","1,172","4,697","15,657","20,258"
"Freeport city, Illinois","","","","",""
"    Estimate","17,511","950","5,743","2,032","963"
"Galesburg city, Illinois","","","","",""
"    Estimate","19,359","1,699","7,529","2,710","961"
"Geneva city, Illinois","","","","",""
"    Estimate","14,103","95","2,341","4,821","3,329"
"Glendale Heights village, Illinois","","","","",""
"    Estimate","20,774","1,757","5,759","5,566","1,800"
"Glen Ellyn village, Illinois","","","","",""
"    Estimate","20,025","389","2,850","7,944","5,335"
"Glenview village, Illinois","","","","",""
"    Estimate","33,329","1,047","3,471","11,442","11,951"
"Granite City city, Illinois","","","","",""
"    Estimate","20,429","1,921","7,273","2,093","629"
"Grayslake village, Illinois","","","","",""
"    Estimate","13,069","276","1,407","5,264","2,636"
"Gurnee village, Illinois","","","","",""
"    Estimate","18,595","426","2,639","5,556","3,622"
"Hanover Park village, Illinois","","","","",""
"    Estimate","27,221","2,471","8,086","4,870","2,226"
"Harvey city, Illinois","","","","",""
"    Estimate","13,687","1,391","6,324","695","626"
"Highland Park city, Illinois","","","","",""
"    Estimate","20,733","168","1,866","7,150","7,648"
"Hoffman Estates village, Illinois","","","","",""
"    Estimate","34,458","1,073","7,039","10,491","5,454"
"Homer Glen village, Illinois","","","","",""
"    Estimate","18,671","797","6,046","4,496","1,573"
"Homewood village, Illinois","","","","",""
"    Estimate","13,675","647","3,097","3,267","2,550"
"Huntley village, Illinois","","","","",""
"    Estimate","20,763","584","7,070","4,208","1,437"
"Joliet city, Illinois","","","","",""
"    Estimate","94,436","6,595","28,708","15,656","7,324"
"Kankakee city, Illinois","","","","",""
"    Estimate","16,329","1,674","7,316","1,280","692"
"Lake in the Hills village, Illinois","","","","",""
"    Estimate","19,650","272","3,950","6,956","1,773"
"Lansing village, Illinois","","","","",""
"    Estimate","18,929","966","5,025","2,594","1,657"
"Libertyville village, Illinois","","","","",""
"    Estimate","13,268","37","1,440","5,857","3,894"
"Lisle village, Illinois","","","","",""
"    Estimate","16,205","0","2,186","6,194","4,085"
"Lockport city, Illinois","","","","",""
"    Estimate","16,235","491","4,090","4,218","2,366"
"Lombard village, Illinois","","","","",""
"    Estimate","31,219","485","6,949","8,892","5,480"
"Loves Park city, Illinois","","","","",""
"    Estimate","16,743","1,250","4,961","2,132","1,661"
"McHenry city, Illinois","","","","",""
"    Estimate","17,538","635","5,426","3,889","1,479"
"Machesney Park village, Illinois","","","","",""
"    Estimate","16,613","1,144","5,952","1,729","857"
"Maywood village, Illinois","","","","",""
"    Estimate","13,389","1,743","4,813","806","638"
"Melrose Park village, Illinois","","","","",""
"    Estimate","14,495","1,386","4,338","1,411","625"
"Mokena village, Illinois","","","","",""
"    Estimate","14,992","179","3,268","4,476","2,608"
"Moline city, Illinois","","","","",""
"    Estimate","28,476","1,805","7,527","5,632","3,082"
"Montgomery village, Illinois","","","","",""
"    Estimate","10,506","192","2,998","1,894","2,456"
"Morton Grove village, Illinois","","","","",""
"    Estimate","16,855","813","3,609","4,362","3,052"
"Mount Prospect village, Illinois","","","","",""
"    Estimate","38,505","1,931","7,907","10,482","7,087"
"Mundelein village, Illinois","","","","",""
"    Estimate","21,856","1,530","3,911","5,037","3,364"
"Naperville city, Illinois","","","","",""
"    Estimate","101,373","1,421","10,642","37,827","32,179"
"New Lenox village, Illinois","","","","",""
"    Estimate","17,649","449","4,239","4,547","2,682"
"Niles village, Illinois","","","","",""
"    Estimate","23,139","1,376","6,910","6,248","2,659"
"Normal town, Illinois","","","","",""
"    Estimate","27,367","303","5,359","9,646","4,052"
"Northbrook village, Illinois","","","","",""
"    Estimate","22,556","324","1,895","8,031","8,693"
"North Chicago city, Illinois","","","","",""
"    Estimate","13,511","753","4,620","2,195","715"
"Oak Forest city, Illinois","","","","",""
"    Estimate","19,181","1,489","4,684","5,652","2,060"
"Oak Lawn village, Illinois","","","","",""
"    Estimate","41,429","2,260","11,354","8,387","4,078"
"Oak Park village, Illinois","","","","",""
"    Estimate","36,265","898","2,968","11,954","12,762"
"O'Fallon city, Illinois","","","","",""
"    Estimate","19,312","287","2,479","4,630","4,154"
"Orland Park village, Illinois","","","","",""
"    Estimate","41,969","1,393","9,842","11,123","7,300"
"Oswego village, Illinois","","","","",""
"    Estimate","24,430","675","3,737","7,223","3,507"
"Palatine village, Illinois","","","","",""
"    Estimate","44,986","932","7,891","13,875","8,512"
"Park Forest village, Illinois","","","","",""
"    Estimate","16,769","161","4,461","3,627","1,724"
"Park Ridge city, Illinois","","","","",""
"    Estimate","26,228","489","3,663","10,013","6,031"
"Pekin city, Illinois","","","","",""
"    Estimate","23,199","1,704","9,261","3,128","1,405"
"Peoria city, Illinois","","","","",""
"    Estimate","72,528","4,571","19,229","15,124","10,984"
"Plainfield village, Illinois","","","","",""
"    Estimate","25,356","810","4,928","8,347","4,203"
"Quincy city, Illinois","","","","",""
"    Estimate","28,616","2,085","9,997","4,157","2,318"
"Rockford city, Illinois","","","","",""
"    Estimate","93,983","7,936","27,520","15,544","8,418"
"Rock Island city, Illinois","","","","",""
"    Estimate","24,985","2,524","7,483","2,988","2,087"
"Rolling Meadows city, Illinois","","","","",""
"    Estimate","16,721","759","4,183","3,411","1,934"
"Romeoville village, Illinois","","","","",""
"    Estimate","22,744","1,215","7,695","3,369","1,118"
"Roselle village, Illinois","","","","",""
"    Estimate","15,020","681","3,505","3,865","1,879"
"Round Lake Beach village, Illinois","","","","",""
"    Estimate","16,887","2,516","4,702","1,798","1,195"
"St. Charles city, Illinois","","","","",""
"    Estimate","23,989","716","5,749","6,829","4,382"
"Schaumburg village, Illinois","","","","",""
"    Estimate","53,247","1,044","10,116","16,938","11,891"
