"Label (Grouping)","Total:","Total:!!Occupied","Total:!!Vacant"
"Coral Gables city, Florida","","",""
"    Estimate","22,396","19,472","2,924"
"Coral Springs city, Florida","","",""
"    Estimate","43,887","41,240","2,647"
"Coral Terrace CDP, Florida","","",""
"    Estimate","7,681","7,681","0"
"Country Club CDP, Florida","","",""
"    Estimate","16,147","15,047","1,100"
"Crestview city, Florida","","",""
"    Estimate","9,508","7,845","1,663"
"Cutler Bay town, Florida","","",""
"    Estimate","13,903","13,404","499"
"Dania Beach city, Florida","","",""
"    Estimate","16,189","12,114","4,075"
"Davie town, Florida","","",""
"    Estimate","37,920","35,708","2,212"
"Daytona Beach city, Florida","","",""
"    Estimate","35,808","28,839","6,969"
"DeBary city, Florida","","",""
"    Estimate","9,972","8,946","1,026"
"Deerfield Beach city, Florida","","",""
"    Estimate","42,694","33,439","9,255"
"DeLand city, Florida","","",""
"    Estimate","13,985","13,350","635"
"Delray Beach city, Florida","","",""
"    Estimate","37,213","28,548","8,665"
"Deltona city, Florida","","",""
"    Estimate","33,992","31,783","2,209"
"Doral city, Florida","","",""
"    Estimate","21,696","19,722","1,974"
"Dunedin city, Florida","","",""
"    Estimate","21,168","17,284","3,884"
"East Lake CDP, Florida","","",""
"    Estimate","14,846","13,187","1,659"
"East Lake-Orient Park CDP, Florida","","",""
"    Estimate","12,438","10,912","1,526"
"Edgewater city, Florida","","",""
"    Estimate","10,438","9,586","852"
"Egypt Lake-Leto CDP, Florida","","",""
"    Estimate","13,780","12,863","917"
"Ensley CDP, Florida","","",""
"    Estimate","11,895","9,542","2,353"
"Estero village, Florida","","",""
"    Estimate","27,425","16,501","10,924"
"Eustis city, Florida","","",""
"    Estimate","8,980","8,106","874"
"Ferry Pass CDP, Florida","","",""
"    Estimate","13,467","12,240","1,227"
"Fish Hawk CDP, Florida","","",""
"    Estimate","7,395","6,623","772"
"Fleming Island CDP, Florida","","",""
"    Estimate","10,259","9,736","523"
"Florida Ridge CDP, Florida","","",""
"    Estimate","11,779","9,123","2,656"
"Fort Lauderdale city, Florida","","",""
"    Estimate","95,905","76,348","19,557"
"Fort Myers city, Florida","","",""
"    Estimate","40,820","30,754","10,066"
"Fort Pierce city, Florida","","",""
"    Estimate","21,340","16,132","5,208"
"Fort Walton Beach city, Florida","","",""
"    Estimate","9,134","7,744","1,390"
"Fountainebleau CDP, Florida","","",""
"    Estimate","23,528","22,887","641"
"Four Corners CDP, Florida","","",""
"    Estimate","31,835","16,652","15,183"
"Fruit Cove CDP, Florida","","",""
"    Estimate","11,208","10,748","460"
"Gainesville city, Florida","","",""
"    Estimate","63,079","51,990","11,089"
"Golden Gate CDP, Florida","","",""
"    Estimate","9,205","8,479","726"
"Golden Glades CDP, Florida","","",""
"    Estimate","10,700","9,971","729"
"Greenacres city, Florida","","",""
"    Estimate","15,773","14,706","1,067"
"Haines City city, Florida","","",""
"    Estimate","9,766","6,767","2,999"
"Hallandale Beach city, Florida","","",""
"    Estimate","27,677","17,716","9,961"
"Hialeah city, Florida","","",""
"    Estimate","79,525","75,989","3,536"
"Hialeah Gardens city, Florida","","",""
"    Estimate","6,606","6,526","80"
"Holiday CDP, Florida","","",""
"    Estimate","13,252","10,026","3,226"
"Hollywood city, Florida","","",""
"    Estimate","66,826","55,172","11,654"
"Homestead city, Florida","","",""
"    Estimate","21,006","20,320","686"
"Horizon West CDP, Florida","","",""
"    Estimate","15,044","13,467","1,577"
"Immokalee CDP, Florida","","",""
"    Estimate","7,156","6,431","725"
"Ives Estates CDP, Florida","","",""
"    Estimate","9,526","8,879","647"
"Jacksonville city, Florida","","",""
"    Estimate","396,542","349,171","47,371"
"Jacksonville Beach city, Florida","","",""
"    Estimate","11,839","9,981","1,858"
"Jupiter town, Florida","","",""
"    Estimate","34,723","26,959","7,764"
"Kendale Lakes CDP, Florida","","",""
"    Estimate","18,397","18,397","0"
"Kendall CDP, Florida","","",""
"    Estimate","30,099","28,610","1,489"
"Kendall West CDP, Florida","","",""
"    Estimate","12,281","11,629","652"
"Keystone CDP, Florida","","",""
"    Estimate","9,407","8,853","554"
"Key West city, Florida","","",""
"    Estimate","14,788","11,365","3,423"
"Kissimmee city, Florida","","",""
"    Estimate","30,624","22,709","7,915"
"Lakeland city, Florida","","",""
"    Estimate","49,998","40,236","9,762"
"Lake Magdalene CDP, Florida","","",""
"    Estimate","13,730","12,592","1,138"
"Lakeside CDP, Florida","","",""
"    Estimate","12,134","11,140","994"
"Lake Worth city, Florida","","",""
"    Estimate","15,919","13,397","2,522"
"Land O' Lakes CDP, Florida","","",""
"    Estimate","14,801","14,352","449"
"Largo city, Florida","","",""
"    Estimate","45,879","33,687","12,192"
"Lauderdale Lakes city, Florida","","",""
"    Estimate","18,099","14,716","3,383"
"Lauderhill city, Florida","","",""
"    Estimate","28,467","24,628","3,839"
"Lealman CDP, Florida","","",""
"    Estimate","9,955","7,735","2,220"
"Leesburg city, Florida","","",""
"    Estimate","12,206","10,669","1,537"
"Lehigh Acres CDP, Florida","","",""
"    Estimate","42,756","38,662","4,094"
"Leisure City CDP, Florida","","",""
"    Estimate","7,382","6,937","445"
"Lutz CDP, Florida","","",""
"    Estimate","8,948","8,752","196"
"Lynn Haven city, Florida","","",""
"    Estimate","10,169","6,851","3,318"
"Maitland city, Florida","","",""
"    Estimate","8,865","8,205","660"
"Margate city, Florida","","",""
"    Estimate","28,175","24,488","3,687"
"Meadow Woods CDP, Florida","","",""
"    Estimate","12,472","7,892","4,580"
"Melbourne city, Florida","","",""
"    Estimate","38,651","31,680","6,971"
"Merritt Island CDP, Florida","","",""
"    Estimate","18,666","14,411","4,255"
"Miami city, Florida","","",""
"    Estimate","221,040","189,084","31,956"
"Miami Beach city, Florida","","",""
"    Estimate","65,746","40,084","25,662"
"Miami Gardens city, Florida","","",""
"    Estimate","34,378","32,171","2,207"
"Miami Lakes town, Florida","","",""
"    Estimate","12,863","12,177","686"
"Miramar city, Florida","","",""
"    Estimate","42,700","39,853","2,847"
"Navarre CDP, Florida","","",""
"    Estimate","15,009","13,845","1,164"
"New Smyrna Beach city, Florida","","",""
"    Estimate","20,780","13,634","7,146"
"Northdale CDP, Florida","","",""
"    Estimate","9,011","8,970","41"
"North Fort Myers CDP, Florida","","",""
"    Estimate","26,893","20,189","6,704"
"North Lauderdale city, Florida","","",""
"    Estimate","14,461","13,478","983"
"North Miami city, Florida","","",""
"    Estimate","21,941","20,769","1,172"
"North Miami Beach city, Florida","","",""
"    Estimate","17,552","14,629","2,923"
"North Port city, Florida","","",""
"    Estimate","30,862","26,005","4,857"
"Oakland Park city, Florida","","",""
"    Estimate","19,889","17,690","2,199"
"Oakleaf Plantation CDP, Florida","","",""
"    Estimate","9,069","8,137","932"
"Oak Ridge CDP, Florida","","",""
"    Estimate","8,108","5,657","2,451"
"Ocala city, Florida","","",""
"    Estimate","26,512","23,792","2,720"
"Ocoee city, Florida","","",""
"    Estimate","14,023","13,703","320"
"Orlando city, Florida","","",""
"    Estimate","138,456","109,454","29,002"
"Ormond Beach city, Florida","","",""
"    Estimate","19,108","16,716","2,392"
"Oviedo city, Florida","","",""
"    Estimate","14,808","14,239","569"
"Pace CDP, Florida","","",""
"    Estimate","9,571","8,504","1,067"
"Palm Bay city, Florida","","",""
"    Estimate","44,469","38,504","5,965"
"Palm Beach Gardens city, Florida","","",""
"    Estimate","30,066","24,667","5,399"
"Palm City CDP, Florida","","",""
"    Estimate","12,017","9,816","2,201"
"Palm Coast city, Florida","","",""
"    Estimate","38,767","34,103","4,664"
"Palmetto Bay village, Florida","","",""
"    Estimate","8,317","7,750","567"
"Palm Harbor CDP, Florida","","",""
"    Estimate","28,351","23,321","5,030"
"Palm River-Clair Mel CDP, Florida","","",""
"    Estimate","9,148","8,725","423"
"Palm Springs village, Florida","","",""
"    Estimate","9,575","8,235","1,340"
"Palm Valley CDP, Florida","","",""
"    Estimate","10,844","9,122","1,722"
"Panama City city, Florida","","",""
"    Estimate","15,792","13,937","1,855"
"Panama City Beach city, Florida","","",""
"    Estimate","22,737","8,812","13,925"
"Parkland city, Florida","","",""
"    Estimate","10,911","10,201","710"
"Pembroke Pines city, Florida","","",""
"    Estimate","62,089","57,399","4,690"
"Pensacola city, Florida","","",""
"    Estimate","25,899","22,688","3,211"
"Pine Hills CDP, Florida","","",""
"    Estimate","26,116","24,507","1,609"
"Pinellas Park city, Florida","","",""
"    Estimate","25,725","20,801","4,924"
"Plantation city, Florida","","",""
"    Estimate","39,459","36,203","3,256"
"Plant City city, Florida","","",""
"    Estimate","16,636","15,775","861"
"Poinciana CDP, Florida","","",""
"    Estimate","26,249","20,240","6,009"
"Pompano Beach city, Florida","","",""
"    Estimate","56,146","44,297","11,849"
"Port Charlotte CDP, Florida","","",""
"    Estimate","29,633","24,367","5,266"
"Port Orange city, Florida","","",""
"    Estimate","30,569","26,736","3,833"
"Port St. Lucie city, Florida","","",""
"    Estimate","77,484","68,484","9,000"
"Princeton CDP, Florida","","",""
"    Estimate","8,793","8,170","623"
"Richmond West CDP, Florida","","",""
"    Estimate","10,985","10,757","228"
"Riverview CDP, Florida","","",""
"    Estimate","39,339","35,959","3,380"
"Riviera Beach city, Florida","","",""
"    Estimate","16,095","12,193","3,902"
"Rockledge city, Florida","","",""
"    Estimate","13,220","10,991","2,229"
"Royal Palm Beach village, Florida","","",""
"    Estimate","14,243","13,633","610"
"Ruskin CDP, Florida","","",""
"    Estimate","10,216","9,529","687"
"St. Cloud city, Florida","","",""
"    Estimate","19,859","16,282","3,577"
"St. Petersburg city, Florida","","",""
"    Estimate","143,046","110,354","32,692"
"Sanford city, Florida","","",""
"    Estimate","24,537","22,523","2,014"
"Sarasota city, Florida","","",""
"    Estimate","33,429","25,135","8,294"
"Sebastian city, Florida","","",""
"    Estimate","13,403","11,663","1,740"
"South Bradenton CDP, Florida","","",""
"    Estimate","13,108","8,670","4,438"
"South Miami Heights CDP, Florida","","",""
"    Estimate","11,408","10,884","524"
"Spring Hill CDP, Florida","","",""
"    Estimate","46,839","43,691","3,148"
"Sun City Center CDP, Florida","","",""
"    Estimate","17,995","14,789","3,206"
"Sunrise city, Florida","","",""
"    Estimate","43,749","39,427","4,322"
"Sweetwater city, Florida","","",""
"    Estimate","6,128","5,948","180"
"Tallahassee city, Florida","","",""
"    Estimate","88,043","76,684","11,359"
"Tamarac city, Florida","","",""
"    Estimate","29,841","26,124","3,717"
"Tamiami CDP, Florida","","",""
"    Estimate","16,879","16,292","587"
"Tampa city, Florida","","",""
"    Estimate","174,379","153,918","20,461"
"Tarpon Springs city, Florida","","",""
"    Estimate","11,672","9,849","1,823"
"Temple Terrace city, Florida","","",""
"    Estimate","8,850","8,045","805"
"The Acreage CDP, Florida","","",""
"    Estimate","12,841","12,128","713"
"The Crossings CDP, Florida","","",""
"    Estimate","8,263","7,647","616"
"The Hammocks CDP, Florida","","",""
"    Estimate","20,069","19,617","452"
"The Villages CDP, Florida","","",""
"    Estimate","56,523","46,727","9,796"
"Titusville city, Florida","","",""
"    Estimate","24,259","18,627","5,632"
"Town 'n' Country CDP, Florida","","",""
"    Estimate","36,748","33,230","3,518"
"University CDP (Hillsborough County), Florida","","",""
"    Estimate","22,897","19,415","3,482"
"University CDP (Orange County), Florida","","",""
"    Estimate","7,671","6,913","758"
"University Park CDP, Florida","","",""
"    Estimate","7,726","7,692","34"
"Valrico CDP, Florida","","",""
"    Estimate","13,666","13,057","609"
"Venice city, Florida","","",""
"    Estimate","18,848","11,977","6,871"
"Vero Beach South CDP, Florida","","",""
"    Estimate","10,821","9,653","1,168"
"Wekiwa Springs CDP, Florida","","",""
"    Estimate","9,919","9,525","394"
"Wellington village, Florida","","",""
"    Estimate","26,116","22,506","3,610"
"Wesley Chapel CDP, Florida","","",""
"    Estimate","22,978","20,585","2,393"
"Westchase CDP, Florida","","",""
"    Estimate","9,966","8,645","1,321"
"Westchester CDP, Florida","","",""
"    Estimate","8,886","8,631","255"
"West Little River CDP, Florida","","",""
"    Estimate","11,131","10,231","900"
"West Melbourne city, Florida","","",""
"    Estimate","9,030","8,718","312"
"Weston city, Florida","","",""
"    Estimate","23,130","20,420","2,710"
"West Palm Beach city, Florida","","",""
"    Estimate","52,996","41,678","11,318"
"West Park city, Florida","","",""
"    Estimate","5,136","4,854","282"
"Winter Garden city, Florida","","",""
"    Estimate","16,233","15,785","448"
"Winter Haven city, Florida","","",""
"    Estimate","20,961","17,073","3,888"
"Winter Park city, Florida","","",""
"    Estimate","15,561","13,761","1,800"
"Winter Springs city, Florida","","",""
"    Estimate","15,519","15,220","299"
"World Golf Village CDP, Florida","","",""
"    Estimate","8,433","7,311","1,122"
"Wright CDP, Florida","","",""
"    Estimate","11,249","10,619","630"
"Acworth city, Georgia","","",""
"    Estimate","7,483","7,063","420"
"Albany city, Georgia","","",""
"    Estimate","32,971","25,640","7,331"
"Alpharetta city, Georgia","","",""
"    Estimate","27,779","25,391","2,388"
"Athens-Clarke County unified government (balance), Georgia","","",""
"    Estimate","53,163","51,640","1,523"
"Atlanta city, Georgia","","",""
"    Estimate","253,597","223,736","29,861"
"Augusta-Richmond County consolidated government (balance), Georgia","","",""
"    Estimate","87,800","66,838","20,962"
"Brookhaven city, Georgia","","",""
"    Estimate","29,088","26,944","2,144"
"Calhoun city, Georgia","","",""
"    Estimate","7,617","7,068","549"
"Candler-McAfee CDP, Georgia","","",""
"    Estimate","10,806","8,604","2,202"
"Canton city, Georgia","","",""
"    Estimate","13,293","12,782","511"
"Carrollton city, Georgia","","",""
"    Estimate","10,881","10,173","708"
"Cartersville city, Georgia","","",""
"    Estimate","9,541","8,973","568"
"Chamblee city, Georgia","","",""
"    Estimate","12,781","12,218","563"
"Columbus city, Georgia","","",""
"    Estimate","85,251","73,134","12,117"
"Dalton city, Georgia","","",""
"    Estimate","13,159","11,038","2,121"
"Decatur city, Georgia","","",""
"    Estimate","11,085","9,377","1,708"
"Douglasville city, Georgia","","",""
"    Estimate","13,848","12,237","1,611"
"Duluth city, Georgia","","",""
"    Estimate","11,466","11,180","286"
"Dunwoody city, Georgia","","",""
"    Estimate","22,189","20,881","1,308"
"East Point city, Georgia","","",""
"    Estimate","19,361","16,103","3,258"
"Evans CDP, Georgia","","",""
"    Estimate","14,225","12,328","1,897"
"Gainesville city, Georgia","","",""
"    Estimate","16,001","13,053","2,948"
"Griffin city, Georgia","","",""
"    Estimate","9,352","8,018","1,334"
"Hinesville city, Georgia","","",""
"    Estimate","16,317","13,808","2,509"
"Johns Creek city, Georgia","","",""
"    Estimate","31,296","28,638","2,658"
"Kennesaw city, Georgia","","",""
"    Estimate","13,143","12,325","818"
"LaGrange city, Georgia","","",""
"    Estimate","13,355","11,692","1,663"
"Lawrenceville city, Georgia","","",""
"    Estimate","12,430","11,756","674"
"Lithia Springs CDP, Georgia","","",""
"    Estimate","7,896","6,856","1,040"
"Mableton CDP, Georgia","","",""
"    Estimate","18,507","17,109","1,398"
"McDonough city, Georgia","","",""
"    Estimate","9,081","8,929","152"
"Macon-Bibb County, Georgia","","",""
"    Estimate","70,014","56,726","13,288"
"Marietta city, Georgia","","",""
"    Estimate","28,581","26,146","2,435"
"Martinez CDP, Georgia","","",""
"    Estimate","13,554","10,170","3,384"
"Milton city, Georgia","","",""
"    Estimate","15,888","15,795","93"
"Newnan city, Georgia","","",""
"    Estimate","17,066","16,911","155"
"Norcross city, Georgia","","",""
"    Estimate","6,564","6,429","135"
"Peachtree City city, Georgia","","",""
"    Estimate","14,252","13,266","986"
"Peachtree Corners city, Georgia","","",""
"    Estimate","17,551","16,369","1,182"
"Pooler city, Georgia","","",""
"    Estimate","10,882","9,577","1,305"
"Powder Springs city, Georgia","","",""
"    Estimate","6,369","6,369","0"
"Redan CDP, Georgia","","",""
"    Estimate","12,589","12,023","566"
"Rome city, Georgia","","",""
"    Estimate","17,376","15,381","1,995"
"Roswell city, Georgia","","",""
"    Estimate","38,237","35,944","2,293"
"Sandy Springs city, Georgia","","",""
"    Estimate","58,128","52,820","5,308"
"Savannah city, Georgia","","",""
"    Estimate","62,968","53,371","9,597"
"Smyrna city, Georgia","","",""
"    Estimate","27,419","26,081","1,338"
"Snellville city, Georgia","","",""
"    Estimate","8,345","8,169","176"
"South Fulton city, Georgia","","",""
"    Estimate","34,672","32,457","2,215"
"Statesboro city, Georgia","","",""
"    Estimate","12,520","11,024","1,496"
"Stockbridge city, Georgia","","",""
"    Estimate","11,157","10,903","254"
"Stonecrest city, Georgia","","",""
"    Estimate","19,595","18,706","889"
"Sugar Hill city, Georgia","","",""
"    Estimate","8,170","7,576","594"
"Tucker city, Georgia","","",""
"    Estimate","16,216","14,040","2,176"
"Union City city, Georgia","","",""
"    Estimate","10,022","9,526","496"
"Valdosta city, Georgia","","",""
"    Estimate","25,289","21,403","3,886"
"Warner Robins city, Georgia","","",""
"    Estimate","32,536","29,742","2,794"
"Woodstock city, Georgia","","",""
"    Estimate","14,230","13,999","231"
"East Honolulu CDP, Hawaii","","",""
"    Estimate","18,144","16,253","1,891"
"Ewa Gentry CDP, Hawaii","","",""
"    Estimate","7,021","6,673","348"
"Hilo CDP, Hawaii","","",""
"    Estimate","17,465","14,988","2,477"
"Kahului CDP, Hawaii","","",""
"    Estimate","8,606","8,140","466"
"Kailua CDP (Honolulu County), Hawaii","","",""
"    Estimate","12,789","11,995","794"
"Kaneohe CDP, Hawaii","","",""
"    Estimate","10,223","9,498","725"
"Kapolei CDP, Hawaii","","",""
"    Estimate","6,898","6,610","288"
"Kihei CDP, Hawaii","","",""
"    Estimate","13,946","8,604","5,342"
"Mililani Mauka CDP, Hawaii","","",""
"    Estimate","7,157","7,089","68"
"Mililani Town CDP, Hawaii","","",""
"    Estimate","9,473","9,150","323"
"Pearl City CDP, Hawaii","","",""
"    Estimate","14,214","13,458","756"
"Urban Honolulu CDP, Hawaii","","",""
"    Estimate","154,649","131,873","22,776"
"Waipahu CDP, Hawaii","","",""
"    Estimate","9,658","9,359","299"
"Boise City city, Idaho","","",""
"    Estimate","102,182","95,359","6,823"
"Caldwell city, Idaho","","",""
"    Estimate","19,271","18,642","629"
"Coeur d'Alene city, Idaho","","",""
"    Estimate","23,334","21,533","1,801"
"Eagle city, Idaho","","",""
"    Estimate","11,358","11,358","0"
"Idaho Falls city, Idaho","","",""
"    Estimate","24,906","22,430","2,476"
"Kuna city, Idaho","","",""
"    Estimate","7,373","7,373","0"
"Lewiston city, Idaho","","",""
"    Estimate","13,833","13,290","543"
"Meridian city, Idaho","","",""
"    Estimate","41,043","40,194","849"
"Moscow city, Idaho","","",""
"    Estimate","10,499","9,694","805"
"Nampa city, Idaho","","",""
"    Estimate","35,330","34,798","532"
"Pocatello city, Idaho","","",""
"    Estimate","22,865","20,958","1,907"
"Post Falls city, Idaho","","",""
"    Estimate","13,764","13,119","645"
"Rexburg city, Idaho","","",""
"    Estimate","11,387","8,989","2,398"
"Twin Falls city, Idaho","","",""
"    Estimate","20,107","19,143","964"
"Addison village, Illinois","","",""
"    Estimate","13,214","12,916","298"
"Algonquin village, Illinois","","",""
"    Estimate","11,400","11,134","266"
"Alton city, Illinois","","",""
"    Estimate","13,582","12,001","1,581"
"Arlington Heights village, Illinois","","",""
"    Estimate","31,424","28,748","2,676"
"Aurora city, Illinois","","",""
"    Estimate","69,856","63,972","5,884"
"Bartlett village, Illinois","","",""
"    Estimate","14,174","14,174","0"
"Batavia city, Illinois","","",""
"    Estimate","9,647","9,052","595"
"Belleville city, Illinois","","",""
"    Estimate","19,567","17,175","2,392"
"Bellwood village, Illinois","","",""
"    Estimate","7,576","7,323","253"
"Belvidere city, Illinois","","",""
"    Estimate","9,920","9,343","577"
"Berwyn city, Illinois","","",""
"    Estimate","19,592","17,467","2,125"
"Bloomingdale village, Illinois","","",""
"    Estimate","9,395","9,184","211"
"Bloomington city, Illinois","","",""
"    Estimate","35,168","31,564","3,604"
"Blue Island city, Illinois","","",""
"    Estimate","9,381","8,575","806"
"Bolingbrook village, Illinois","","",""
"    Estimate","23,422","22,890","532"
"Buffalo Grove village, Illinois","","",""
"    Estimate","16,267","15,509","758"
"Burbank city, Illinois","","",""
"    Estimate","9,232","8,543","689"
"Calumet City city, Illinois","","",""
"    Estimate","16,479","13,963","2,516"
"Carbondale city, Illinois","","",""
"    Estimate","13,997","11,279","2,718"
"Carol Stream village, Illinois","","",""
"    Estimate","15,292","14,667","625"
"Carpentersville village, Illinois","","",""
"    Estimate","11,028","10,602","426"
"Champaign city, Illinois","","",""
"    Estimate","42,123","35,865","6,258"
"Charleston city, Illinois","","",""
"    Estimate","9,454","7,347","2,107"
"Chicago city, Illinois","","",""
"    Estimate","1,218,078","1,080,345","137,733"
"Chicago Heights city, Illinois","","",""
"    Estimate","12,635","9,885","2,750"
"Cicero town, Illinois","","",""
"    Estimate","24,566","22,399","2,167"
"Collinsville city, Illinois","","",""
"    Estimate","11,838","11,144","694"
"Crest Hill city, Illinois","","",""
"    Estimate","8,146","7,226","920"
"Crystal Lake city, Illinois","","",""
"    Estimate","13,926","13,557","369"
"Danville city, Illinois","","",""
"    Estimate","14,971","12,065","2,906"
"Darien city, Illinois","","",""
"    Estimate","9,083","8,617","466"
"Decatur city, Illinois","","",""
"    Estimate","35,769","29,772","5,997"
"DeKalb city, Illinois","","",""
"    Estimate","17,493","16,706","787"
"Des Plaines city, Illinois","","",""
"    Estimate","25,565","24,149","1,416"
"Downers Grove village, Illinois","","",""
"    Estimate","20,436","19,091","1,345"
"East Moline city, Illinois","","",""
"    Estimate","8,671","8,017","654"
"East Peoria city, Illinois","","",""
"    Estimate","11,387","9,657","1,730"
"East St. Louis city, Illinois","","",""
"    Estimate","17,671","12,944","4,727"
"Edwardsville city, Illinois","","",""
"    Estimate","8,636","8,019","617"
"Elgin city, Illinois","","",""
"    Estimate","38,632","36,849","1,783"
"Elk Grove Village village, Illinois","","",""
"    Estimate","13,783","13,325","458"
"Elmhurst city, Illinois","","",""
"    Estimate","17,437","16,527","910"
"Elmwood Park village, Illinois","","",""
"    Estimate","9,973","9,139","834"
"Evanston city, Illinois","","",""
"    Estimate","30,678","27,877","2,801"
"Freeport city, Illinois","","",""
"    Estimate","12,329","11,065","1,264"
"Galesburg city, Illinois","","",""
"    Estimate","13,747","11,493","2,254"
"Geneva city, Illinois","","",""
"    Estimate","7,998","7,684","314"
"Glendale Heights village, Illinois","","",""
"    Estimate","10,914","10,242","672"
"Glen Ellyn village, Illinois","","",""
"    Estimate","12,208","11,418","790"
"Glenview village, Illinois","","",""
"    Estimate","18,913","17,623","1,290"
"Granite City city, Illinois","","",""
"    Estimate","13,913","11,832","2,081"
"Grayslake village, Illinois","","",""
"    Estimate","8,292","7,904","388"
"Gurnee village, Illinois","","",""
"    Estimate","11,188","10,899","289"
"Hanover Park village, Illinois","","",""
"    Estimate","12,085","11,890","195"
"Harvey city, Illinois","","",""
"    Estimate","9,427","7,048","2,379"
"Highland Park city, Illinois","","",""
"    Estimate","11,219","10,657","562"
"Hoffman Estates village, Illinois","","",""
"    Estimate","19,053","17,594","1,459"
"Homer Glen village, Illinois","","",""
"    Estimate","8,912","8,362","550"
"Homewood village, Illinois","","",""
"    Estimate","8,420","7,774","646"
"Huntley village, Illinois","","",""
"    Estimate","12,230","11,430","800"
"Joliet city, Illinois","","",""
"    Estimate","52,516","48,724","3,792"
"Kankakee city, Illinois","","",""
"    Estimate","12,301","9,792","2,509"
"Lake in the Hills village, Illinois","","",""
"    Estimate","11,056","10,773","283"
"Lansing village, Illinois","","",""
"    Estimate","12,448","10,964","1,484"
"Libertyville village, Illinois","","",""
"    Estimate","7,840","7,402","438"
"Lisle village, Illinois","","",""
"    Estimate","10,480","9,737","743"
"Lockport city, Illinois","","",""
"    Estimate","9,526","8,686","840"
"Lombard village, Illinois","","",""
"    Estimate","18,817","17,484","1,333"
"Loves Park city, Illinois","","",""
"    Estimate","10,326","9,785","541"
"McHenry city, Illinois","","",""
"    Estimate","10,469","10,397","72"
"Machesney Park village, Illinois","","",""
"    Estimate","9,987","9,699","288"
"Maywood village, Illinois","","",""
"    Estimate","7,960","6,354","1,606"
"Melrose Park village, Illinois","","",""
"    Estimate","8,649","7,711","938"
"Mokena village, Illinois","","",""
"    Estimate","7,451","7,451","0"
"Moline city, Illinois","","",""
"    Estimate","20,414","18,512","1,902"
"Montgomery village, Illinois","","",""
"    Estimate","6,481","6,222","259"
"Morton Grove village, Illinois","","",""
"    Estimate","8,223","7,762","461"
"Mount Prospect village, Illinois","","",""
"    Estimate","22,674","20,895","1,779"
"Mundelein village, Illinois","","",""
"    Estimate","11,720","11,573","147"
"Naperville city, Illinois","","",""
"    Estimate","54,513","52,238","2,275"
"New Lenox village, Illinois","","",""
"    Estimate","9,953","9,362","591"
"Niles village, Illinois","","",""
"    Estimate","10,791","10,598","193"
"Normal town, Illinois","","",""
"    Estimate","21,501","19,058","2,443"
"Northbrook village, Illinois","","",""
"    Estimate","13,915","12,761","1,154"
"North Chicago city, Illinois","","",""
"    Estimate","8,386","7,630","756"
"Oak Forest city, Illinois","","",""
"    Estimate","10,721","10,101","620"
"Oak Lawn village, Illinois","","",""
"    Estimate","24,849","22,728","2,121"
"Oak Park village, Illinois","","",""
"    Estimate","21,869","21,129","740"
"O'Fallon city, Illinois","","",""
"    Estimate","11,661","11,145","516"
"Orland Park village, Illinois","","",""
"    Estimate","23,766","22,233","1,533"
"Oswego village, Illinois","","",""
"    Estimate","12,598","12,598","0"
"Palatine village, Illinois","","",""
"    Estimate","27,841","25,880","1,961"
"Park Forest village, Illinois","","",""
"    Estimate","10,911","9,868","1,043"
"Park Ridge city, Illinois","","",""
"    Estimate","15,096","13,894","1,202"
"Pekin city, Illinois","","",""
"    Estimate","15,448","13,216","2,232"
"Peoria city, Illinois","","",""
"    Estimate","53,580","46,130","7,450"
"Plainfield village, Illinois","","",""
"    Estimate","12,965","12,247","718"
"Quincy city, Illinois","","",""
"    Estimate","19,265","17,189","2,076"
"Rockford city, Illinois","","",""
"    Estimate","64,492","57,463","7,029"
"Rock Island city, Illinois","","",""
"    Estimate","18,439","16,404","2,035"
"Rolling Meadows city, Illinois","","",""
"    Estimate","8,860","8,551","309"
"Romeoville village, Illinois","","",""
"    Estimate","12,411","11,119","1,292"
"Roselle village, Illinois","","",""
"    Estimate","7,725","7,725","0"
"Round Lake Beach village, Illinois","","",""
"    Estimate","9,321","8,506","815"
"St. Charles city, Illinois","","",""
"    Estimate","14,427","14,427","0"
"Schaumburg village, Illinois","","",""
"    Estimate","32,247","30,713","1,534"
"Skokie village, Illinois","","",""
"    Estimate","22,117","20,060","2,057"
"South Elgin village, Illinois","","",""
"    Estimate","9,583","9,285","298"
"South Holland village, Illinois","","",""
"    Estimate","8,561","7,770","791"
"Springfield city, Illinois","","",""
"    Estimate","56,010","49,544","6,466"
"Streamwood village, Illinois","","",""
"    Estimate","14,084","13,226","858"
"Tinley Park village, Illinois","","",""
"    Estimate","23,881","22,998","883"
"Urbana city, Illinois","","",""
"    Estimate","19,702","16,560","3,142"
"Vernon Hills village, Illinois","","",""
"    Estimate","10,761","10,092","669"
"Villa Park village, Illinois","","",""
"    Estimate","8,197","7,912","285"
"Waukegan city, Illinois","","",""
"    Estimate","31,167","29,100","2,067"
"West Chicago city, Illinois","","",""
"    Estimate","6,874","6,706","168"
"Westmont village, Illinois","","",""
"    Estimate","12,966","11,997","969"
"Wheaton city, Illinois","","",""
"    Estimate","21,054","19,247","1,807"
"Wheeling village, Illinois","","",""
"    Estimate","15,513","15,202","311"
"Wilmette village, Illinois","","",""
"    Estimate","9,869","9,507","362"
"Woodridge village, Illinois","","",""
"    Estimate","13,363","13,064","299"
"Woodstock city, Illinois","","",""
"    Estimate","10,415","9,704","711"
