"Label (Grouping)","Total:","Total:!!With private health insurance","Total:!!No private health insurance"
"    Estimate","35,426","26,006","9,420"
"East Lake-Orient Park CDP, Florida","","",""
"    Estimate","28,503","14,709","13,794"
"Edgewater city, Florida","","",""
"    Estimate","20,448","12,731","7,717"
"Egypt Lake-Leto CDP, Florida","","",""
"    Estimate","34,616","18,341","16,275"
"Ensley CDP, Florida","","",""
"    Estimate","20,702","12,115","8,587"
"Estero village, Florida","","",""
"    Estimate","33,865","25,537","8,328"
"Eustis city, Florida","","",""
"    Estimate","22,938","12,010","10,928"
"Ferry Pass CDP, Florida","","",""
"    Estimate","29,552","21,518","8,034"
"Fish Hawk CDP, Florida","","",""
"    Estimate","22,304","19,731","2,573"
"Fleming Island CDP, Florida","","",""
"    Estimate","25,036","21,693","3,343"
"Florida Ridge CDP, Florida","","",""
"    Estimate","27,680","15,347","12,333"
"Fort Lauderdale city, Florida","","",""
"    Estimate","180,351","109,749","70,602"
"Fort Myers city, Florida","","",""
"    Estimate","83,917","49,252","34,665"
"Fort Pierce city, Florida","","",""
"    Estimate","45,493","15,875","29,618"
"Fort Walton Beach city, Florida","","",""
"    Estimate","18,731","11,462","7,269"
"Fountainebleau CDP, Florida","","",""
"    Estimate","68,598","45,167","23,431"
"Four Corners CDP, Florida","","",""
"    Estimate","47,758","38,874","8,884"
"Fruit Cove CDP, Florida","","",""
"    Estimate","32,142","27,539","4,603"
"Gainesville city, Florida","","",""
"    Estimate","132,064","98,440","33,624"
"Golden Gate CDP, Florida","","",""
"    Estimate","29,984","14,043","15,941"
"Golden Glades CDP, Florida","","",""
"    Estimate","31,598","14,408","17,190"
"Greenacres city, Florida","","",""
"    Estimate","41,123","21,203","19,920"
"Haines City city, Florida","","",""
"    Estimate","25,909","11,067","14,842"
"Hallandale Beach city, Florida","","",""
"    Estimate","39,854","19,471","20,383"
"Hialeah city, Florida","","",""
"    Estimate","232,577","98,810","133,767"
"Hialeah Gardens city, Florida","","",""
"    Estimate","23,781","12,414","11,367"
"Holiday CDP, Florida","","",""
"    Estimate","22,451","10,250","12,201"
"Hollywood city, Florida","","",""
"    Estimate","153,813","87,792","66,021"
"Homestead city, Florida","","",""
"    Estimate","69,202","28,328","40,874"
"Horizon West CDP, Florida","","",""
"    Estimate","39,950","31,420","8,530"
"Immokalee CDP, Florida","","",""
"    Estimate","28,770","10,492","18,278"
"Ives Estates CDP, Florida","","",""
"    Estimate","23,314","13,073","10,241"
"Jacksonville city, Florida","","",""
"    Estimate","887,565","572,545","315,020"
"Jacksonville Beach city, Florida","","",""
"    Estimate","22,988","17,554","5,434"
"Jupiter town, Florida","","",""
"    Estimate","65,564","46,978","18,586"
"Kendale Lakes CDP, Florida","","",""
"    Estimate","52,576","31,009","21,567"
"Kendall CDP, Florida","","",""
"    Estimate","79,820","52,484","27,336"
"Kendall West CDP, Florida","","",""
"    Estimate","38,824","23,995","14,829"
"Keystone CDP, Florida","","",""
"    Estimate","26,968","21,484","5,484"
"Key West city, Florida","","",""
"    Estimate","22,029","12,260","9,769"
"Kissimmee city, Florida","","",""
"    Estimate","72,333","33,451","38,882"
"Lakeland city, Florida","","",""
"    Estimate","110,971","61,942","49,029"
"Lake Magdalene CDP, Florida","","",""
"    Estimate","33,859","23,758","10,101"
"Lakeside CDP, Florida","","",""
"    Estimate","31,379","20,326","11,053"
"Lake Worth city, Florida","","",""
"    Estimate","38,188","13,028","25,160"
"Land O' Lakes CDP, Florida","","",""
"    Estimate","43,024","28,744","14,280"
"Largo city, Florida","","",""
"    Estimate","83,942","51,014","32,928"
"Lauderdale Lakes city, Florida","","",""
"    Estimate","35,875","16,411","19,464"
"Lauderhill city, Florida","","",""
"    Estimate","71,471","37,555","33,916"
"Lealman CDP, Florida","","",""
"    Estimate","21,730","12,706","9,024"
"Leesburg city, Florida","","",""
"    Estimate","27,468","9,682","17,786"
"Lehigh Acres CDP, Florida","","",""
"    Estimate","134,601","68,830","65,771"
"Leisure City CDP, Florida","","",""
"    Estimate","26,750","8,999","17,751"
"Lutz CDP, Florida","","",""
"    Estimate","24,107","18,552","5,555"
"Lynn Haven city, Florida","","",""
"    Estimate","19,300","16,145","3,155"
"Maitland city, Florida","","",""
"    Estimate","20,593","14,838","5,755"
"Margate city, Florida","","",""
"    Estimate","58,661","33,083","25,578"
"Meadow Woods CDP, Florida","","",""
"    Estimate","25,511","19,516","5,995"
"Melbourne city, Florida","","",""
"    Estimate","82,280","50,165","32,115"
"Merritt Island CDP, Florida","","",""
"    Estimate","39,639","27,821","11,818"
"Miami city, Florida","","",""
"    Estimate","463,392","226,279","237,113"
"Miami Beach city, Florida","","",""
"    Estimate","88,474","48,143","40,331"
"Miami Gardens city, Florida","","",""
"    Estimate","109,953","53,434","56,519"
"Miami Lakes town, Florida","","",""
"    Estimate","31,362","21,226","10,136"
"Miramar city, Florida","","",""
"    Estimate","140,984","91,307","49,677"
"Navarre CDP, Florida","","",""
"    Estimate","38,070","26,359","11,711"
"New Smyrna Beach city, Florida","","",""
"    Estimate","27,659","19,311","8,348"
"Northdale CDP, Florida","","",""
"    Estimate","24,186","17,877","6,309"
"North Fort Myers CDP, Florida","","",""
"    Estimate","44,574","26,223","18,351"
"North Lauderdale city, Florida","","",""
"    Estimate","44,261","22,257","22,004"
"North Miami city, Florida","","",""
"    Estimate","62,146","25,593","36,553"
"North Miami Beach city, Florida","","",""
"    Estimate","42,877","21,910","20,967"
"North Port city, Florida","","",""
"    Estimate","70,619","39,095","31,524"
"Oakland Park city, Florida","","",""
"    Estimate","44,899","21,833","23,066"
"Oakleaf Plantation CDP, Florida","","",""
"    Estimate","29,985","27,672","2,313"
"Oak Ridge CDP, Florida","","",""
"    Estimate","25,931","11,673","14,258"
"Ocala city, Florida","","",""
"    Estimate","58,097","32,466","25,631"
"Ocoee city, Florida","","",""
"    Estimate","48,049","29,758","18,291"
"Orlando city, Florida","","",""
"    Estimate","286,265","182,047","104,218"
"Ormond Beach city, Florida","","",""
"    Estimate","43,334","29,249","14,085"
"Oviedo city, Florida","","",""
"    Estimate","41,588","34,743","6,845"
"Pace CDP, Florida","","",""
"    Estimate","23,531","16,359","7,172"
"Palm Bay city, Florida","","",""
"    Estimate","114,682","68,627","46,055"
"Palm Beach Gardens city, Florida","","",""
"    Estimate","57,299","43,656","13,643"
"Palm City CDP, Florida","","",""
"    Estimate","26,016","22,534","3,482"
"Palm Coast city, Florida","","",""
"    Estimate","89,325","55,460","33,865"
"Palmetto Bay village, Florida","","",""
"    Estimate","24,487","20,265","4,222"
"Palm Harbor CDP, Florida","","",""
"    Estimate","59,736","41,616","18,120"
"Palm River-Clair Mel CDP, Florida","","",""
"    Estimate","24,261","11,559","12,702"
"Palm Springs village, Florida","","",""
"    Estimate","25,115","11,167","13,948"
"Palm Valley CDP, Florida","","",""
"    Estimate","23,142","20,667","2,475"
"Panama City city, Florida","","",""
"    Estimate","33,848","17,706","16,142"
"Panama City Beach city, Florida","","",""
"    Estimate","21,414","14,049","7,365"
"Parkland city, Florida","","",""
"    Estimate","34,171","28,481","5,690"
"Pembroke Pines city, Florida","","",""
"    Estimate","172,603","119,336","53,267"
"Pensacola city, Florida","","",""
"    Estimate","52,310","35,749","16,561"
"Pine Hills CDP, Florida","","",""
"    Estimate","94,647","47,600","47,047"
"Pinellas Park city, Florida","","",""
"    Estimate","53,237","29,533","23,704"
"Plantation city, Florida","","",""
"    Estimate","94,352","68,032","26,320"
"Plant City city, Florida","","",""
"    Estimate","39,632","24,734","14,898"
"Poinciana CDP, Florida","","",""
"    Estimate","72,533","44,417","28,116"
"Pompano Beach city, Florida","","",""
"    Estimate","109,107","54,310","54,797"
"Port Charlotte CDP, Florida","","",""
"    Estimate","65,546","37,088","28,458"
"Port Orange city, Florida","","",""
"    Estimate","64,681","43,638","21,043"
"Port St. Lucie city, Florida","","",""
"    Estimate","200,871","135,350","65,521"
"Princeton CDP, Florida","","",""
"    Estimate","31,188","20,043","11,145"
"Richmond West CDP, Florida","","",""
"    Estimate","39,859","25,384","14,475"
"Riverview CDP, Florida","","",""
"    Estimate","96,207","68,350","27,857"
"Riviera Beach city, Florida","","",""
"    Estimate","35,216","18,140","17,076"
"Rockledge city, Florida","","",""
"    Estimate","27,236","22,078","5,158"
"Royal Palm Beach village, Florida","","",""
"    Estimate","40,127","29,714","10,413"
"Ruskin CDP, Florida","","",""
"    Estimate","32,925","14,730","18,195"
"St. Cloud city, Florida","","",""
"    Estimate","54,305","36,703","17,602"
"St. Petersburg city, Florida","","",""
"    Estimate","262,314","183,363","78,951"
"Sanford city, Florida","","",""
"    Estimate","60,136","36,190","23,946"
"Sarasota city, Florida","","",""
"    Estimate","56,498","33,879","22,619"
"Sebastian city, Florida","","",""
"    Estimate","26,111","16,695","9,416"
"South Bradenton CDP, Florida","","",""
"    Estimate","29,146","11,683","17,463"
"South Miami Heights CDP, Florida","","",""
"    Estimate","36,706","11,453","25,253"
"Spring Hill CDP, Florida","","",""
"    Estimate","112,297","63,748","48,549"
"Sun City Center CDP, Florida","","",""
"    Estimate","26,540","17,434","9,106"
"Sunrise city, Florida","","",""
"    Estimate","94,666","58,074","36,592"
"Sweetwater city, Florida","","",""
"    Estimate","22,231","11,718","10,513"
"Tallahassee city, Florida","","",""
"    Estimate","191,180","142,847","48,333"
"Tamarac city, Florida","","",""
"    Estimate","66,433","38,256","28,177"
"Tamiami CDP, Florida","","",""
"    Estimate","57,152","31,030","26,122"
"Tampa city, Florida","","",""
"    Estimate","396,093","246,442","149,651"
"Tarpon Springs city, Florida","","",""
"    Estimate","25,187","11,913","13,274"
"Temple Terrace city, Florida","","",""
"    Estimate","26,566","17,772","8,794"
"The Acreage CDP, Florida","","",""
"    Estimate","41,880","34,317","7,563"
"The Crossings CDP, Florida","","",""
"    Estimate","21,832","13,296","8,536"
"The Hammocks CDP, Florida","","",""
"    Estimate","65,572","46,861","18,711"
"The Villages CDP, Florida","","",""
"    Estimate","85,335","63,254","22,081"
"Titusville city, Florida","","",""
"    Estimate","46,246","31,765","14,481"
"Town 'n' Country CDP, Florida","","",""
"    Estimate","98,044","58,840","39,204"
"University CDP (Hillsborough County), Florida","","",""
"    Estimate","49,508","22,330","27,178"
"University CDP (Orange County), Florida","","",""
"    Estimate","38,776","30,390","8,386"
"University Park CDP, Florida","","",""
"    Estimate","27,448","15,239","12,209"
"Valrico CDP, Florida","","",""
"    Estimate","35,036","24,340","10,696"
"Venice city, Florida","","",""
"    Estimate","22,905","16,233","6,672"
"Vero Beach South CDP, Florida","","",""
"    Estimate","24,656","15,858","8,798"
"Wekiwa Springs CDP, Florida","","",""
"    Estimate","24,722","20,471","4,251"
"Wellington village, Florida","","",""
"    Estimate","65,389","46,226","19,163"
"Wesley Chapel CDP, Florida","","",""
"    Estimate","62,126","47,485","14,641"
"Westchase CDP, Florida","","",""
"    Estimate","23,302","18,479","4,823"
"Westchester CDP, Florida","","",""
"    Estimate","30,748","17,409","13,339"
"West Little River CDP, Florida","","",""
"    Estimate","36,192","13,018","23,174"
"West Melbourne city, Florida","","",""
"    Estimate","23,942","16,573","7,369"
"Weston city, Florida","","",""
"    Estimate","71,164","62,418","8,746"
"West Palm Beach city, Florida","","",""
"    Estimate","110,825","61,608","49,217"
"West Park city, Florida","","",""
"    Estimate","21,161","7,294","13,867"
"Winter Garden city, Florida","","",""
"    Estimate","45,590","36,204","9,386"
"Winter Haven city, Florida","","",""
"    Estimate","44,414","28,904","15,510"
"Winter Park city, Florida","","",""
"    Estimate","30,522","23,536","6,986"
"Winter Springs city, Florida","","",""
"    Estimate","37,309","28,245","9,064"
"World Golf Village CDP, Florida","","",""
"    Estimate","21,606","17,371","4,235"
"Wright CDP, Florida","","",""
"    Estimate","24,435","12,982","11,453"
"Acworth city, Georgia","","",""
"    Estimate","21,227","14,888","6,339"
"Albany city, Georgia","","",""
"    Estimate","68,780","30,734","38,046"
"Alpharetta city, Georgia","","",""
"    Estimate","66,867","58,900","7,967"
"Athens-Clarke County unified government (balance), Georgia","","",""
"    Estimate","126,075","85,643","40,432"
"Atlanta city, Georgia","","",""
"    Estimate","498,640","342,691","155,949"
"Augusta-Richmond County consolidated government (balance), Georgia","","",""
"    Estimate","185,862","107,892","77,970"
"Brookhaven city, Georgia","","",""
"    Estimate","55,267","40,666","14,601"
"Calhoun city, Georgia","","",""
"    Estimate","19,479","10,447","9,032"
"Candler-McAfee CDP, Georgia","","",""
"    Estimate","23,905","13,121","10,784"
"Canton city, Georgia","","",""
"    Estimate","30,297","19,950","10,347"
"Carrollton city, Georgia","","",""
"    Estimate","26,374","16,208","10,166"
"Cartersville city, Georgia","","",""
"    Estimate","22,115","15,630","6,485"
"Chamblee city, Georgia","","",""
"    Estimate","30,310","14,542","15,768"
"Columbus city, Georgia","","",""
"    Estimate","186,163","124,877","61,286"
"Dalton city, Georgia","","",""
"    Estimate","32,811","20,180","12,631"
"Decatur city, Georgia","","",""
"    Estimate","25,622","22,238","3,384"
"Douglasville city, Georgia","","",""
"    Estimate","33,251","22,831","10,420"
"Duluth city, Georgia","","",""
"    Estimate","29,522","24,846","4,676"
"Dunwoody city, Georgia","","",""
"    Estimate","49,322","40,462","8,860"
"East Point city, Georgia","","",""
"    Estimate","34,808","21,065","13,743"
"Evans CDP, Georgia","","",""
"    Estimate","42,990","34,072","8,918"
"Gainesville city, Georgia","","",""
"    Estimate","42,819","23,456","19,363"
"Griffin city, Georgia","","",""
"    Estimate","20,590","10,172","10,418"
"Hinesville city, Georgia","","",""
"    Estimate","30,800","22,939","7,861"
"Johns Creek city, Georgia","","",""
"    Estimate","84,359","77,130","7,229"
"Kennesaw city, Georgia","","",""
"    Estimate","33,970","23,606","10,364"
"LaGrange city, Georgia","","",""
"    Estimate","29,724","15,871","13,853"
"Lawrenceville city, Georgia","","",""
"    Estimate","30,570","16,287","14,283"
"Lithia Springs CDP, Georgia","","",""
"    Estimate","20,227","15,278","4,949"
"Mableton CDP, Georgia","","",""
"    Estimate","47,432","31,445","15,987"
"McDonough city, Georgia","","",""
"    Estimate","25,599","19,850","5,749"
"Macon-Bibb County, Georgia","","",""
"    Estimate","150,140","84,455","65,685"
"Marietta city, Georgia","","",""
"    Estimate","59,947","38,365","21,582"
"Martinez CDP, Georgia","","",""
"    Estimate","31,026","25,904","5,122"
"Milton city, Georgia","","",""
"    Estimate","39,593","32,711","6,882"
"Newnan city, Georgia","","",""
"    Estimate","41,115","28,798","12,317"
"Norcross city, Georgia","","",""
"    Estimate","22,547","11,776","10,771"
"Peachtree City city, Georgia","","",""
"    Estimate","36,021","30,135","5,886"
"Peachtree Corners city, Georgia","","",""
"    Estimate","43,898","31,789","12,109"
"Pooler city, Georgia","","",""
"    Estimate","24,799","18,413","6,386"
"Powder Springs city, Georgia","","",""
"    Estimate","21,203","14,849","6,354"
"Redan CDP, Georgia","","",""
"    Estimate","30,690","16,317","14,373"
"Rome city, Georgia","","",""
"    Estimate","35,376","21,545","13,831"
"Roswell city, Georgia","","",""
"    Estimate","94,131","75,836","18,295"
"Sandy Springs city, Georgia","","",""
"    Estimate","108,988","91,053","17,935"
"Savannah city, Georgia","","",""
"    Estimate","138,837","80,529","58,308"
"Smyrna city, Georgia","","",""
"    Estimate","56,512","43,006","13,506"
"Snellville city, Georgia","","",""
"    Estimate","24,558","18,257","6,301"
"South Fulton city, Georgia","","",""
"    Estimate","98,816","67,396","31,420"
"Statesboro city, Georgia","","",""
"    Estimate","32,710","23,125","9,585"
"Stockbridge city, Georgia","","",""
"    Estimate","29,910","21,677","8,233"
"Stonecrest city, Georgia","","",""
"    Estimate","54,702","29,266","25,436"
"Sugar Hill city, Georgia","","",""
"    Estimate","24,626","16,419","8,207"
"Tucker city, Georgia","","",""
"    Estimate","35,984","22,787","13,197"
"Union City city, Georgia","","",""
"    Estimate","27,941","13,991","13,950"
"Valdosta city, Georgia","","",""
"    Estimate","54,690","34,978","19,712"
"Warner Robins city, Georgia","","",""
"    Estimate","75,623","47,968","27,655"
"Woodstock city, Georgia","","",""
"    Estimate","32,918","27,208","5,710"
"East Honolulu CDP, Hawaii","","",""
"    Estimate","45,258","40,088","5,170"
"Ewa Gentry CDP, Hawaii","","",""
"    Estimate","24,308","18,908","5,400"
"Hilo CDP, Hawaii","","",""
"    Estimate","40,824","27,880","12,944"
"Kahului CDP, Hawaii","","",""
"    Estimate","28,499","20,548","7,951"
"Kailua CDP (Honolulu County), Hawaii","","",""
"    Estimate","35,133","30,402","4,731"
"Kaneohe CDP, Hawaii","","",""
"    Estimate","29,777","26,354","3,423"
"Kapolei CDP, Hawaii","","",""
"    Estimate","21,712","18,274","3,438"
"Kihei CDP, Hawaii","","",""
"    Estimate","22,673","16,775","5,898"
"Mililani Mauka CDP, Hawaii","","",""
"    Estimate","19,566","19,043","523"
"Mililani Town CDP, Hawaii","","",""
"    Estimate","28,010","24,735","3,275"
"Pearl City CDP, Hawaii","","",""
"    Estimate","41,244","35,727","5,517"
"Urban Honolulu CDP, Hawaii","","",""
"    Estimate","333,157","258,333","74,824"
"Waipahu CDP, Hawaii","","",""
"    Estimate","42,196","28,702","13,494"
"Boise City city, Idaho","","",""
"    Estimate","227,608","170,605","57,003"
"Caldwell city, Idaho","","",""
"    Estimate","57,899","34,996","22,903"
"Coeur d'Alene city, Idaho","","",""
"    Estimate","51,342","35,024","16,318"
"Eagle city, Idaho","","",""
"    Estimate","29,788","25,827","3,961"
"Idaho Falls city, Idaho","","",""
"    Estimate","62,124","42,348","19,776"
"Kuna city, Idaho","","",""
"    Estimate","19,995","15,993","4,002"
"Lewiston city, Idaho","","",""
"    Estimate","31,202","22,771","8,431"
"Meridian city, Idaho","","",""
"    Estimate","113,200","92,300","20,900"
"Moscow city, Idaho","","",""
"    Estimate","25,700","22,220","3,480"
"Nampa city, Idaho","","",""
"    Estimate","98,618","63,445","35,173"
"Pocatello city, Idaho","","",""
"    Estimate","55,859","40,553","15,306"
"Post Falls city, Idaho","","",""
"    Estimate","36,112","24,054","12,058"
"Rexburg city, Idaho","","",""
"    Estimate","24,718","20,038","4,680"
"Twin Falls city, Idaho","","",""
"    Estimate","49,894","30,866","19,028"
"Addison village, Illinois","","",""
"    Estimate","36,158","25,904","10,254"
"Algonquin village, Illinois","","",""
"    Estimate","30,496","24,679","5,817"
"Alton city, Illinois","","",""
"    Estimate","25,792","12,939","12,853"
"Arlington Heights village, Illinois","","",""
"    Estimate","71,304","58,720","12,584"
"Aurora city, Illinois","","",""
"    Estimate","198,042","128,654","69,388"
"Bartlett village, Illinois","","",""
"    Estimate","40,381","33,577","6,804"
"Batavia city, Illinois","","",""
"    Estimate","23,382","19,360","4,022"
"Belleville city, Illinois","","",""
"    Estimate","39,265","25,509","13,756"
"Bellwood village, Illinois","","",""
"    Estimate","22,670","14,835","7,835"
"Belvidere city, Illinois","","",""
"    Estimate","25,799","16,757","9,042"
"Berwyn city, Illinois","","",""
"    Estimate","54,349","32,196","22,153"
"Bloomingdale village, Illinois","","",""
"    Estimate","24,524","20,124","4,400"
"Bloomington city, Illinois","","",""
"    Estimate","76,567","57,064","19,503"
"Blue Island city, Illinois","","",""
"    Estimate","27,598","15,309","12,289"
"Bolingbrook village, Illinois","","",""
"    Estimate","72,917","52,610","20,307"
"Buffalo Grove village, Illinois","","",""
"    Estimate","42,956","35,461","7,495"
"Burbank city, Illinois","","",""
"    Estimate","27,556","19,809","7,747"
"Calumet City city, Illinois","","",""
"    Estimate","35,919","18,197","17,722"
"Carbondale city, Illinois","","",""
"    Estimate","23,802","17,586","6,216"
"Carol Stream village, Illinois","","",""
"    Estimate","40,520","29,471","11,049"
"Carpentersville village, Illinois","","",""
"    Estimate","37,251","24,967","12,284"
"Champaign city, Illinois","","",""
"    Estimate","88,524","67,643","20,881"
"Charleston city, Illinois","","",""
"    Estimate","19,318","14,331","4,987"
"Chicago city, Illinois","","",""
"    Estimate","2,668,000","1,648,103","1,019,897"
"Chicago Heights city, Illinois","","",""
"    Estimate","28,938","16,540","12,398"
"Cicero town, Illinois","","",""
"    Estimate","79,935","36,415","43,520"
"Collinsville city, Illinois","","",""
"    Estimate","23,761","17,378","6,383"
"Crest Hill city, Illinois","","",""
"    Estimate","18,038","13,543","4,495"
"Crystal Lake city, Illinois","","",""
"    Estimate","33,905","27,142","6,763"
"Danville city, Illinois","","",""
"    Estimate","28,776","12,885","15,891"
"Darien city, Illinois","","",""
"    Estimate","19,607","16,993","2,614"
"Decatur city, Illinois","","",""
"    Estimate","67,208","42,497","24,711"
"DeKalb city, Illinois","","",""
"    Estimate","43,189","34,794","8,395"
"Des Plaines city, Illinois","","",""
"    Estimate","57,062","42,668","14,394"
"Downers Grove village, Illinois","","",""
"    Estimate","48,803","41,621","7,182"
"East Moline city, Illinois","","",""
"    Estimate","17,341","10,499","6,842"
"East Peoria city, Illinois","","",""
"    Estimate","21,917","17,066","4,851"
"East St. Louis city, Illinois","","",""
"    Estimate","26,029","8,192","17,837"
"Edwardsville city, Illinois","","",""
"    Estimate","23,962","21,856","2,106"
"Elgin city, Illinois","","",""
"    Estimate","109,522","64,268","45,254"
"Elk Grove Village village, Illinois","","",""
"    Estimate","33,278","23,214","10,064"
"Elmhurst city, Illinois","","",""
"    Estimate","46,179","41,334","4,845"
"Elmwood Park village, Illinois","","",""
"    Estimate","23,919","16,302","7,617"
"Evanston city, Illinois","","",""
"    Estimate","72,195","59,473","12,722"
"Freeport city, Illinois","","",""
"    Estimate","23,763","12,930","10,833"
"Galesburg city, Illinois","","",""
"    Estimate","25,603","13,583","12,020"
"Geneva city, Illinois","","",""
"    Estimate","22,677","18,680","3,997"
"Glendale Heights village, Illinois","","",""
"    Estimate","32,564","19,727","12,837"
"Glen Ellyn village, Illinois","","",""
"    Estimate","27,256","23,648","3,608"
"Glenview village, Illinois","","",""
"    Estimate","46,161","38,577","7,584"
"Granite City city, Illinois","","",""
"    Estimate","27,506","15,138","12,368"
"Grayslake village, Illinois","","",""
"    Estimate","19,859","17,220","2,639"
"Gurnee village, Illinois","","",""
"    Estimate","30,291","24,559","5,732"
"Hanover Park village, Illinois","","",""
"    Estimate","41,824","24,650","17,174"
"Harvey city, Illinois","","",""
"    Estimate","19,451","8,370","11,081"
"Highland Park city, Illinois","","",""
"    Estimate","28,974","23,580","5,394"
"Hoffman Estates village, Illinois","","",""
"    Estimate","50,129","39,555","10,574"
"Homer Glen village, Illinois","","",""
"    Estimate","26,459","21,009","5,450"
"Homewood village, Illinois","","",""
"    Estimate","20,696","15,517","5,179"
"Huntley village, Illinois","","",""
"    Estimate","26,649","21,702","4,947"
"Joliet city, Illinois","","",""
"    Estimate","146,653","99,107","47,546"
"Kankakee city, Illinois","","",""
"    Estimate","24,811","11,835","12,976"
"Lake in the Hills village, Illinois","","",""
"    Estimate","31,903","27,667","4,236"
"Lansing village, Illinois","","",""
"    Estimate","30,958","14,786","16,172"
"Libertyville village, Illinois","","",""
"    Estimate","19,573","17,987","1,586"
"Lisle village, Illinois","","",""
"    Estimate","22,502","18,718","3,784"
"Lockport city, Illinois","","",""
"    Estimate","25,856","22,403","3,453"
"Lombard village, Illinois","","",""
"    Estimate","44,031","35,906","8,125"
"Loves Park city, Illinois","","",""
"    Estimate","22,047","16,195","5,852"
"McHenry city, Illinois","","",""
"    Estimate","24,718","19,105","5,613"
"Machesney Park village, Illinois","","",""
"    Estimate","23,442","15,860","7,582"
"Maywood village, Illinois","","",""
"    Estimate","19,713","9,722","9,991"
"Melrose Park village, Illinois","","",""
"    Estimate","22,924","13,123","9,801"
"Mokena village, Illinois","","",""
"    Estimate","20,799","18,632","2,167"
"Moline city, Illinois","","",""
"    Estimate","42,942","27,190","15,752"
"Montgomery village, Illinois","","",""
"    Estimate","19,203","18,150","1,053"
"Morton Grove village, Illinois","","",""
"    Estimate","22,072","17,182","4,890"
"Mount Prospect village, Illinois","","",""
"    Estimate","49,930","40,902","9,028"
"Mundelein village, Illinois","","",""
"    Estimate","31,552","22,610","8,942"
"Naperville city, Illinois","","",""
"    Estimate","148,445","133,271","15,174"
"New Lenox village, Illinois","","",""
"    Estimate","26,183","23,430","2,753"
"Niles village, Illinois","","",""
"    Estimate","29,020","20,796","8,224"
"Normal town, Illinois","","",""
"    Estimate","54,361","47,230","7,131"
"Northbrook village, Illinois","","",""
"    Estimate","31,886","28,918","2,968"
"North Chicago city, Illinois","","",""
"    Estimate","21,381","12,803","8,578"
"Oak Forest city, Illinois","","",""
"    Estimate","27,157","20,064","7,093"
"Oak Lawn village, Illinois","","",""
"    Estimate","54,638","35,540","19,098"
"Oak Park village, Illinois","","",""
"    Estimate","51,881","44,017","7,864"
"O'Fallon city, Illinois","","",""
"    Estimate","30,664","25,457","5,207"
"Orland Park village, Illinois","","",""
"    Estimate","57,909","46,911","10,998"
"Oswego village, Illinois","","",""
"    Estimate","37,895","30,509","7,386"
"Palatine village, Illinois","","",""
"    Estimate","67,215","46,714","20,501"
"Park Forest village, Illinois","","",""
"    Estimate","23,201","15,902","7,299"
"Park Ridge city, Illinois","","",""
"    Estimate","36,915","31,704","5,211"
"Pekin city, Illinois","","",""
"    Estimate","29,984","18,618","11,366"
"Peoria city, Illinois","","",""
"    Estimate","108,855","69,357","39,498"
"Plainfield village, Illinois","","",""
"    Estimate","40,105","35,094","5,011"
"Quincy city, Illinois","","",""
"    Estimate","38,866","25,800","13,066"
"Rockford city, Illinois","","",""
"    Estimate","140,979","79,793","61,186"
"Rock Island city, Illinois","","",""
"    Estimate","37,926","24,597","13,329"
"Rolling Meadows city, Illinois","","",""
"    Estimate","25,108","19,480","5,628"
"Romeoville village, Illinois","","",""
"    Estimate","35,393","27,345","8,048"
"Roselle village, Illinois","","",""
"    Estimate","19,948","16,890","3,058"
"Round Lake Beach village, Illinois","","",""
"    Estimate","26,221","16,835","9,386"
"St. Charles city, Illinois","","",""
"    Estimate","33,626","26,696","6,930"
"Schaumburg village, Illinois","","",""
"    Estimate","72,513","56,098","16,415"
"Skokie village, Illinois","","",""
"    Estimate","62,148","37,550","24,598"
"South Elgin village, Illinois","","",""
"    Estimate","26,692","21,969","4,723"
"South Holland village, Illinois","","",""
"    Estimate","20,219","13,235","6,984"
"Springfield city, Illinois","","",""
"    Estimate","112,523","77,719","34,804"
"Streamwood village, Illinois","","",""
"    Estimate","38,736","25,823","12,913"
"Tinley Park village, Illinois","","",""
"    Estimate","60,279","49,862","10,417"
"Urbana city, Illinois","","",""
"    Estimate","41,489","31,802","9,687"
"Vernon Hills village, Illinois","","",""
"    Estimate","26,249","22,753","3,496"
"Villa Park village, Illinois","","",""
"    Estimate","20,527","14,884","5,643"
"Waukegan city, Illinois","","",""
"    Estimate","84,377","44,288","40,089"
"West Chicago city, Illinois","","",""
"    Estimate","21,911","14,892","7,019"
"Westmont village, Illinois","","",""
"    Estimate","29,876","18,184","11,692"
"Wheaton city, Illinois","","",""
"    Estimate","51,949","45,374","6,575"
"Wheeling village, Illinois","","",""
"    Estimate","38,068","24,982","13,086"
"Wilmette village, Illinois","","",""
"    Estimate","26,971","24,001","2,970"
"Woodridge village, Illinois","","",""
"    Estimate","32,799","26,184","6,615"
"Woodstock city, Illinois","","",""
"    Estimate","26,687","19,063","7,624"
"Zion city, Illinois","","",""
"    Estimate","23,566","15,532","8,034"
"Anderson city, Indiana","","",""
"    Estimate","53,835","25,460","28,375"
"Bloomington city, Indiana","","",""
"    Estimate","85,824","65,880","19,944"
"Brownsburg town, Indiana","","",""
"    Estimate","31,687","27,218","4,469"
"Carmel city, Indiana","","",""
"    Estimate","101,640","90,292","11,348"
"Clarksville town, Indiana","","",""
"    Estimate","22,904","16,325","6,579"
"Columbus city, Indiana","","",""
"    Estimate","48,736","37,781","10,955"
"Crown Point city, Indiana","","",""
