"Label (Grouping)","Total:","Total:!!With public coverage","Total:!!No public coverage"
"    Estimate","98,948","31,239","67,709"
"Bonita Springs city, Florida","","",""
"    Estimate","59,558","30,764","28,794"
"Boynton Beach city, Florida","","",""
"    Estimate","78,313","24,773","53,540"
"Bradenton city, Florida","","",""
"    Estimate","58,323","25,971","32,352"
"Brandon CDP, Florida","","",""
"    Estimate","113,215","33,379","79,836"
"Brent CDP, Florida","","",""
"    Estimate","23,490","10,495","12,995"
"Buenaventura Lakes CDP, Florida","","",""
"    Estimate","33,142","12,848","20,294"
"Cape Coral city, Florida","","",""
"    Estimate","193,895","71,965","121,930"
"Carrollwood CDP, Florida","","",""
"    Estimate","40,993","10,362","30,631"
"Casselberry city, Florida","","",""
"    Estimate","28,746","8,775","19,971"
"Citrus Park CDP, Florida","","",""
"    Estimate","26,911","9,961","16,950"
"Clearwater city, Florida","","",""
"    Estimate","115,801","44,736","71,065"
"Clermont city, Florida","","",""
"    Estimate","38,470","13,325","25,145"
"Coconut Creek city, Florida","","",""
"    Estimate","60,986","15,928","45,058"
"Cooper City city, Florida","","",""
"    Estimate","35,796","7,724","28,072"
"Coral Gables city, Florida","","",""
"    Estimate","49,649","12,933","36,716"
"Coral Springs city, Florida","","",""
"    Estimate","133,637","32,116","101,521"
"Coral Terrace CDP, Florida","","",""
"    Estimate","25,994","10,041","15,953"
"Country Club CDP, Florida","","",""
"    Estimate","46,054","14,900","31,154"
"Crestview city, Florida","","",""
"    Estimate","23,432","6,229","17,203"
"Cutler Bay town, Florida","","",""
"    Estimate","43,516","14,422","29,094"
"Dania Beach city, Florida","","",""
"    Estimate","32,155","10,180","21,975"
"Davie town, Florida","","",""
"    Estimate","106,048","26,660","79,388"
"Daytona Beach city, Florida","","",""
"    Estimate","68,069","26,099","41,970"
"DeBary city, Florida","","",""
"    Estimate","22,339","7,797","14,542"
"Deerfield Beach city, Florida","","",""
"    Estimate","79,927","32,080","47,847"
"DeLand city, Florida","","",""
"    Estimate","34,091","12,244","21,847"
"Delray Beach city, Florida","","",""
"    Estimate","68,907","26,329","42,578"
"Deltona city, Florida","","",""
"    Estimate","92,563","34,698","57,865"
"Doral city, Florida","","",""
"    Estimate","65,631","11,706","53,925"
"Dunedin city, Florida","","",""
"    Estimate","36,136","16,469","19,667"
"East Lake CDP, Florida","","",""
"    Estimate","35,426","12,870","22,556"
"East Lake-Orient Park CDP, Florida","","",""
"    Estimate","28,503","9,809","18,694"
"Edgewater city, Florida","","",""
"    Estimate","20,448","9,776","10,672"
"Egypt Lake-Leto CDP, Florida","","",""
"    Estimate","34,616","10,511","24,105"
"Ensley CDP, Florida","","",""
"    Estimate","20,702","7,620","13,082"
"Estero village, Florida","","",""
"    Estimate","33,865","20,519","13,346"
"Eustis city, Florida","","",""
"    Estimate","22,938","11,005","11,933"
"Ferry Pass CDP, Florida","","",""
"    Estimate","29,552","9,506","20,046"
"Fish Hawk CDP, Florida","","",""
"    Estimate","22,304","3,337","18,967"
"Fleming Island CDP, Florida","","",""
"    Estimate","25,036","6,265","18,771"
"Florida Ridge CDP, Florida","","",""
"    Estimate","27,680","11,058","16,622"
"Fort Lauderdale city, Florida","","",""
"    Estimate","180,351","58,645","121,706"
"Fort Myers city, Florida","","",""
"    Estimate","83,917","35,281","48,636"
"Fort Pierce city, Florida","","",""
"    Estimate","45,493","21,619","23,874"
"Fort Walton Beach city, Florida","","",""
"    Estimate","18,731","7,752","10,979"
"Fountainebleau CDP, Florida","","",""
"    Estimate","68,598","16,888","51,710"
"Four Corners CDP, Florida","","",""
"    Estimate","47,758","10,544","37,214"
"Fruit Cove CDP, Florida","","",""
"    Estimate","32,142","6,495","25,647"
"Gainesville city, Florida","","",""
"    Estimate","132,064","31,874","100,190"
"Golden Gate CDP, Florida","","",""
"    Estimate","29,984","7,582","22,402"
"Golden Glades CDP, Florida","","",""
"    Estimate","31,598","11,555","20,043"
"Greenacres city, Florida","","",""
"    Estimate","41,123","14,346","26,777"
"Haines City city, Florida","","",""
"    Estimate","25,909","11,405","14,504"
"Hallandale Beach city, Florida","","",""
"    Estimate","39,854","16,819","23,035"
"Hialeah city, Florida","","",""
"    Estimate","232,577","92,708","139,869"
"Hialeah Gardens city, Florida","","",""
"    Estimate","23,781","8,332","15,449"
"Holiday CDP, Florida","","",""
"    Estimate","22,451","9,388","13,063"
"Hollywood city, Florida","","",""
"    Estimate","153,813","47,009","106,804"
"Homestead city, Florida","","",""
"    Estimate","69,202","25,242","43,960"
"Horizon West CDP, Florida","","",""
"    Estimate","39,950","7,470","32,480"
"Immokalee CDP, Florida","","",""
"    Estimate","28,770","11,089","17,681"
"Ives Estates CDP, Florida","","",""
"    Estimate","23,314","7,174","16,140"
"Jacksonville city, Florida","","",""
"    Estimate","887,565","292,117","595,448"
"Jacksonville Beach city, Florida","","",""
"    Estimate","22,988","3,834","19,154"
"Jupiter town, Florida","","",""
"    Estimate","65,564","20,913","44,651"
"Kendale Lakes CDP, Florida","","",""
"    Estimate","52,576","16,363","36,213"
"Kendall CDP, Florida","","",""
"    Estimate","79,820","23,972","55,848"
"Kendall West CDP, Florida","","",""
"    Estimate","38,824","10,113","28,711"
"Keystone CDP, Florida","","",""
"    Estimate","26,968","5,612","21,356"
"Key West city, Florida","","",""
"    Estimate","22,029","6,265","15,764"
"Kissimmee city, Florida","","",""
"    Estimate","72,333","32,636","39,697"
"Lakeland city, Florida","","",""
"    Estimate","110,971","47,519","63,452"
"Lake Magdalene CDP, Florida","","",""
"    Estimate","33,859","9,912","23,947"
"Lakeside CDP, Florida","","",""
"    Estimate","31,379","10,314","21,065"
"Lake Worth city, Florida","","",""
"    Estimate","38,188","12,315","25,873"
"Land O' Lakes CDP, Florida","","",""
"    Estimate","43,024","14,915","28,109"
"Largo city, Florida","","",""
"    Estimate","83,942","34,313","49,629"
"Lauderdale Lakes city, Florida","","",""
"    Estimate","35,875","15,284","20,591"
"Lauderhill city, Florida","","",""
"    Estimate","71,471","27,508","43,963"
"Lealman CDP, Florida","","",""
"    Estimate","21,730","8,601","13,129"
"Leesburg city, Florida","","",""
"    Estimate","27,468","13,539","13,929"
"Lehigh Acres CDP, Florida","","",""
"    Estimate","134,601","54,119","80,482"
"Leisure City CDP, Florida","","",""
"    Estimate","26,750","12,549","14,201"
"Lutz CDP, Florida","","",""
"    Estimate","24,107","5,283","18,824"
"Lynn Haven city, Florida","","",""
"    Estimate","19,300","4,875","14,425"
"Maitland city, Florida","","",""
"    Estimate","20,593","4,450","16,143"
"Margate city, Florida","","",""
"    Estimate","58,661","19,015","39,646"
"Meadow Woods CDP, Florida","","",""
"    Estimate","25,511","6,355","19,156"
"Melbourne city, Florida","","",""
"    Estimate","82,280","34,701","47,579"
"Merritt Island CDP, Florida","","",""
"    Estimate","39,639","15,225","24,414"
"Miami city, Florida","","",""
"    Estimate","463,392","162,605","300,787"
"Miami Beach city, Florida","","",""
"    Estimate","88,474","23,386","65,088"
"Miami Gardens city, Florida","","",""
"    Estimate","109,953","43,392","66,561"
"Miami Lakes town, Florida","","",""
"    Estimate","31,362","7,535","23,827"
"Miramar city, Florida","","",""
"    Estimate","140,984","31,618","109,366"
"Navarre CDP, Florida","","",""
"    Estimate","38,070","14,025","24,045"
"New Smyrna Beach city, Florida","","",""
"    Estimate","27,659","13,231","14,428"
"Northdale CDP, Florida","","",""
"    Estimate","24,186","5,581","18,605"
"North Fort Myers CDP, Florida","","",""
"    Estimate","44,574","26,759","17,815"
"North Lauderdale city, Florida","","",""
"    Estimate","44,261","15,087","29,174"
"North Miami city, Florida","","",""
"    Estimate","62,146","20,900","41,246"
"North Miami Beach city, Florida","","",""
"    Estimate","42,877","16,011","26,866"
"North Port city, Florida","","",""
"    Estimate","70,619","37,969","32,650"
"Oakland Park city, Florida","","",""
"    Estimate","44,899","15,323","29,576"
"Oakleaf Plantation CDP, Florida","","",""
"    Estimate","29,985","5,284","24,701"
"Oak Ridge CDP, Florida","","",""
"    Estimate","25,931","8,896","17,035"
"Ocala city, Florida","","",""
"    Estimate","58,097","20,661","37,436"
"Ocoee city, Florida","","",""
"    Estimate","48,049","14,101","33,948"
"Orlando city, Florida","","",""
"    Estimate","286,265","83,536","202,729"
"Ormond Beach city, Florida","","",""
"    Estimate","43,334","15,910","27,424"
"Oviedo city, Florida","","",""
"    Estimate","41,588","8,485","33,103"
"Pace CDP, Florida","","",""
"    Estimate","23,531","6,738","16,793"
"Palm Bay city, Florida","","",""
"    Estimate","114,682","46,536","68,146"
"Palm Beach Gardens city, Florida","","",""
"    Estimate","57,299","22,439","34,860"
"Palm City CDP, Florida","","",""
"    Estimate","26,016","6,554","19,462"
"Palm Coast city, Florida","","",""
"    Estimate","89,325","38,236","51,089"
"Palmetto Bay village, Florida","","",""
"    Estimate","24,487","5,412","19,075"
"Palm Harbor CDP, Florida","","",""
"    Estimate","59,736","20,685","39,051"
"Palm River-Clair Mel CDP, Florida","","",""
"    Estimate","24,261","10,322","13,939"
"Palm Springs village, Florida","","",""
"    Estimate","25,115","7,309","17,806"
"Palm Valley CDP, Florida","","",""
"    Estimate","23,142","6,796","16,346"
"Panama City city, Florida","","",""
"    Estimate","33,848","12,916","20,932"
"Panama City Beach city, Florida","","",""
"    Estimate","21,414","6,007","15,407"
"Parkland city, Florida","","",""
"    Estimate","34,171","7,568","26,603"
"Pembroke Pines city, Florida","","",""
"    Estimate","172,603","43,203","129,400"
"Pensacola city, Florida","","",""
"    Estimate","52,310","20,251","32,059"
"Pine Hills CDP, Florida","","",""
"    Estimate","94,647","34,970","59,677"
"Pinellas Park city, Florida","","",""
"    Estimate","53,237","20,958","32,279"
"Plantation city, Florida","","",""
"    Estimate","94,352","23,466","70,886"
"Plant City city, Florida","","",""
"    Estimate","39,632","13,227","26,405"
"Poinciana CDP, Florida","","",""
"    Estimate","72,533","24,155","48,378"
"Pompano Beach city, Florida","","",""
"    Estimate","109,107","40,337","68,770"
"Port Charlotte CDP, Florida","","",""
"    Estimate","65,546","32,414","33,132"
"Port Orange city, Florida","","",""
"    Estimate","64,681","24,511","40,170"
"Port St. Lucie city, Florida","","",""
"    Estimate","200,871","75,249","125,622"
"Princeton CDP, Florida","","",""
"    Estimate","31,188","10,419","20,769"
"Richmond West CDP, Florida","","",""
"    Estimate","39,859","11,320","28,539"
"Riverview CDP, Florida","","",""
"    Estimate","96,207","26,819","69,388"
"Riviera Beach city, Florida","","",""
"    Estimate","35,216","14,334","20,882"
"Rockledge city, Florida","","",""
"    Estimate","27,236","8,900","18,336"
"Royal Palm Beach village, Florida","","",""
"    Estimate","40,127","12,914","27,213"
"Ruskin CDP, Florida","","",""
"    Estimate","32,925","14,765","18,160"
"St. Cloud city, Florida","","",""
"    Estimate","54,305","21,975","32,330"
"St. Petersburg city, Florida","","",""
"    Estimate","262,314","80,788","181,526"
"Sanford city, Florida","","",""
"    Estimate","60,136","21,026","39,110"
"Sarasota city, Florida","","",""
"    Estimate","56,498","23,996","32,502"
"Sebastian city, Florida","","",""
"    Estimate","26,111","13,744","12,367"
"South Bradenton CDP, Florida","","",""
"    Estimate","29,146","14,179","14,967"
"South Miami Heights CDP, Florida","","",""
"    Estimate","36,706","16,184","20,522"
"Spring Hill CDP, Florida","","",""
"    Estimate","112,297","53,386","58,911"
"Sun City Center CDP, Florida","","",""
"    Estimate","26,540","19,744","6,796"
"Sunrise city, Florida","","",""
"    Estimate","94,666","30,764","63,902"
"Sweetwater city, Florida","","",""
"    Estimate","22,231","7,114","15,117"
"Tallahassee city, Florida","","",""
"    Estimate","191,180","51,430","139,750"
"Tamarac city, Florida","","",""
"    Estimate","66,433","30,525","35,908"
"Tamiami CDP, Florida","","",""
"    Estimate","57,152","19,587","37,565"
"Tampa city, Florida","","",""
"    Estimate","396,093","129,834","266,259"
"Tarpon Springs city, Florida","","",""
"    Estimate","25,187","12,511","12,676"
"Temple Terrace city, Florida","","",""
"    Estimate","26,566","7,381","19,185"
"The Acreage CDP, Florida","","",""
"    Estimate","41,880","8,465","33,415"
"The Crossings CDP, Florida","","",""
"    Estimate","21,832","5,999","15,833"
"The Hammocks CDP, Florida","","",""
"    Estimate","65,572","13,211","52,361"
"The Villages CDP, Florida","","",""
"    Estimate","85,335","73,609","11,726"
"Titusville city, Florida","","",""
"    Estimate","46,246","15,397","30,849"
"Town 'n' Country CDP, Florida","","",""
"    Estimate","98,044","29,219","68,825"
"University CDP (Hillsborough County), Florida","","",""
"    Estimate","49,508","16,884","32,624"
"University CDP (Orange County), Florida","","",""
"    Estimate","38,776","6,721","32,055"
"University Park CDP, Florida","","",""
"    Estimate","27,448","9,947","17,501"
"Valrico CDP, Florida","","",""
"    Estimate","35,036","11,780","23,256"
"Venice city, Florida","","",""
"    Estimate","22,905","16,017","6,888"
"Vero Beach South CDP, Florida","","",""
"    Estimate","24,656","11,309","13,347"
"Wekiwa Springs CDP, Florida","","",""
"    Estimate","24,722","6,994","17,728"
"Wellington village, Florida","","",""
"    Estimate","65,389","20,928","44,461"
"Wesley Chapel CDP, Florida","","",""
"    Estimate","62,126","16,768","45,358"
"Westchase CDP, Florida","","",""
"    Estimate","23,302","4,025","19,277"
"Westchester CDP, Florida","","",""
"    Estimate","30,748","10,526","20,222"
"West Little River CDP, Florida","","",""
"    Estimate","36,192","14,452","21,740"
"West Melbourne city, Florida","","",""
"    Estimate","23,942","7,841","16,101"
"Weston city, Florida","","",""
"    Estimate","71,164","11,380","59,784"
"West Palm Beach city, Florida","","",""
"    Estimate","110,825","43,086","67,739"
"West Park city, Florida","","",""
"    Estimate","21,161","9,865","11,296"
"Winter Garden city, Florida","","",""
"    Estimate","45,590","11,698","33,892"
"Winter Haven city, Florida","","",""
"    Estimate","44,414","17,835","26,579"
"Winter Park city, Florida","","",""
"    Estimate","30,522","8,961","21,561"
"Winter Springs city, Florida","","",""
"    Estimate","37,309","13,181","24,128"
"World Golf Village CDP, Florida","","",""
"    Estimate","21,606","6,133","15,473"
"Wright CDP, Florida","","",""
"    Estimate","24,435","9,675","14,760"
"Acworth city, Georgia","","",""
"    Estimate","21,227","4,403","16,824"
"Albany city, Georgia","","",""
"    Estimate","68,780","31,002","37,778"
"Alpharetta city, Georgia","","",""
"    Estimate","66,867","8,844","58,023"
"Athens-Clarke County unified government (balance), Georgia","","",""
"    Estimate","126,075","34,741","91,334"
"Atlanta city, Georgia","","",""
"    Estimate","498,640","144,659","353,981"
"Augusta-Richmond County consolidated government (balance), Georgia","","",""
"    Estimate","185,862","81,538","104,324"
"Brookhaven city, Georgia","","",""
"    Estimate","55,267","9,777","45,490"
"Calhoun city, Georgia","","",""
"    Estimate","19,479","6,858","12,621"
"Candler-McAfee CDP, Georgia","","",""
"    Estimate","23,905","10,800","13,105"
"Canton city, Georgia","","",""
"    Estimate","30,297","7,416","22,881"
"Carrollton city, Georgia","","",""
"    Estimate","26,374","10,635","15,739"
"Cartersville city, Georgia","","",""
"    Estimate","22,115","6,090","16,025"
"Chamblee city, Georgia","","",""
"    Estimate","30,310","7,748","22,562"
"Columbus city, Georgia","","",""
"    Estimate","186,163","68,732","117,431"
"Dalton city, Georgia","","",""
"    Estimate","32,811","10,281","22,530"
"Decatur city, Georgia","","",""
"    Estimate","25,622","4,037","21,585"
"Douglasville city, Georgia","","",""
"    Estimate","33,251","9,998","23,253"
"Duluth city, Georgia","","",""
"    Estimate","29,522","5,083","24,439"
"Dunwoody city, Georgia","","",""
"    Estimate","49,322","9,849","39,473"
"East Point city, Georgia","","",""
"    Estimate","34,808","12,101","22,707"
"Evans CDP, Georgia","","",""
"    Estimate","42,990","10,037","32,953"
"Gainesville city, Georgia","","",""
"    Estimate","42,819","15,049","27,770"
"Griffin city, Georgia","","",""
"    Estimate","20,590","8,568","12,022"
"Hinesville city, Georgia","","",""
"    Estimate","30,800","12,818","17,982"
"Johns Creek city, Georgia","","",""
"    Estimate","84,359","9,696","74,663"
"Kennesaw city, Georgia","","",""
"    Estimate","33,970","9,047","24,923"
"LaGrange city, Georgia","","",""
"    Estimate","29,724","11,620","18,104"
"Lawrenceville city, Georgia","","",""
"    Estimate","30,570","9,160","21,410"
"Lithia Springs CDP, Georgia","","",""
"    Estimate","20,227","3,079","17,148"
"Mableton CDP, Georgia","","",""
"    Estimate","47,432","13,445","33,987"
"McDonough city, Georgia","","",""
"    Estimate","25,599","5,913","19,686"
"Macon-Bibb County, Georgia","","",""
"    Estimate","150,140","65,110","85,030"
"Marietta city, Georgia","","",""
"    Estimate","59,947","17,040","42,907"
"Martinez CDP, Georgia","","",""
"    Estimate","31,026","7,005","24,021"
"Milton city, Georgia","","",""
"    Estimate","39,593","7,311","32,282"
"Newnan city, Georgia","","",""
"    Estimate","41,115","12,786","28,329"
"Norcross city, Georgia","","",""
"    Estimate","22,547","6,464","16,083"
"Peachtree City city, Georgia","","",""
"    Estimate","36,021","9,331","26,690"
"Peachtree Corners city, Georgia","","",""
"    Estimate","43,898","10,950","32,948"
"Pooler city, Georgia","","",""
"    Estimate","24,799","3,190","21,609"
"Powder Springs city, Georgia","","",""
"    Estimate","21,203","5,385","15,818"
"Redan CDP, Georgia","","",""
"    Estimate","30,690","9,577","21,113"
"Rome city, Georgia","","",""
"    Estimate","35,376","12,694","22,682"
"Roswell city, Georgia","","",""
"    Estimate","94,131","21,357","72,774"
"Sandy Springs city, Georgia","","",""
"    Estimate","108,988","19,672","89,316"
"Savannah city, Georgia","","",""
"    Estimate","138,837","49,522","89,315"
"Smyrna city, Georgia","","",""
"    Estimate","56,512","12,054","44,458"
"Snellville city, Georgia","","",""
"    Estimate","24,558","6,125","18,433"
"South Fulton city, Georgia","","",""
"    Estimate","98,816","31,723","67,093"
"Statesboro city, Georgia","","",""
"    Estimate","32,710","7,041","25,669"
"Stockbridge city, Georgia","","",""
"    Estimate","29,910","8,488","21,422"
"Stonecrest city, Georgia","","",""
"    Estimate","54,702","21,206","33,496"
"Sugar Hill city, Georgia","","",""
"    Estimate","24,626","5,075","19,551"
"Tucker city, Georgia","","",""
"    Estimate","35,984","9,520","26,464"
"Union City city, Georgia","","",""
"    Estimate","27,941","12,039","15,902"
"Valdosta city, Georgia","","",""
"    Estimate","54,690","21,420","33,270"
"Warner Robins city, Georgia","","",""
"    Estimate","75,623","27,511","48,112"
"Woodstock city, Georgia","","",""
"    Estimate","32,918","5,856","27,062"
"East Honolulu CDP, Hawaii","","",""
"    Estimate","45,258","14,303","30,955"
"Ewa Gentry CDP, Hawaii","","",""
"    Estimate","24,308","5,611","18,697"
"Hilo CDP, Hawaii","","",""
"    Estimate","40,824","20,361","20,463"
"Kahului CDP, Hawaii","","",""
"    Estimate","28,499","11,280","17,219"
"Kailua CDP (Honolulu County), Hawaii","","",""
"    Estimate","35,133","11,738","23,395"
"Kaneohe CDP, Hawaii","","",""
"    Estimate","29,777","9,146","20,631"
"Kapolei CDP, Hawaii","","",""
"    Estimate","21,712","5,497","16,215"
"Kihei CDP, Hawaii","","",""
"    Estimate","22,673","6,812","15,861"
"Mililani Mauka CDP, Hawaii","","",""
"    Estimate","19,566","3,315","16,251"
"Mililani Town CDP, Hawaii","","",""
"    Estimate","28,010","8,106","19,904"
"Pearl City CDP, Hawaii","","",""
"    Estimate","41,244","14,538","26,706"
"Urban Honolulu CDP, Hawaii","","",""
"    Estimate","333,157","118,651","214,506"
"Waipahu CDP, Hawaii","","",""
"    Estimate","42,196","15,759","26,437"
"Boise City city, Idaho","","",""
"    Estimate","227,608","61,634","165,974"
"Caldwell city, Idaho","","",""
"    Estimate","57,899","21,604","36,295"
"Coeur d'Alene city, Idaho","","",""
"    Estimate","51,342","16,089","35,253"
"Eagle city, Idaho","","",""
"    Estimate","29,788","6,861","22,927"
"Idaho Falls city, Idaho","","",""
"    Estimate","62,124","21,236","40,888"
"Kuna city, Idaho","","",""
"    Estimate","19,995","4,267","15,728"
"Lewiston city, Idaho","","",""
"    Estimate","31,202","9,880","21,322"
"Meridian city, Idaho","","",""
"    Estimate","113,200","24,890","88,310"
"Moscow city, Idaho","","",""
"    Estimate","25,700","4,139","21,561"
"Nampa city, Idaho","","",""
"    Estimate","98,618","34,677","63,941"
"Pocatello city, Idaho","","",""
"    Estimate","55,859","17,825","38,034"
"Post Falls city, Idaho","","",""
"    Estimate","36,112","12,559","23,553"
"Rexburg city, Idaho","","",""
"    Estimate","24,718","6,213","18,505"
"Twin Falls city, Idaho","","",""
"    Estimate","49,894","18,049","31,845"
"Addison village, Illinois","","",""
"    Estimate","36,158","12,860","23,298"
"Algonquin village, Illinois","","",""
"    Estimate","30,496","6,266","24,230"
"Alton city, Illinois","","",""
"    Estimate","25,792","14,855","10,937"
"Arlington Heights village, Illinois","","",""
"    Estimate","71,304","16,245","55,059"
"Aurora city, Illinois","","",""
"    Estimate","198,042","64,770","133,272"
"Bartlett village, Illinois","","",""
"    Estimate","40,381","9,098","31,283"
"Batavia city, Illinois","","",""
"    Estimate","23,382","5,360","18,022"
"Belleville city, Illinois","","",""
"    Estimate","39,265","13,046","26,219"
"Bellwood village, Illinois","","",""
"    Estimate","22,670","8,886","13,784"
"Belvidere city, Illinois","","",""
"    Estimate","25,799","11,377","14,422"
"Berwyn city, Illinois","","",""
"    Estimate","54,349","18,234","36,115"
"Bloomingdale village, Illinois","","",""
"    Estimate","24,524","6,779","17,745"
"Bloomington city, Illinois","","",""
"    Estimate","76,567","21,739","54,828"
"Blue Island city, Illinois","","",""
"    Estimate","27,598","9,867","17,731"
"Bolingbrook village, Illinois","","",""
"    Estimate","72,917","18,205","54,712"
"Buffalo Grove village, Illinois","","",""
"    Estimate","42,956","8,190","34,766"
"Burbank city, Illinois","","",""
"    Estimate","27,556","7,172","20,384"
"Calumet City city, Illinois","","",""
"    Estimate","35,919","13,949","21,970"
"Carbondale city, Illinois","","",""
"    Estimate","23,802","6,057","17,745"
"Carol Stream village, Illinois","","",""
"    Estimate","40,520","13,803","26,717"
"Carpentersville village, Illinois","","",""
"    Estimate","37,251","11,182","26,069"
"Champaign city, Illinois","","",""
"    Estimate","88,524","26,149","62,375"
"Charleston city, Illinois","","",""
"    Estimate","19,318","6,006","13,312"
"Chicago city, Illinois","","",""
"    Estimate","2,668,000","940,161","1,727,839"
"Chicago Heights city, Illinois","","",""
"    Estimate","28,938","10,533","18,405"
"Cicero town, Illinois","","",""
"    Estimate","79,935","32,047","47,888"
"Collinsville city, Illinois","","",""
"    Estimate","23,761","9,253","14,508"
"Crest Hill city, Illinois","","",""
"    Estimate","18,038","6,206","11,832"
"Crystal Lake city, Illinois","","",""
"    Estimate","33,905","8,422","25,483"
"Danville city, Illinois","","",""
"    Estimate","28,776","18,526","10,250"
"Darien city, Illinois","","",""
"    Estimate","19,607","5,262","14,345"
"Decatur city, Illinois","","",""
"    Estimate","67,208","30,463","36,745"
"DeKalb city, Illinois","","",""
"    Estimate","43,189","8,950","34,239"
"Des Plaines city, Illinois","","",""
"    Estimate","57,062","18,270","38,792"
"Downers Grove village, Illinois","","",""
"    Estimate","48,803","9,920","38,883"
"East Moline city, Illinois","","",""
"    Estimate","17,341","8,903","8,438"
"East Peoria city, Illinois","","",""
"    Estimate","21,917","8,618","13,299"
"East St. Louis city, Illinois","","",""
"    Estimate","26,029","21,590","4,439"
"Edwardsville city, Illinois","","",""
"    Estimate","23,962","5,019","18,943"
"Elgin city, Illinois","","",""
"    Estimate","109,522","40,343","69,179"
"Elk Grove Village village, Illinois","","",""
"    Estimate","33,278","12,441","20,837"
"Elmhurst city, Illinois","","",""
"    Estimate","46,179","10,566","35,613"
"Elmwood Park village, Illinois","","",""
"    Estimate","23,919","6,494","17,425"
"Evanston city, Illinois","","",""
"    Estimate","72,195","16,888","55,307"
"Freeport city, Illinois","","",""
"    Estimate","23,763","12,314","11,449"
"Galesburg city, Illinois","","",""
"    Estimate","25,603","14,683","10,920"
"Geneva city, Illinois","","",""
"    Estimate","22,677","4,097","18,580"
"Glendale Heights village, Illinois","","",""
"    Estimate","32,564","12,224","20,340"
"Glen Ellyn village, Illinois","","",""
"    Estimate","27,256","6,921","20,335"
"Glenview village, Illinois","","",""
"    Estimate","46,161","12,329","33,832"
"Granite City city, Illinois","","",""
"    Estimate","27,506","12,531","14,975"
"Grayslake village, Illinois","","",""
"    Estimate","19,859","4,131","15,728"
"Gurnee village, Illinois","","",""
"    Estimate","30,291","6,846","23,445"
"Hanover Park village, Illinois","","",""
"    Estimate","41,824","14,915","26,909"
"Harvey city, Illinois","","",""
"    Estimate","19,451","11,114","8,337"
"Highland Park city, Illinois","","",""
"    Estimate","28,974","9,006","19,968"
"Hoffman Estates village, Illinois","","",""
"    Estimate","50,129","10,284","39,845"
"Homer Glen village, Illinois","","",""
"    Estimate","26,459","7,640","18,819"
"Homewood village, Illinois","","",""
"    Estimate","20,696","5,857","14,839"
"Huntley village, Illinois","","",""
"    Estimate","26,649","10,569","16,080"
"Joliet city, Illinois","","",""
"    Estimate","146,653","43,453","103,200"
"Kankakee city, Illinois","","",""
"    Estimate","24,811","12,459","12,352"
"Lake in the Hills village, Illinois","","",""
"    Estimate","31,903","5,674","26,229"
"Lansing village, Illinois","","",""
"    Estimate","30,958","14,468","16,490"
"Libertyville village, Illinois","","",""
"    Estimate","19,573","3,402","16,171"
"Lisle village, Illinois","","",""
"    Estimate","22,502","5,573","16,929"
"Lockport city, Illinois","","",""
"    Estimate","25,856","5,378","20,478"
"Lombard village, Illinois","","",""
"    Estimate","44,031","11,923","32,108"
"Loves Park city, Illinois","","",""
"    Estimate","22,047","7,347","14,700"
"McHenry city, Illinois","","",""
"    Estimate","24,718","7,842","16,876"
"Machesney Park village, Illinois","","",""
"    Estimate","23,442","9,795","13,647"
"Maywood village, Illinois","","",""
"    Estimate","19,713","7,946","11,767"
"Melrose Park village, Illinois","","",""
"    Estimate","22,924","9,510","13,414"
"Mokena village, Illinois","","",""
"    Estimate","20,799","4,252","16,547"
"Moline city, Illinois","","",""
"    Estimate","42,942","17,660","25,282"
"Montgomery village, Illinois","","",""
"    Estimate","19,203","2,313","16,890"
"Morton Grove village, Illinois","","",""
"    Estimate","22,072","6,820","15,252"
"Mount Prospect village, Illinois","","",""
"    Estimate","49,930","12,663","37,267"
"Mundelein village, Illinois","","",""
"    Estimate","31,552","10,115","21,437"
"Naperville city, Illinois","","",""
"    Estimate","148,445","25,229","123,216"
"New Lenox village, Illinois","","",""
"    Estimate","26,183","5,574","20,609"
"Niles village, Illinois","","",""
"    Estimate","29,020","10,151","18,869"
"Normal town, Illinois","","",""
"    Estimate","54,361","11,532","42,829"
"Northbrook village, Illinois","","",""
"    Estimate","31,886","7,617","24,269"
"North Chicago city, Illinois","","",""
"    Estimate","21,381","8,809","12,572"
"Oak Forest city, Illinois","","",""
"    Estimate","27,157","9,632","17,525"
"Oak Lawn village, Illinois","","",""
"    Estimate","54,638","19,973","34,665"
"Oak Park village, Illinois","","",""
"    Estimate","51,881","9,879","42,002"
"O'Fallon city, Illinois","","",""
"    Estimate","30,664","7,476","23,188"
"Orland Park village, Illinois","","",""
"    Estimate","57,909","19,256","38,653"
"Oswego village, Illinois","","",""
"    Estimate","37,895","9,066","28,829"
"Palatine village, Illinois","","",""
"    Estimate","67,215","18,975","48,240"
"Park Forest village, Illinois","","",""
"    Estimate","23,201","9,117","14,084"
"Park Ridge city, Illinois","","",""
"    Estimate","36,915","9,088","27,827"
"Pekin city, Illinois","","",""
"    Estimate","29,984","15,605","14,379"
"Peoria city, Illinois","","",""
"    Estimate","108,855","45,704","63,151"
"Plainfield village, Illinois","","",""
"    Estimate","40,105","6,996","33,109"
"Quincy city, Illinois","","",""
"    Estimate","38,866","15,235","23,631"
"Rockford city, Illinois","","",""
"    Estimate","140,979","68,803","72,176"
"Rock Island city, Illinois","","",""
