"Label (Grouping)","Total:!!In labor force:!!Civilian labor force:","Total:!!In labor force:!!Civilian labor force:!!Employed","Total:!!In labor force:!!Civilian labor force:!!Unemployed"
"Ensley CDP, Florida","","",""
"    Estimate","11,636","11,078","558"
"Estero village, Florida","","",""
"    Estimate","11,427","10,950","477"
"Eustis city, Florida","","",""
"    Estimate","10,143","8,996","1,147"
"Ferry Pass CDP, Florida","","",""
"    Estimate","16,337","15,883","454"
"Fish Hawk CDP, Florida","","",""
"    Estimate","10,146","9,566","580"
"Fleming Island CDP, Florida","","",""
"    Estimate","13,006","13,006","0"
"Florida Ridge CDP, Florida","","",""
"    Estimate","13,676","13,116","560"
"Fort Lauderdale city, Florida","","",""
"    Estimate","102,402","96,887","5,515"
"Fort Myers city, Florida","","",""
"    Estimate","35,724","34,213","1,511"
"Fort Pierce city, Florida","","",""
"    Estimate","22,414","21,390","1,024"
"Fort Walton Beach city, Florida","","",""
"    Estimate","9,667","9,046","621"
"Fountainebleau CDP, Florida","","",""
"    Estimate","41,126","39,922","1,204"
"Four Corners CDP, Florida","","",""
"    Estimate","28,321","27,129","1,192"
"Fruit Cove CDP, Florida","","",""
"    Estimate","16,950","15,907","1,043"
"Gainesville city, Florida","","",""
"    Estimate","68,820","66,312","2,508"
"Golden Gate CDP, Florida","","",""
"    Estimate","17,400","16,676","724"
"Golden Glades CDP, Florida","","",""
"    Estimate","14,459","14,339","120"
"Greenacres city, Florida","","",""
"    Estimate","22,647","22,167","480"
"Haines City city, Florida","","",""
"    Estimate","11,639","11,246","393"
"Hallandale Beach city, Florida","","",""
"    Estimate","19,288","17,355","1,933"
"Hialeah city, Florida","","",""
"    Estimate","115,220","112,781","2,439"
"Hialeah Gardens city, Florida","","",""
"    Estimate","14,024","13,398","626"
"Holiday CDP, Florida","","",""
"    Estimate","11,825","10,805","1,020"
"Hollywood city, Florida","","",""
"    Estimate","84,402","80,151","4,251"
"Homestead city, Florida","","",""
"    Estimate","33,209","31,112","2,097"
"Horizon West CDP, Florida","","",""
"    Estimate","23,376","22,747","629"
"Immokalee CDP, Florida","","",""
"    Estimate","11,867","10,728","1,139"
"Ives Estates CDP, Florida","","",""
"    Estimate","13,825","13,022","803"
"Jacksonville city, Florida","","",""
"    Estimate","465,380","443,223","22,157"
"Jacksonville Beach city, Florida","","",""
"    Estimate","15,024","14,964","60"
"Jupiter town, Florida","","",""
"    Estimate","34,350","32,531","1,819"
"Kendale Lakes CDP, Florida","","",""
"    Estimate","29,523","28,551","972"
"Kendall CDP, Florida","","",""
"    Estimate","48,007","46,187","1,820"
"Kendall West CDP, Florida","","",""
"    Estimate","20,909","20,620","289"
"Keystone CDP, Florida","","",""
"    Estimate","13,724","13,499","225"
"Key West city, Florida","","",""
"    Estimate","14,086","13,946","140"
"Kissimmee city, Florida","","",""
"    Estimate","35,439","34,223","1,216"
"Lakeland city, Florida","","",""
"    Estimate","49,667","46,000","3,667"
"Lake Magdalene CDP, Florida","","",""
"    Estimate","17,692","17,191","501"
"Lakeside CDP, Florida","","",""
"    Estimate","16,562","15,502","1,060"
"Lake Worth city, Florida","","",""
"    Estimate","21,744","20,681","1,063"
"Land O' Lakes CDP, Florida","","",""
"    Estimate","20,056","19,100","956"
"Largo city, Florida","","",""
"    Estimate","43,019","41,234","1,785"
"Lauderdale Lakes city, Florida","","",""
"    Estimate","18,834","17,937","897"
"Lauderhill city, Florida","","",""
"    Estimate","37,608","33,968","3,640"
"Lealman CDP, Florida","","",""
"    Estimate","10,718","10,020","698"
"Leesburg city, Florida","","",""
"    Estimate","12,955","11,774","1,181"
"Lehigh Acres CDP, Florida","","",""
"    Estimate","62,375","58,802","3,573"
"Leisure City CDP, Florida","","",""
"    Estimate","12,945","11,684","1,261"
"Lutz CDP, Florida","","",""
"    Estimate","14,723","14,373","350"
"Lynn Haven city, Florida","","",""
"    Estimate","12,280","12,158","122"
"Maitland city, Florida","","",""
"    Estimate","12,712","12,522","190"
"Margate city, Florida","","",""
"    Estimate","33,314","32,215","1,099"
"Meadow Woods CDP, Florida","","",""
"    Estimate","14,954","14,481","473"
"Melbourne city, Florida","","",""
"    Estimate","39,611","37,841","1,770"
"Merritt Island CDP, Florida","","",""
"    Estimate","19,201","18,730","471"
"Miami city, Florida","","",""
"    Estimate","257,231","248,592","8,639"
"Miami Beach city, Florida","","",""
"    Estimate","50,862","49,315","1,547"
"Miami Gardens city, Florida","","",""
"    Estimate","53,359","51,315","2,044"
"Miami Lakes town, Florida","","",""
"    Estimate","17,576","16,599","977"
"Miramar city, Florida","","",""
"    Estimate","81,240","76,541","4,699"
"Navarre CDP, Florida","","",""
"    Estimate","16,617","15,084","1,533"
"New Smyrna Beach city, Florida","","",""
"    Estimate","11,312","11,174","138"
"Northdale CDP, Florida","","",""
"    Estimate","14,029","13,415","614"
"North Fort Myers CDP, Florida","","",""
"    Estimate","17,091","16,528","563"
"North Lauderdale city, Florida","","",""
"    Estimate","26,330","24,873","1,457"
"North Miami city, Florida","","",""
"    Estimate","32,613","31,262","1,351"
"North Miami Beach city, Florida","","",""
"    Estimate","25,821","24,913","908"
"North Port city, Florida","","",""
"    Estimate","23,960","23,318","642"
"Oakland Park city, Florida","","",""
"    Estimate","27,866","26,475","1,391"
"Oakleaf Plantation CDP, Florida","","",""
"    Estimate","13,327","12,937","390"
"Oak Ridge CDP, Florida","","",""
"    Estimate","13,265","12,845","420"
"Ocala city, Florida","","",""
"    Estimate","30,064","27,608","2,456"
"Ocoee city, Florida","","",""
"    Estimate","26,884","25,160","1,724"
"Orlando city, Florida","","",""
"    Estimate","166,534","160,624","5,910"
"Ormond Beach city, Florida","","",""
"    Estimate","19,409","19,149","260"
"Oviedo city, Florida","","",""
"    Estimate","21,477","20,720","757"
"Pace CDP, Florida","","",""
"    Estimate","11,285","10,788","497"
"Palm Bay city, Florida","","",""
"    Estimate","53,748","49,755","3,993"
"Palm Beach Gardens city, Florida","","",""
"    Estimate","26,590","25,647","943"
"Palm City CDP, Florida","","",""
"    Estimate","13,599","12,539","1,060"
"Palm Coast city, Florida","","",""
"    Estimate","41,144","39,813","1,331"
"Palmetto Bay village, Florida","","",""
"    Estimate","12,912","12,615","297"
"Palm Harbor CDP, Florida","","",""
"    Estimate","28,464","27,597","867"
"Palm River-Clair Mel CDP, Florida","","",""
"    Estimate","12,112","11,737","375"
"Palm Springs village, Florida","","",""
"    Estimate","15,432","15,019","413"
"Palm Valley CDP, Florida","","",""
"    Estimate","10,702","10,113","589"
"Panama City city, Florida","","",""
"    Estimate","16,303","15,281","1,022"
"Panama City Beach city, Florida","","",""
"    Estimate","11,941","11,510","431"
"Parkland city, Florida","","",""
"    Estimate","12,992","12,748","244"
"Pembroke Pines city, Florida","","",""
"    Estimate","88,573","84,816","3,757"
"Pensacola city, Florida","","",""
"    Estimate","25,618","24,877","741"
"Pine Hills CDP, Florida","","",""
"    Estimate","52,505","47,901","4,604"
"Pinellas Park city, Florida","","",""
"    Estimate","27,111","25,479","1,632"
"Plantation city, Florida","","",""
"    Estimate","55,188","53,678","1,510"
"Plant City city, Florida","","",""
"    Estimate","21,198","20,735","463"
"Poinciana CDP, Florida","","",""
"    Estimate","32,596","30,653","1,943"
"Pompano Beach city, Florida","","",""
"    Estimate","58,397","55,443","2,954"
"Port Charlotte CDP, Florida","","",""
"    Estimate","28,086","26,921","1,165"
"Port Orange city, Florida","","",""
"    Estimate","30,223","28,624","1,599"
"Port St. Lucie city, Florida","","",""
"    Estimate","99,574","96,257","3,317"
"Princeton CDP, Florida","","",""
"    Estimate","15,913","15,147","766"
"Richmond West CDP, Florida","","",""
"    Estimate","22,722","21,727","995"
"Riverview CDP, Florida","","",""
"    Estimate","51,217","48,943","2,274"
"Riviera Beach city, Florida","","",""
"    Estimate","16,424","15,144","1,280"
"Rockledge city, Florida","","",""
"    Estimate","13,777","13,238","539"
"Royal Palm Beach village, Florida","","",""
"    Estimate","22,132","21,310","822"
"Ruskin CDP, Florida","","",""
"    Estimate","14,932","14,198","734"
"St. Cloud city, Florida","","",""
"    Estimate","24,545","23,276","1,269"
"St. Petersburg city, Florida","","",""
"    Estimate","147,041","140,064","6,977"
"Sanford city, Florida","","",""
"    Estimate","31,911","29,692","2,219"
"Sarasota city, Florida","","",""
"    Estimate","27,085","26,358","727"
"Sebastian city, Florida","","",""
"    Estimate","10,652","9,859","793"
"South Bradenton CDP, Florida","","",""
"    Estimate","13,554","12,605","949"
"South Miami Heights CDP, Florida","","",""
"    Estimate","19,404","18,709","695"
"Spring Hill CDP, Florida","","",""
"    Estimate","47,282","45,126","2,156"
"Sun City Center CDP, Florida","","",""
"    Estimate","6,684","6,568","116"
"Sunrise city, Florida","","",""
"    Estimate","56,130","53,889","2,241"
"Sweetwater city, Florida","","",""
"    Estimate","11,602","11,080","522"
"Tallahassee city, Florida","","",""
"    Estimate","109,968","100,935","9,033"
"Tamarac city, Florida","","",""
"    Estimate","32,880","30,768","2,112"
"Tamiami CDP, Florida","","",""
"    Estimate","30,267","29,437","830"
"Tampa city, Florida","","",""
"    Estimate","206,000","197,847","8,153"
"Tarpon Springs city, Florida","","",""
"    Estimate","8,619","7,902","717"
"Temple Terrace city, Florida","","",""
"    Estimate","15,352","15,051","301"
"The Acreage CDP, Florida","","",""
"    Estimate","24,869","24,182","687"
"The Crossings CDP, Florida","","",""
"    Estimate","11,728","11,396","332"
"The Hammocks CDP, Florida","","",""
"    Estimate","34,966","34,187","779"
"The Villages CDP, Florida","","",""
"    Estimate","9,766","9,766","0"
"Titusville city, Florida","","",""
"    Estimate","22,688","20,980","1,708"
"Town 'n' Country CDP, Florida","","",""
"    Estimate","58,153","56,786","1,367"
"University CDP (Hillsborough County), Florida","","",""
"    Estimate","24,441","22,800","1,641"
"University CDP (Orange County), Florida","","",""
"    Estimate","15,011","14,818","193"
"University Park CDP, Florida","","",""
"    Estimate","13,296","12,663","633"
"Valrico CDP, Florida","","",""
"    Estimate","17,323","16,245","1,078"
"Venice city, Florida","","",""
"    Estimate","6,252","6,012","240"
"Vero Beach South CDP, Florida","","",""
"    Estimate","10,336","9,983","353"
"Wekiwa Springs CDP, Florida","","",""
"    Estimate","13,270","12,676","594"
"Wellington village, Florida","","",""
"    Estimate","31,638","30,312","1,326"
"Wesley Chapel CDP, Florida","","",""
"    Estimate","31,256","29,951","1,305"
"Westchase CDP, Florida","","",""
"    Estimate","12,083","11,543","540"
"Westchester CDP, Florida","","",""
"    Estimate","14,504","14,374","130"
"West Little River CDP, Florida","","",""
"    Estimate","15,025","14,757","268"
"West Melbourne city, Florida","","",""
"    Estimate","11,384","10,893","491"
"Weston city, Florida","","",""
"    Estimate","35,470","34,820","650"
"West Palm Beach city, Florida","","",""
"    Estimate","57,815","53,711","4,104"
"West Park city, Florida","","",""
"    Estimate","10,065","9,305","760"
"Winter Garden city, Florida","","",""
"    Estimate","26,330","25,565","765"
"Winter Haven city, Florida","","",""
"    Estimate","19,990","18,857","1,133"
"Winter Park city, Florida","","",""
"    Estimate","15,230","14,588","642"
"Winter Springs city, Florida","","",""
"    Estimate","19,851","19,361","490"
"World Golf Village CDP, Florida","","",""
"    Estimate","9,907","8,836","1,071"
"Wright CDP, Florida","","",""
"    Estimate","13,318","12,904","414"
"Acworth city, Georgia","","",""
"    Estimate","13,204","12,949","255"
"Albany city, Georgia","","",""
"    Estimate","30,814","26,957","3,857"
"Alpharetta city, Georgia","","",""
"    Estimate","38,707","37,068","1,639"
"Athens-Clarke County unified government (balance), Georgia","","",""
"    Estimate","64,999","62,048","2,951"
"Atlanta city, Georgia","","",""
"    Estimate","276,201","262,400","13,801"
"Augusta-Richmond County consolidated government (balance), Georgia","","",""
"    Estimate","86,005","81,294","4,711"
"Brookhaven city, Georgia","","",""
"    Estimate","34,145","32,889","1,256"
"Calhoun city, Georgia","","",""
"    Estimate","9,290","8,926","364"
"Candler-McAfee CDP, Georgia","","",""
"    Estimate","12,458","11,578","880"
"Canton city, Georgia","","",""
"    Estimate","17,284","17,065","219"
"Carrollton city, Georgia","","",""
"    Estimate","13,031","11,580","1,451"
"Cartersville city, Georgia","","",""
"    Estimate","10,191","10,020","171"
"Chamblee city, Georgia","","",""
"    Estimate","19,193","19,008","185"
"Columbus city, Georgia","","",""
"    Estimate","83,867","78,408","5,459"
"Dalton city, Georgia","","",""
"    Estimate","16,314","15,897","417"
"Decatur city, Georgia","","",""
"    Estimate","10,982","10,906","76"
"Douglasville city, Georgia","","",""
"    Estimate","18,872","17,842","1,030"
"Duluth city, Georgia","","",""
"    Estimate","17,112","16,898","214"
"Dunwoody city, Georgia","","",""
"    Estimate","28,154","27,589","565"
"East Point city, Georgia","","",""
"    Estimate","20,455","19,644","811"
"Evans CDP, Georgia","","",""
"    Estimate","21,540","20,811","729"
"Gainesville city, Georgia","","",""
"    Estimate","19,955","19,021","934"
"Griffin city, Georgia","","",""
"    Estimate","10,269","9,990","279"
"Hinesville city, Georgia","","",""
"    Estimate","12,469","11,749","720"
"Johns Creek city, Georgia","","",""
"    Estimate","45,868","43,397","2,471"
"Kennesaw city, Georgia","","",""
"    Estimate","18,631","18,497","134"
"LaGrange city, Georgia","","",""
"    Estimate","13,392","12,902","490"
"Lawrenceville city, Georgia","","",""
"    Estimate","18,513","17,599","914"
"Lithia Springs CDP, Georgia","","",""
"    Estimate","11,378","10,877","501"
"Mableton CDP, Georgia","","",""
"    Estimate","26,141","24,612","1,529"
"McDonough city, Georgia","","",""
"    Estimate","15,108","13,984","1,124"
"Macon-Bibb County, Georgia","","",""
"    Estimate","70,726","65,512","5,214"
"Marietta city, Georgia","","",""
"    Estimate","33,326","32,347","979"
"Martinez CDP, Georgia","","",""
"    Estimate","14,202","13,694","508"
"Milton city, Georgia","","",""
"    Estimate","23,520","22,467","1,053"
"Newnan city, Georgia","","",""
"    Estimate","21,017","20,581","436"
"Norcross city, Georgia","","",""
"    Estimate","10,181","10,131","50"
"Peachtree City city, Georgia","","",""
"    Estimate","14,583","14,233","350"
"Peachtree Corners city, Georgia","","",""
"    Estimate","24,070","23,314","756"
"Pooler city, Georgia","","",""
"    Estimate","14,588","13,994","594"
"Powder Springs city, Georgia","","",""
"    Estimate","11,517","10,974","543"
"Redan CDP, Georgia","","",""
"    Estimate","17,989","16,816","1,173"
"Rome city, Georgia","","",""
"    Estimate","16,738","16,606","132"
"Roswell city, Georgia","","",""
"    Estimate","53,640","50,957","2,683"
"Sandy Springs city, Georgia","","",""
"    Estimate","67,953","66,223","1,730"
"Savannah city, Georgia","","",""
"    Estimate","75,197","70,215","4,982"
"Smyrna city, Georgia","","",""
"    Estimate","35,734","33,935","1,799"
"Snellville city, Georgia","","",""
"    Estimate","11,329","10,720","609"
"South Fulton city, Georgia","","",""
"    Estimate","53,926","51,957","1,969"
"Statesboro city, Georgia","","",""
"    Estimate","18,312","16,374","1,938"
"Stockbridge city, Georgia","","",""
"    Estimate","15,643","15,182","461"
"Stonecrest city, Georgia","","",""
"    Estimate","27,380","25,683","1,697"
"Sugar Hill city, Georgia","","",""
"    Estimate","11,851","11,230","621"
"Tucker city, Georgia","","",""
"    Estimate","19,631","19,032","599"
"Union City city, Georgia","","",""
"    Estimate","","",""
"Valdosta city, Georgia","","",""
"    Estimate","28,584","26,872","1,712"
"Warner Robins city, Georgia","","",""
"    Estimate","38,927","37,012","1,915"
"Woodstock city, Georgia","","",""
"    Estimate","19,635","19,122","513"
"East Honolulu CDP, Hawaii","","",""
"    Estimate","23,727","23,354","373"
"Ewa Gentry CDP, Hawaii","","",""
"    Estimate","12,289","12,100","189"
"Hilo CDP, Hawaii","","",""
"    Estimate","19,213","18,226","987"
"Kahului CDP, Hawaii","","",""
"    Estimate","15,949","15,504","445"
"Kailua CDP (Honolulu County), Hawaii","","",""
"    Estimate","17,524","17,208","316"
"Kaneohe CDP, Hawaii","","",""
"    Estimate","16,690","16,399","291"
"Kapolei CDP, Hawaii","","",""
"    Estimate","10,420","9,898","522"
"Kihei CDP, Hawaii","","",""
"    Estimate","13,832","13,313","519"
"Mililani Mauka CDP, Hawaii","","",""
"    Estimate","11,185","10,964","221"
"Mililani Town CDP, Hawaii","","",""
"    Estimate","15,092","14,885","207"
"Pearl City CDP, Hawaii","","",""
"    Estimate","21,190","20,590","600"
"Urban Honolulu CDP, Hawaii","","",""
"    Estimate","186,132","178,979","7,153"
"Waipahu CDP, Hawaii","","",""
"    Estimate","20,337","19,522","815"
"Boise City city, Idaho","","",""
"    Estimate","131,249","125,351","5,898"
"Caldwell city, Idaho","","",""
"    Estimate","26,514","25,543","971"
"Coeur d'Alene city, Idaho","","",""
"    Estimate","28,165","27,748","417"
"Eagle city, Idaho","","",""
"    Estimate","13,104","13,054","50"
"Idaho Falls city, Idaho","","",""
"    Estimate","30,637","30,269","368"
"Kuna city, Idaho","","",""
"    Estimate","11,897","11,474","423"
"Lewiston city, Idaho","","",""
"    Estimate","17,443","17,020","423"
"Meridian city, Idaho","","",""
"    Estimate","57,259","54,897","2,362"
"Moscow city, Idaho","","",""
"    Estimate","15,850","15,156","694"
"Nampa city, Idaho","","",""
"    Estimate","49,413","48,044","1,369"
"Pocatello city, Idaho","","",""
"    Estimate","27,402","26,302","1,100"
"Post Falls city, Idaho","","",""
"    Estimate","17,749","17,525","224"
"Rexburg city, Idaho","","",""
"    Estimate","14,522","13,475","1,047"
"Twin Falls city, Idaho","","",""
"    Estimate","23,592","22,816","776"
"Addison village, Illinois","","",""
"    Estimate","19,178","18,570","608"
"Algonquin village, Illinois","","",""
"    Estimate","18,741","17,966","775"
"Alton city, Illinois","","",""
"    Estimate","13,032","12,300","732"
"Arlington Heights village, Illinois","","",""
"    Estimate","38,275","37,105","1,170"
"Aurora city, Illinois","","",""
"    Estimate","110,750","106,255","4,495"
"Bartlett village, Illinois","","",""
"    Estimate","22,141","21,585","556"
"Batavia city, Illinois","","",""
"    Estimate","12,795","12,376","419"
"Belleville city, Illinois","","",""
"    Estimate","20,877","20,062","815"
"Bellwood village, Illinois","","",""
"    Estimate","11,121","9,942","1,179"
"Belvidere city, Illinois","","",""
"    Estimate","13,300","12,501","799"
"Berwyn city, Illinois","","",""
"    Estimate","28,309","27,626","683"
"Bloomingdale village, Illinois","","",""
"    Estimate","13,090","12,817","273"
"Bloomington city, Illinois","","",""
"    Estimate","37,084","36,295","789"
"Blue Island city, Illinois","","",""
"    Estimate","14,320","13,790","530"
"Bolingbrook village, Illinois","","",""
"    Estimate","41,050","39,928","1,122"
"Buffalo Grove village, Illinois","","",""
"    Estimate","25,145","24,421","724"
"Burbank city, Illinois","","",""
"    Estimate","15,628","14,882","746"
"Calumet City city, Illinois","","",""
"    Estimate","19,688","17,079","2,609"
"Carbondale city, Illinois","","",""
"    Estimate","13,220","12,504","716"
"Carol Stream village, Illinois","","",""
"    Estimate","22,743","21,812","931"
"Carpentersville village, Illinois","","",""
"    Estimate","21,124","19,815","1,309"
"Champaign city, Illinois","","",""
"    Estimate","45,354","43,830","1,524"
"Charleston city, Illinois","","",""
"    Estimate","12,512","12,084","428"
"Chicago city, Illinois","","",""
"    Estimate","1,474,577","1,381,838","92,739"
"Chicago Heights city, Illinois","","",""
"    Estimate","15,463","13,977","1,486"
"Cicero town, Illinois","","",""
"    Estimate","39,451","38,362","1,089"
"Collinsville city, Illinois","","",""
"    Estimate","12,269","11,995","274"
"Crest Hill city, Illinois","","",""
"    Estimate","9,085","8,851","234"
"Crystal Lake city, Illinois","","",""
"    Estimate","20,170","18,707","1,463"
"Danville city, Illinois","","",""
"    Estimate","12,080","10,440","1,640"
"Darien city, Illinois","","",""
"    Estimate","10,631","10,528","103"
"Decatur city, Illinois","","",""
"    Estimate","30,545","28,097","2,448"
"DeKalb city, Illinois","","",""
"    Estimate","25,789","23,652","2,137"
"Des Plaines city, Illinois","","",""
"    Estimate","32,073","30,932","1,141"
"Downers Grove village, Illinois","","",""
"    Estimate","27,321","26,641","680"
"East Moline city, Illinois","","",""
"    Estimate","8,063","7,803","260"
"East Peoria city, Illinois","","",""
"    Estimate","11,054","10,737","317"
"East St. Louis city, Illinois","","",""
"    Estimate","10,682","9,268","1,414"
"Edwardsville city, Illinois","","",""
"    Estimate","13,070","12,858","212"
"Elgin city, Illinois","","",""
"    Estimate","56,587","54,354","2,233"
"Elk Grove Village village, Illinois","","",""
"    Estimate","18,390","17,585","805"
"Elmhurst city, Illinois","","",""
"    Estimate","24,223","23,193","1,030"
"Elmwood Park village, Illinois","","",""
"    Estimate","14,048","13,636","412"
"Evanston city, Illinois","","",""
"    Estimate","37,873","35,667","2,206"
"Freeport city, Illinois","","",""
"    Estimate","10,847","10,176","671"
"Galesburg city, Illinois","","",""
"    Estimate","10,543","10,052","491"
"Geneva city, Illinois","","",""
"    Estimate","13,439","13,044","395"
"Glendale Heights village, Illinois","","",""
"    Estimate","18,843","18,011","832"
"Glen Ellyn village, Illinois","","",""
"    Estimate","14,619","13,790","829"
"Glenview village, Illinois","","",""
"    Estimate","24,803","23,736","1,067"
"Granite City city, Illinois","","",""
"    Estimate","14,094","13,463","631"
"Grayslake village, Illinois","","",""
"    Estimate","11,398","10,983","415"
"Gurnee village, Illinois","","",""
"    Estimate","17,344","16,795","549"
"Hanover Park village, Illinois","","",""
"    Estimate","22,161","21,206","955"
"Harvey city, Illinois","","",""
"    Estimate","9,544","8,508","1,036"
"Highland Park city, Illinois","","",""
"    Estimate","13,624","13,373","251"
"Hoffman Estates village, Illinois","","",""
"    Estimate","28,970","28,211","759"
"Homer Glen village, Illinois","","",""
"    Estimate","14,487","13,868","619"
"Homewood village, Illinois","","",""
"    Estimate","9,814","9,394","420"
"Huntley village, Illinois","","",""
"    Estimate","12,239","11,914","325"
"Joliet city, Illinois","","",""
"    Estimate","79,161","75,130","4,031"
"Kankakee city, Illinois","","",""
"    Estimate","11,479","11,098","381"
"Lake in the Hills village, Illinois","","",""
"    Estimate","19,264","18,724","540"
"Lansing village, Illinois","","",""
"    Estimate","13,650","12,451","1,199"
"Libertyville village, Illinois","","",""
"    Estimate","10,235","10,065","170"
"Lisle village, Illinois","","",""
"    Estimate","12,778","12,401","377"
"Lockport city, Illinois","","",""
"    Estimate","12,982","12,514","468"
"Lombard village, Illinois","","",""
"    Estimate","22,874","21,682","1,192"
"Loves Park city, Illinois","","",""
"    Estimate","13,830","12,642","1,188"
"McHenry city, Illinois","","",""
"    Estimate","13,938","13,562","376"
"Machesney Park village, Illinois","","",""
"    Estimate","12,464","12,076","388"
"Maywood village, Illinois","","",""
"    Estimate","9,209","8,754","455"
"Melrose Park village, Illinois","","",""
"    Estimate","11,417","10,772","645"
"Mokena village, Illinois","","",""
"    Estimate","12,027","11,918","109"
"Moline city, Illinois","","",""
"    Estimate","21,199","19,819","1,380"
"Montgomery village, Illinois","","",""
"    Estimate","10,878","10,671","207"
"Morton Grove village, Illinois","","",""
"    Estimate","11,532","11,297","235"
"Mount Prospect village, Illinois","","",""
"    Estimate","28,865","28,033","832"
"Mundelein village, Illinois","","",""
"    Estimate","17,977","17,278","699"
"Naperville city, Illinois","","",""
"    Estimate","83,546","80,991","2,555"
"New Lenox village, Illinois","","",""
"    Estimate","13,477","13,308","169"
"Niles village, Illinois","","",""
"    Estimate","15,330","14,758","572"
"Normal town, Illinois","","",""
"    Estimate","28,418","27,081","1,337"
"Northbrook village, Illinois","","",""
"    Estimate","15,859","15,446","413"
"North Chicago city, Illinois","","",""
"    Estimate","11,242","10,605","637"
"Oak Forest city, Illinois","","",""
"    Estimate","15,028","14,273","755"
"Oak Lawn village, Illinois","","",""
"    Estimate","23,198","22,087","1,111"
"Oak Park village, Illinois","","",""
"    Estimate","29,447","28,028","1,419"
"O'Fallon city, Illinois","","",""
"    Estimate","15,151","14,942","209"
"Orland Park village, Illinois","","",""
"    Estimate","30,795","28,923","1,872"
"Oswego village, Illinois","","",""
"    Estimate","21,468","20,481","987"
"Palatine village, Illinois","","",""
"    Estimate","37,085","35,721","1,364"
"Park Forest village, Illinois","","",""
"    Estimate","12,513","12,065","448"
"Park Ridge city, Illinois","","",""
"    Estimate","18,379","17,697","682"
"Pekin city, Illinois","","",""
"    Estimate","14,417","13,804","613"
"Peoria city, Illinois","","",""
"    Estimate","52,159","48,923","3,236"
"Plainfield village, Illinois","","",""
"    Estimate","21,665","21,140","525"
"Quincy city, Illinois","","",""
"    Estimate","20,688","19,762","926"
"Rockford city, Illinois","","",""
"    Estimate","68,293","62,018","6,275"
"Rock Island city, Illinois","","",""
"    Estimate","20,316","19,138","1,178"
"Rolling Meadows city, Illinois","","",""
"    Estimate","14,181","13,669","512"
"Romeoville village, Illinois","","",""
"    Estimate","18,658","17,880","778"
"Roselle village, Illinois","","",""
"    Estimate","12,676","12,120","556"
"Round Lake Beach village, Illinois","","",""
"    Estimate","14,155","13,753","402"
"St. Charles city, Illinois","","",""
"    Estimate","17,934","17,511","423"
"Schaumburg village, Illinois","","",""
"    Estimate","40,277","39,299","978"
"Skokie village, Illinois","","",""
"    Estimate","29,151","28,310","841"
"South Elgin village, Illinois","","",""
"    Estimate","16,456","16,079","377"
"South Holland village, Illinois","","",""
"    Estimate","11,022","10,060","962"
"Springfield city, Illinois","","",""
"    Estimate","53,244","49,618","3,626"
"Streamwood village, Illinois","","",""
"    Estimate","24,908","24,037","871"
"Tinley Park village, Illinois","","",""
"    Estimate","33,719","31,290","2,429"
"Urbana city, Illinois","","",""
"    Estimate","22,094","20,185","1,909"
"Vernon Hills village, Illinois","","",""
"    Estimate","14,458","13,739","719"
"Villa Park village, Illinois","","",""
"    Estimate","11,350","11,182","168"
"Waukegan city, Illinois","","",""
"    Estimate","42,448","40,509","1,939"
"West Chicago city, Illinois","","",""
"    Estimate","13,584","12,952","632"
"Westmont village, Illinois","","",""
"    Estimate","14,125","13,626","499"
"Wheaton city, Illinois","","",""
"    Estimate","26,232","25,716","516"
"Wheeling village, Illinois","","",""
"    Estimate","24,125","23,655","470"
"Wilmette village, Illinois","","",""
"    Estimate","12,096","11,613","483"
"Woodridge village, Illinois","","",""
"    Estimate","19,933","19,236","697"
"Woodstock city, Illinois","","",""
"    Estimate","14,316","13,535","781"
"Zion city, Illinois","","",""
"    Estimate","12,594","11,924","670"
"Anderson city, Indiana","","",""
"    Estimate","25,417","23,507","1,910"
"Bloomington city, Indiana","","",""
"    Estimate","44,144","42,425","1,719"
"Brownsburg town, Indiana","","",""
"    Estimate","18,015","17,717","298"
"Carmel city, Indiana","","",""
"    Estimate","56,257","54,628","1,629"
"Clarksville town, Indiana","","",""
"    Estimate","11,975","11,603","372"
"Columbus city, Indiana","","",""
"    Estimate","25,191","24,635","556"
"Crown Point city, Indiana","","",""
"    Estimate","16,166","14,491","1,675"
"East Chicago city, Indiana","","",""
"    Estimate","11,142","10,522","620"
"Elkhart city, Indiana","","",""
"    Estimate","25,274","24,251","1,023"
"Evansville city, Indiana","","",""
"    Estimate","60,260","56,856","3,404"
"Fishers city, Indiana","","",""
"    Estimate","51,779","50,963","816"
"Fort Wayne city, Indiana","","",""
"    Estimate","135,686","129,673","6,013"
"Franklin city, Indiana","","",""
"    Estimate","14,042","13,840","202"
"Gary city, Indiana","","",""
"    Estimate","27,644","24,156","3,488"
"Goshen city, Indiana","","",""
"    Estimate","16,474","15,673","801"
"Granger CDP, Indiana","","",""
"    Estimate","15,756","15,172","584"
"Greenfield city, Indiana","","",""
"    Estimate","11,668","11,282","386"
"Greenwood city, Indiana","","",""
"    Estimate","29,011","28,370","641"
"Hammond city, Indiana","","",""
"    Estimate","36,577","34,387","2,190"
"Highland town, Indiana","","",""
"    Estimate","14,509","13,924","585"
"Hobart city, Indiana","","",""
"    Estimate","15,782","15,478","304"
"Indianapolis city (balance), Indiana","","",""
"    Estimate","448,313","423,370","24,943"
